,lsoa,price,hierarchical8x,hierarchical13x,hierarchical24x
0,E01000001,1117547.0114731598,1.0,1.0,1.0
1,E01000002,1093223.3269272214,1.0,1.0,1.0
2,E01000003,746132.0078407638,1.0,1.0,2.0
3,E01000005,589816.3093601866,2.0,2.0,3.0
4,E01000006,231124.00894078016,3.0,3.0,4.0
5,E01000007,226074.5188482182,,,
6,E01000008,213502.30915816157,4.0,5.0,
7,E01000009,225826.75137952072,5.0,6.0,7.0
8,E01000010,217810.319570824,,,
9,E01000011,225056.3932239899,5.0,8.0,9.0
10,E01000012,207965.65418323939,1.0,7.0,10.0
11,E01000013,192377.16266512458,3.0,,
12,E01000014,192374.1898866062,3.0,3.0,11.0
13,E01000015,194057.85242539484,3.0,3.0,11.0
14,E01000016,191516.86456755566,3.0,9.0,12.0
15,E01000017,190885.85966247323,3.0,3.0,11.0
16,E01000018,187595.9125882911,3.0,9.0,12.0
17,E01000019,199498.44568341994,3.0,,
18,E01000020,196610.03053758253,3.0,3.0,11.0
19,E01000021,190729.88279595628,3.0,3.0,11.0
20,E01000022,191890.49111075408,3.0,,
21,E01000023,199268.93027643382,,,
22,E01000024,193778.3922717464,3.0,3.0,11.0
23,E01000025,190469.36865320988,3.0,,
24,E01000027,198981.75278194604,3.0,4.0,5.0
25,E01000028,190797.36732099514,3.0,3.0,11.0
26,E01000029,214562.12786625023,3.0,3.0,11.0
27,E01000030,199508.69535421673,4.0,5.0,
28,E01000031,230001.54600338638,3.0,4.0,5.0
29,E01000032,219373.0336731031,3.0,3.0,11.0
30,E01000033,184209.6509397,3.0,3.0,11.0
31,E01000034,193178.172399741,3.0,,
32,E01000035,199510.16972982156,3.0,3.0,11.0
33,E01000036,199441.50232367255,3.0,9.0,12.0
34,E01000037,216114.99341476406,3.0,9.0,12.0
35,E01000038,213879.668478136,3.0,9.0,12.0
36,E01000039,205326.17181979696,3.0,4.0,5.0
37,E01000040,213653.6455563171,3.0,9.0,12.0
38,E01000041,189253.2490017266,3.0,9.0,12.0
39,E01000042,201237.4217762646,3.0,,
40,E01000043,220165.36190025666,3.0,3.0,11.0
41,E01000044,202769.71589887043,5.0,6.0,7.0
42,E01000045,184496.25257182476,4.0,5.0,13.0
43,E01000046,193787.55229201037,3.0,3.0,11.0
44,E01000048,191413.04409933882,1.0,,
45,E01000049,198711.45988446125,,,
46,E01000050,210891.71827839324,5.0,6.0,7.0
47,E01000051,202655.9601936952,,,
48,E01000052,198379.6238835624,,,
49,E01000053,186596.39742928982,,,
50,E01000054,193497.26745596793,3.0,9.0,12.0
51,E01000055,190805.8515106775,3.0,3.0,11.0
52,E01000056,195666.42284487124,3.0,3.0,11.0
53,E01000057,195026.1407982886,3.0,3.0,11.0
54,E01000058,193744.92803712373,3.0,,
55,E01000059,192804.98867981572,3.0,,
56,E01000060,192931.78825262297,4.0,5.0,13.0
57,E01000061,185805.84719856267,4.0,5.0,
58,E01000062,188544.76119320886,3.0,,
59,E01000063,191709.01820430032,3.0,,
60,E01000064,190157.1478317798,3.0,3.0,11.0
61,E01000065,191376.98327086598,3.0,3.0,11.0
62,E01000066,242444.26765884127,3.0,9.0,12.0
63,E01000067,258088.00252428366,3.0,,
64,E01000068,252832.7934018611,3.0,,
65,E01000069,280324.9469456201,3.0,9.0,12.0
66,E01000070,274928.86585075536,3.0,,
67,E01000071,252646.6620345519,3.0,,
68,E01000072,200311.19333557456,3.0,3.0,11.0
69,E01000073,194440.00307947732,3.0,,
70,E01000074,194290.199867041,3.0,,
71,E01000075,204047.73462298565,3.0,4.0,5.0
72,E01000076,191889.0748374809,3.0,9.0,12.0
73,E01000077,191320.71513676335,3.0,3.0,11.0
74,E01000078,187187.03340197465,3.0,,
75,E01000079,189615.25319595434,3.0,3.0,11.0
76,E01000080,192789.79771308266,3.0,3.0,11.0
77,E01000081,192283.06855517597,3.0,9.0,12.0
78,E01000082,187528.83883664472,3.0,,
79,E01000083,191676.37423004126,3.0,3.0,11.0
80,E01000084,188325.10121682606,3.0,3.0,11.0
81,E01000085,192245.04459981603,3.0,9.0,12.0
82,E01000086,188935.5963938155,3.0,3.0,11.0
83,E01000087,187679.95584857283,3.0,3.0,11.0
84,E01000088,181704.53840717353,3.0,9.0,12.0
85,E01000089,174456.23550123622,3.0,9.0,12.0
