LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count,lsoa
E01000001,0.5625,0.0,0.375,0.0,0.0,0.0,0.0625,16,E01000001
E01000002,0.4,0.0,0.6,0.0,0.0,0.0,0.0,5,E01000002
E01000003,0.2,0.0,0.8,0.0,0.0,0.0,0.0,5,E01000003
E01000005,0.6458333333333334,0.020833333333333332,0.3125,0.020833333333333332,0.0,0.0,0.0,48,E01000005
E01000006,0.0,0.0,0.04918032786885246,0.5901639344262295,0.0,0.06557377049180328,0.29508196721311475,61,E01000006
E01000007,0.25,0.175,0.25,0.1,0.15,0.075,0.0,40,E01000007
E01000008,0.0,0.043478260869565216,0.0,0.043478260869565216,0.21739130434782608,0.6956521739130435,0.0,23,E01000008
E01000009,0.12,0.02666666666666667,0.04,0.13333333333333333,0.0,0.013333333333333334,0.6666666666666666,75,E01000009
E01000010,0.27,0.07,0.2,0.04,0.05,0.22,0.15,100,E01000010
E01000011,0.028169014084507043,0.0,0.0,0.07042253521126761,0.0,0.0,0.9014084507042254,71,E01000011
E01000012,0.061224489795918366,0.02040816326530612,0.42857142857142855,0.20408163265306123,0.0,0.04081632653061224,0.24489795918367346,49,E01000012
E01000013,0.1411764705882353,0.011764705882352941,0.023529411764705882,0.611764705882353,0.0,0.21176470588235294,0.0,85,E01000013
E01000014,0.0,0.007936507936507936,0.05555555555555555,0.5079365079365079,0.24603174603174602,0.16666666666666666,0.015873015873015872,126,E01000014
E01000015,0.0,0.013888888888888888,0.013888888888888888,0.625,0.1388888888888889,0.19444444444444445,0.013888888888888888,72,E01000015
E01000016,0.024691358024691357,0.0,0.024691358024691357,0.7777777777777778,0.012345679012345678,0.16049382716049382,0.0,81,E01000016
E01000017,0.0,0.015384615384615385,0.015384615384615385,0.676923076923077,0.0,0.2923076923076923,0.0,65,E01000017
E01000018,0.0,0.0,0.033707865168539325,0.797752808988764,0.0,0.16853932584269662,0.0,89,E01000018
E01000019,0.0,0.07317073170731707,0.012195121951219513,0.7439024390243902,0.012195121951219513,0.15853658536585366,0.0,82,E01000019
E01000020,0.0,0.056338028169014086,0.04225352112676056,0.676056338028169,0.0,0.22535211267605634,0.0,71,E01000020
E01000021,0.09836065573770492,0.08196721311475409,0.03278688524590164,0.4918032786885246,0.01639344262295082,0.2786885245901639,0.0,61,E01000021
E01000022,0.0,0.06666666666666667,0.03333333333333333,0.6666666666666666,0.0,0.23333333333333334,0.0,90,E01000022
E01000023,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.6097560975609756,0.024390243902439025,0.21951219512195122,0.024390243902439025,41,E01000023
E01000024,0.0,0.13114754098360656,0.06557377049180328,0.5573770491803278,0.0,0.22950819672131148,0.01639344262295082,61,E01000024
E01000025,0.0,0.04,0.05333333333333334,0.6666666666666666,0.013333333333333334,0.22666666666666666,0.0,75,E01000025
E01000027,0.006578947368421052,0.009868421052631578,0.013157894736842105,0.19078947368421054,0.46710526315789475,0.3125,0.0,304,E01000027
E01000028,0.0,0.2222222222222222,0.09259259259259259,0.35185185185185186,0.1111111111111111,0.2222222222222222,0.0,54,E01000028
E01000029,0.0,0.006493506493506494,0.0,0.7402597402597403,0.025974025974025976,0.21428571428571427,0.012987012987012988,154,E01000029
E01000030,0.0,0.08450704225352113,0.028169014084507043,0.36619718309859156,0.13380281690140844,0.3732394366197183,0.014084507042253521,142,E01000030
E01000031,0.006993006993006993,0.0,0.02097902097902098,0.44755244755244755,0.24475524475524477,0.1958041958041958,0.08391608391608392,143,E01000031
E01000032,0.09565217391304348,0.008695652173913044,0.017391304347826087,0.6521739130434783,0.0,0.1391304347826087,0.08695652173913043,115,E01000032
E01000033,0.0,0.09302325581395349,0.09302325581395349,0.6046511627906976,0.0,0.20930232558139536,0.0,43,E01000033
E01000034,0.0,0.009174311926605505,0.027522935779816515,0.43119266055045874,0.23853211009174313,0.29357798165137616,0.0,109,E01000034
E01000035,0.012987012987012988,0.03896103896103896,0.07792207792207792,0.4675324675324675,0.012987012987012988,0.2727272727272727,0.11688311688311688,77,E01000035
E01000036,0.0,0.0,0.05747126436781609,0.5747126436781609,0.034482758620689655,0.10344827586206896,0.22988505747126436,87,E01000036
E01000037,0.006896551724137931,0.006896551724137931,0.0,0.8344827586206897,0.0,0.1310344827586207,0.020689655172413793,145,E01000037
E01000038,0.0380952380952381,0.009523809523809525,0.0,0.819047619047619,0.0,0.12380952380952381,0.009523809523809525,105,E01000038
E01000039,0.00819672131147541,0.0,0.040983606557377046,0.45081967213114754,0.3114754098360656,0.1885245901639344,0.0,122,E01000039
E01000040,0.028985507246376812,0.014492753623188406,0.08695652173913043,0.7101449275362319,0.0,0.08695652173913043,0.07246376811594203,69,E01000040
E01000041,0.0,0.022222222222222223,0.044444444444444446,0.7333333333333333,0.022222222222222223,0.15555555555555556,0.022222222222222223,45,E01000041
E01000042,0.0,0.06896551724137931,0.034482758620689655,0.6551724137931034,0.034482758620689655,0.20689655172413793,0.0,58,E01000042
E01000043,0.0,0.043478260869565216,0.028985507246376812,0.6521739130434783,0.0,0.2753623188405797,0.0,69,E01000043
E01000044,0.0,0.0,0.050505050505050504,0.18181818181818182,0.020202020202020204,0.04040404040404041,0.7070707070707071,99,E01000044
E01000045,0.07207207207207207,0.009009009009009009,0.06306306306306306,0.4774774774774775,0.02702702702702703,0.34234234234234234,0.009009009009009009,111,E01000045
E01000046,0.0,0.015151515151515152,0.045454545454545456,0.6666666666666666,0.07575757575757576,0.19696969696969696,0.0,66,E01000046
E01000048,0.0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.3333333333333333,0.0,9,E01000048
E01000049,0.0,0.038461538461538464,0.23076923076923078,0.46153846153846156,0.11538461538461539,0.09615384615384616,0.057692307692307696,52,E01000049
E01000050,0.05263157894736842,0.017543859649122806,0.14035087719298245,0.2807017543859649,0.0,0.05263157894736842,0.45614035087719296,57,E01000050
E01000051,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3,E01000051
E01000052,0.014705882352941176,0.007352941176470588,0.08823529411764706,0.3897058823529412,0.11029411764705882,0.11029411764705882,0.27941176470588236,136,E01000052
E01000053,0.03896103896103896,0.03896103896103896,0.11688311688311688,0.33766233766233766,0.11688311688311688,0.35064935064935066,0.0,77,E01000053
E01000054,0.0,0.037037037037037035,0.012345679012345678,0.8271604938271605,0.024691358024691357,0.09876543209876543,0.0,81,E01000054
E01000055,0.0,0.047619047619047616,0.06349206349206349,0.6190476190476191,0.031746031746031744,0.23809523809523808,0.0,63,E01000055
E01000056,0.0,0.0,0.06329113924050633,0.6329113924050633,0.05063291139240506,0.25316455696202533,0.0,79,E01000056
E01000057,0.09302325581395349,0.023255813953488372,0.09302325581395349,0.5581395348837209,0.0,0.23255813953488372,0.0,43,E01000057
E01000058,0.0,0.08108108108108109,0.20270270270270271,0.527027027027027,0.0,0.1891891891891892,0.0,74,E01000058
E01000059,0.0,0.047058823529411764,0.03529411764705882,0.7058823529411765,0.03529411764705882,0.17647058823529413,0.0,85,E01000059
E01000060,0.008403361344537815,0.16806722689075632,0.05042016806722689,0.3277310924369748,0.07563025210084033,0.3697478991596639,0.0,119,E01000060
E01000061,0.0,0.07547169811320754,0.11320754716981132,0.0,0.2830188679245283,0.5283018867924528,0.0,53,E01000061
E01000062,0.0,0.08391608391608392,0.1048951048951049,0.6153846153846154,0.0,0.1888111888111888,0.006993006993006993,143,E01000062
E01000063,0.0,0.0,0.05,0.82,0.0,0.13,0.0,100,E01000063
E01000064,0.075,0.0625,0.05,0.6125,0.0375,0.1625,0.0,80,E01000064
E01000065,0.02912621359223301,0.02912621359223301,0.05825242718446602,0.5242718446601942,0.02912621359223301,0.3300970873786408,0.0,103,E01000065
E01000066,0.0,0.08670520231213873,0.028901734104046242,0.6242774566473989,0.09248554913294797,0.08670520231213873,0.08092485549132948,173,E01000066
E01000067,0.0,0.04580152671755725,0.030534351145038167,0.6564885496183206,0.007633587786259542,0.13740458015267176,0.12213740458015267,131,E01000067
E01000068,0.0,0.0,0.02040816326530612,0.5714285714285714,0.08163265306122448,0.14285714285714285,0.1836734693877551,49,E01000068
E01000069,0.00909090909090909,0.0,0.0,0.8363636363636363,0.0,0.07272727272727272,0.08181818181818182,110,E01000069
E01000070,0.04672897196261682,0.009345794392523364,0.009345794392523364,0.5887850467289719,0.09345794392523364,0.18691588785046728,0.06542056074766354,107,E01000070
E01000071,0.010752688172043012,0.03225806451612903,0.021505376344086023,0.6236559139784946,0.053763440860215055,0.1827956989247312,0.07526881720430108,93,E01000071
E01000072,0.078125,0.0625,0.046875,0.578125,0.0625,0.171875,0.0,64,E01000072
E01000073,0.0,0.07777777777777778,0.03333333333333333,0.7222222222222222,0.03333333333333333,0.13333333333333333,0.0,90,E01000073
E01000074,0.0,0.0594059405940594,0.06930693069306931,0.7227722772277227,0.0,0.1485148514851485,0.0,101,E01000074
E01000075,0.031055900621118012,0.006211180124223602,0.037267080745341616,0.43478260869565216,0.2732919254658385,0.21739130434782608,0.0,161,E01000075
E01000076,0.0,0.05102040816326531,0.030612244897959183,0.7244897959183674,0.01020408163265306,0.1836734693877551,0.0,98,E01000076
E01000077,0.03488372093023256,0.046511627906976744,0.10465116279069768,0.5581395348837209,0.011627906976744186,0.23255813953488372,0.011627906976744186,86,E01000077
E01000078,0.011764705882352941,0.07058823529411765,0.023529411764705882,0.6470588235294118,0.0,0.24705882352941178,0.0,85,E01000078
E01000079,0.0,0.023622047244094488,0.031496062992125984,0.5669291338582677,0.08661417322834646,0.29133858267716534,0.0,127,E01000079
E01000080,0.0,0.017543859649122806,0.017543859649122806,0.6842105263157895,0.017543859649122806,0.22807017543859648,0.03508771929824561,57,E01000080
E01000081,0.0,0.009523809523809525,0.0380952380952381,0.780952380952381,0.0,0.17142857142857143,0.0,105,E01000081
E01000082,0.023529411764705882,0.023529411764705882,0.09411764705882353,0.6823529411764706,0.0,0.17647058823529413,0.0,85,E01000082
E01000083,0.03278688524590164,0.06557377049180328,0.0,0.6065573770491803,0.0,0.29508196721311475,0.0,61,E01000083
E01000084,0.06578947368421052,0.02631578947368421,0.06578947368421052,0.6447368421052632,0.013157894736842105,0.18421052631578946,0.0,76,E01000084
E01000085,0.056179775280898875,0.011235955056179775,0.12359550561797752,0.6179775280898876,0.011235955056179775,0.16853932584269662,0.011235955056179775,89,E01000085
E01000086,0.0,0.0,0.18840579710144928,0.6956521739130435,0.014492753623188406,0.10144927536231885,0.0,69,E01000086
E01000087,0.05194805194805195,0.0,0.05194805194805195,0.5454545454545454,0.1038961038961039,0.23376623376623376,0.012987012987012988,77,E01000087
E01000088,0.0,0.0,0.0,0.821917808219178,0.0547945205479452,0.0684931506849315,0.0547945205479452,73,E01000088
E01000089,0.0,0.0,0.0,0.8958333333333334,0.041666666666666664,0.0,0.0625,96,E01000089
E01000090,0.01675977653631285,0.0,0.0,0.4301675977653631,0.22346368715083798,0.3128491620111732,0.01675977653631285,179,E01000090
E01000091,0.0,0.09375,0.078125,0.484375,0.0625,0.28125,0.0,64,E01000091
E01000092,0.0,0.04093567251461988,0.04093567251461988,0.2807017543859649,0.26900584795321636,0.32748538011695905,0.04093567251461988,171,E01000092
E01000093,0.0,0.13043478260869565,0.08695652173913043,0.4057971014492754,0.043478260869565216,0.3333333333333333,0.0,69,E01000093
E01000094,0.0,0.06521739130434782,0.021739130434782608,0.2391304347826087,0.3695652173913043,0.30434782608695654,0.0,46,E01000094
E01000095,0.0,0.02586206896551724,0.017241379310344827,0.27586206896551724,0.2974137931034483,0.38362068965517243,0.0,232,E01000095
E01000096,0.05084745762711865,0.06779661016949153,0.06779661016949153,0.1694915254237288,0.2711864406779661,0.3728813559322034,0.0,59,E01000096
E01000097,0.0,0.11827956989247312,0.06451612903225806,0.5161290322580645,0.010752688172043012,0.2903225806451613,0.0,93,E01000097
E01000098,0.05434782608695652,0.13043478260869565,0.03260869565217391,0.5978260869565217,0.010869565217391304,0.17391304347826086,0.0,92,E01000098
E01000099,0.0,0.04716981132075472,0.0,0.6415094339622641,0.018867924528301886,0.29245283018867924,0.0,106,E01000099
E01000100,0.0,0.0,0.022988505747126436,0.5977011494252874,0.05747126436781609,0.3218390804597701,0.0,87,E01000100
E01000101,0.0,0.0,0.016129032258064516,0.6451612903225806,0.0,0.3387096774193548,0.0,62,E01000101
E01000102,0.0,0.0547945205479452,0.0547945205479452,0.5616438356164384,0.0136986301369863,0.3013698630136986,0.0136986301369863,73,E01000102
E01000103,0.0,0.0,0.10377358490566038,0.4339622641509434,0.2641509433962264,0.1792452830188679,0.018867924528301886,106,E01000103
E01000104,0.0,0.05555555555555555,0.09259259259259259,0.25925925925925924,0.16666666666666666,0.42592592592592593,0.0,54,E01000104
E01000105,0.016129032258064516,0.016129032258064516,0.22580645161290322,0.6129032258064516,0.0,0.11290322580645161,0.016129032258064516,62,E01000105
E01000106,0.06060606060606061,0.16666666666666666,0.07575757575757576,0.3333333333333333,0.030303030303030304,0.30303030303030304,0.030303030303030304,66,E01000106
E01000107,0.0,0.03571428571428571,0.03571428571428571,0.75,0.008928571428571428,0.16964285714285715,0.0,112,E01000107
E01000108,0.012658227848101266,0.02531645569620253,0.05063291139240506,0.6582278481012658,0.0379746835443038,0.16455696202531644,0.05063291139240506,79,E01000108
E01000109,0.010752688172043012,0.0,0.053763440860215055,0.7204301075268817,0.010752688172043012,0.13978494623655913,0.06451612903225806,93,E01000109
E01000110,0.03225806451612903,0.0,0.053763440860215055,0.6451612903225806,0.021505376344086023,0.043010752688172046,0.20430107526881722,93,E01000110
E01000111,0.0,0.02586206896551724,0.08620689655172414,0.5517241379310345,0.1206896551724138,0.1724137931034483,0.04310344827586207,116,E01000111
E01000112,0.13829787234042554,0.02127659574468085,0.06382978723404255,0.4148936170212766,0.0,0.11702127659574468,0.24468085106382978,94,E01000112
E01000113,0.1016949152542373,0.00847457627118644,0.1016949152542373,0.3050847457627119,0.01694915254237288,0.05084745762711865,0.4152542372881356,118,E01000113
E01000114,0.07207207207207207,0.009009009009009009,0.018018018018018018,0.7207207207207207,0.009009009009009009,0.10810810810810811,0.06306306306306306,111,E01000114
