"","LSOA11CD","clusters_2018_cleanup_Commercial","clusters_2018_cleanup_Estates","clusters_2018_cleanup_High.density","clusters_2018_cleanup_Low.density","clusters_2018_cleanup_Open.green.space","clusters_2018_cleanup_Other.green","clusters_2018_cleanup_Terraced","count","lsoa","hierarchical8"
"1","E01000001",0.636363636363636,0.0227272727272727,0.340909090909091,0,0,0,0,44,"E01000001",1
"2","E01000002",0.626865671641791,0.0149253731343284,0.328358208955224,0,0,0,0.0298507462686567,67,"E01000002",1
"3","E01000003",0.227272727272727,0.0909090909090909,0.681818181818182,0,0,0,0,22,"E01000003",2
"4","E01000005",0.785714285714286,0.0267857142857143,0.160714285714286,0,0,0.0267857142857143,0,112,"E01000005",3
"5","E01000006",0,0,0.0163934426229508,0.60655737704918,0,0.0655737704918033,0.311475409836066,122,"E01000006",4
"6","E01000007",0.0952380952380952,0.20952380952381,0.276190476190476,0.123809523809524,0.0571428571428571,0.228571428571429,0.00952380952380952,105,"E01000007",1
"7","E01000008",0.0447761194029851,0.164179104477612,0.0298507462686567,0.0149253731343284,0.119402985074627,0.626865671641791,0,67,"E01000008",5
"8","E01000009",0.264957264957265,0.0427350427350427,0.0598290598290598,0.153846153846154,0,0.0512820512820513,0.427350427350427,117,"E01000009",6
"9","E01000010",0.3,0.117391304347826,0.156521739130435,0.0304347826086957,0.0782608695652174,0.217391304347826,0.1,230,"E01000010",5
"10","E01000011",0.0315789473684211,0.0105263157894737,0.0105263157894737,0.210526315789474,0,0,0.736842105263158,95,"E01000011",6
"11","E01000012",0.0476190476190476,0.142857142857143,0.345238095238095,0.202380952380952,0.0119047619047619,0.0833333333333333,0.166666666666667,84,"E01000012",1
"12","E01000013",0.10989010989011,0.0384615384615385,0.010989010989011,0.648351648351648,0.00549450549450549,0.186813186813187,0,182,"E01000013",4
"13","E01000014",0,0.0252100840336134,0.00840336134453781,0.57563025210084,0.176470588235294,0.210084033613445,0.00420168067226891,238,"E01000014",4
"14","E01000015",0,0.0229007633587786,0,0.732824427480916,0.083969465648855,0.16030534351145,0,131,"E01000015",4
"15","E01000016",0.0359712230215827,0.0431654676258993,0.0143884892086331,0.676258992805755,0.00719424460431655,0.215827338129496,0.00719424460431655,139,"E01000016",4
"16","E01000017",0,0.046242774566474,0.0346820809248555,0.630057803468208,0.00578034682080925,0.283236994219653,0,173,"E01000017",4
"17","E01000018",0.00609756097560976,0.0304878048780488,0.00609756097560976,0.725609756097561,0,0.225609756097561,0.00609756097560976,164,"E01000018",4
"18","E01000019",0.00505050505050505,0.0656565656565657,0.0404040404040404,0.590909090909091,0.0101010101010101,0.282828282828283,0.00505050505050505,198,"E01000019",4
"19","E01000020",0,0.0913978494623656,0.0161290322580645,0.602150537634409,0,0.290322580645161,0,186,"E01000020",4
