,Unnamed: 0,LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High.density,clusters_2021_cleanup_Low.density,clusters_2021_cleanup_Open.green.space,clusters_2021_cleanup_Other.green,clusters_2021_cleanup_Terraced,count,lsoa,hierarchical8,err
0,1,E01000001,0.444444444444444,0.0,0.511111111111111,0.0,0.0,0.0,0.0444444444444444,45,E01000001,1,5.388500114802526
1,2,E01000002,0.549019607843137,0.0,0.372549019607843,0.0196078431372549,0.0,0.0,0.0588235294117647,51,E01000002,1,4.651742915002099
2,3,E01000003,0.105263157894737,0.0526315789473684,0.631578947368421,0.0526315789473684,0.105263157894737,0.0526315789473684,0.0,19,E01000003,1,8.382248328461763
3,4,E01000005,0.71551724137931,0.0086206896551724,0.21551724137931,0.0,0.0258620689655172,0.0344827586206897,0.0,116,E01000005,2,3.3999633718818623
4,5,E01000006,0.0,0.0,0.0338983050847458,0.610169491525424,0.0084745762711864,0.0677966101694915,0.279661016949153,118,E01000006,3,3.5642175990075775
5,6,E01000007,0.141666666666667,0.166666666666667,0.308333333333333,0.125,0.0916666666666667,0.166666666666667,0.0,120,E01000007,1,2.869201983072595
6,7,E01000008,0.0405405405405405,0.0810810810810811,0.0405405405405405,0.0,0.121621621621622,0.716216216216216,0.0,74,E01000008,4,4.181900166138272
7,8,E01000009,0.169354838709677,0.0564516129032258,0.0725806451612903,0.112903225806452,0.0,0.0403225806451613,0.548387096774194,124,E01000009,5,3.013971941255174
8,9,E01000010,0.283653846153846,0.0721153846153846,0.192307692307692,0.0240384615384615,0.0576923076923077,0.230769230769231,0.139423076923077,208,E01000010,2,2.5247474290659597
9,10,E01000011,0.0094339622641509,0.0,0.0188679245283019,0.122641509433962,0.0,0.0,0.849056603773585,106,E01000011,5,0.0
10,11,E01000012,0.037037037037037,0.0864197530864197,0.333333333333333,0.209876543209877,0.0,0.0740740740740741,0.259259259259259,81,E01000012,1,3.9986670200620353
11,12,E01000013,0.111801242236025,0.0248447204968944,0.0062111801242236,0.658385093167702,0.0,0.198757763975155,0.0,161,E01000013,3,2.7362004939958324
12,13,E01000014,0.0,0.0088495575221238,0.0044247787610619,0.539823008849557,0.190265486725664,0.256637168141593,0.0,226,E01000014,3,1.7843748372380928
13,14,E01000015,0.0,0.0,0.0142857142857143,0.585714285714286,0.114285714285714,0.271428571428571,0.0142857142857143,140,E01000015,3,3.2058113048381736
14,15,E01000016,0.0246913580246914,0.0185185185185185,0.0185185185185185,0.691358024691358,0.0185185185185185,0.209876543209877,0.0185185185185185,162,E01000016,3,1.8931163583296169
15,16,E01000017,0.0,0.0132450331125828,0.0132450331125828,0.655629139072848,0.0066225165562913,0.311258278145695,0.0,151,E01000017,3,2.510738762785312
16,17,E01000018,0.0,0.0197368421052632,0.006578947368421,0.703947368421053,0.006578947368421,0.256578947368421,0.006578947368421,152,E01000018,3,2.988289464988236
17,18,E01000019,0.0,0.0459770114942529,0.028735632183908,0.649425287356322,0.0114942528735632,0.252873563218391,0.0114942528735632,174,E01000019,3,2.6366526627811537
18,19,E01000020,0.0,0.0548780487804878,0.0426829268292683,0.573170731707317,0.0060975609756097,0.323170731707317,0.0,164,E01000020,3,2.7258365867197543
19,20,E01000021,0.087719298245614,0.043859649122807,0.0087719298245614,0.482456140350877,0.0087719298245614,0.359649122807018,0.0087719298245614,114,E01000021,3,3.48575009794546
20,21,E01000022,0.0,0.0869565217391304,0.0124223602484472,0.714285714285714,0.0,0.180124223602484,0.0062111801242236,161,E01000022,3,2.3962981593416686
21,22,E01000023,0.05,0.121428571428571,0.135714285714286,0.442857142857143,0.0428571428571429,0.2,0.0071428571428571,140,E01000023,3,3.231047382367909
22,23,E01000024,0.0,0.0483870967741935,0.0080645161290322,0.596774193548387,0.0,0.330645161290323,0.0161290322580645,124,E01000024,3,3.337074658663934
23,24,E01000025,0.0,0.0434782608695652,0.0144927536231884,0.688405797101449,0.0,0.246376811594203,0.0072463768115942,138,E01000025,3,2.3895031172985934
24,25,E01000027,0.008130081300813,0.0284552845528455,0.0121951219512195,0.239837398373984,0.390243902439024,0.321138211382114,0.0,492,E01000027,3,1.6902577771852776
25,26,E01000028,0.0,0.29,0.07,0.41,0.08,0.14,0.01,100,E01000028,3,3.8609242242752346
26,27,E01000029,0.0073260073260073,0.021978021978022,0.0036630036630036,0.666666666666667,0.0366300366300366,0.26007326007326,0.0036630036630036,273,E01000029,3,1.9553342222938308
27,28,E01000030,0.0,0.118959107806691,0.0260223048327138,0.33457249070632,0.0631970260223048,0.442379182156134,0.0148698884758364,269,E01000030,4,1.6395859900909784
28,29,E01000031,0.0034482758620689,0.0137931034482759,0.0241379310344828,0.396551724137931,0.189655172413793,0.289655172413793,0.0827586206896552,290,E01000031,3,2.168403390951291
29,30,E01000032,0.0784313725490196,0.0294117647058824,0.0147058823529412,0.568627450980392,0.0,0.200980392156863,0.107843137254902,204,E01000032,3,2.706674706880522
30,31,E01000033,0.0,0.0727272727272727,0.0181818181818182,0.609090909090909,0.009090909090909,0.281818181818182,0.009090909090909,110,E01000033,3,3.5314129855055745
31,32,E01000034,0.0,0.0046948356807511,0.0328638497652582,0.446009389671362,0.215962441314554,0.295774647887324,0.0046948356807511,213,E01000034,3,2.6331762781738193
32,33,E01000035,0.0718562874251497,0.0598802395209581,0.0658682634730539,0.389221556886228,0.0,0.341317365269461,0.0718562874251497,167,E01000035,3,2.900845051246646
33,34,E01000036,0.0,0.0,0.0649350649350649,0.571428571428571,0.038961038961039,0.136363636363636,0.188311688311688,154,E01000036,3,2.8867799398502623
34,35,E01000037,0.0041322314049586,0.0,0.0165289256198347,0.756198347107438,0.0041322314049586,0.190082644628099,0.0289256198347107,242,E01000037,3,2.2688107261539274
35,36,E01000038,0.0284090909090909,0.0227272727272727,0.0113636363636364,0.704545454545455,0.0,0.204545454545455,0.0284090909090909,176,E01000038,3,2.869462493860932
36,37,E01000039,0.0,0.0040650406504065,0.016260162601626,0.41869918699187,0.378048780487805,0.17479674796748,0.008130081300813,246,E01000039,3,2.442631012683963
37,38,E01000040,0.0457516339869281,0.0261437908496732,0.0522875816993464,0.686274509803922,0.0,0.124183006535948,0.065359477124183,153,E01000040,3,2.570035169992975
38,39,E01000041,0.0,0.0479452054794521,0.0136986301369863,0.705479452054795,0.0273972602739726,0.191780821917808,0.0136986301369863,146,E01000041,3,1.0900806260830658
39,40,E01000042,0.0,0.082089552238806,0.0298507462686567,0.641791044776119,0.0223880597014925,0.208955223880597,0.0149253731343284,134,E01000042,3,3.279715500945354
40,41,E01000043,0.0,0.0355029585798817,0.0059171597633136,0.63905325443787,0.0236686390532544,0.289940828402367,0.0059171597633136,169,E01000043,3,2.7496872597178936
41,42,E01000044,0.0,0.0,0.0818713450292398,0.233918128654971,0.0175438596491228,0.0760233918128655,0.590643274853801,171,E01000044,5,2.3165460675547163
42,43,E01000045,0.0530612244897959,0.0448979591836735,0.0204081632653061,0.404081632653061,0.0408163265306122,0.428571428571429,0.0081632653061224,245,E01000045,4,2.296530924740123
43,44,E01000046,0.0,0.034965034965035,0.034965034965035,0.601398601398601,0.0769230769230769,0.230769230769231,0.020979020979021,143,E01000046,3,3.098208326171236
44,45,E01000048,0.0,0.238095238095238,0.19047619047619,0.19047619047619,0.0,0.19047619047619,0.19047619047619,21,E01000048,1,8.407646477091347
45,46,E01000049,0.0,0.0666666666666667,0.0857142857142857,0.333333333333333,0.152380952380952,0.238095238095238,0.123809523809524,105,E01000049,6,3.1475332252719186
46,47,E01000050,0.03,0.07,0.07,0.23,0.02,0.11,0.47,100,E01000050,5,2.620703819791181
47,48,E01000051,0.0625,0.3125,0.3125,0.0,0.0625,0.25,0.0,16,E01000051,1,9.63778442979909
48,49,E01000052,0.0041322314049586,0.012396694214876,0.0537190082644628,0.43801652892562,0.136363636363636,0.128099173553719,0.227272727272727,242,E01000052,3,1.9644463118444606
49,50,E01000053,0.0289017341040462,0.0115606936416185,0.0520231213872832,0.439306358381503,0.0809248554913295,0.375722543352601,0.0115606936416185,173,E01000053,3,2.3224049829966775
50,51,E01000054,0.0,0.0119047619047619,0.0238095238095238,0.785714285714286,0.0416666666666667,0.113095238095238,0.0238095238095238,168,E01000054,3,0.0
51,52,E01000055,0.0,0.0437956204379562,0.0218978102189781,0.605839416058394,0.0583941605839416,0.248175182481752,0.0218978102189781,137,E01000055,3,1.1685486179226703
52,53,E01000056,0.0,0.0064102564102564,0.0256410256410256,0.544871794871795,0.108974358974359,0.301282051282051,0.0128205128205128,156,E01000056,3,2.0090543889679315
53,54,E01000057,0.078740157480315,0.078740157480315,0.0551181102362205,0.543307086614173,0.0078740157480315,0.220472440944882,0.015748031496063,127,E01000057,3,0.0
54,55,E01000058,0.0,0.0708661417322835,0.0551181102362205,0.653543307086614,0.0,0.196850393700787,0.0236220472440945,127,E01000058,3,3.2709047136146254
55,56,E01000059,0.0,0.0463576158940397,0.0397350993377483,0.642384105960265,0.0529801324503311,0.198675496688742,0.0198675496688742,151,E01000059,3,3.022085281487191
56,57,E01000060,0.0114942528735632,0.21455938697318,0.0651340996168582,0.340996168582375,0.0421455938697318,0.32183908045977,0.003831417624521,261,E01000060,4,2.118617405686398
57,58,E01000061,0.0068965517241379,0.144827586206897,0.193103448275862,0.0137931034482759,0.206896551724138,0.43448275862069,0.0,145,E01000061,4,3.1078558876363576
58,59,E01000062,0.0,0.104868913857678,0.0599250936329588,0.614232209737828,0.0,0.217228464419476,0.0037453183520599,267,E01000062,3,2.31235839404295
59,60,E01000063,0.0,0.0192307692307692,0.0,0.756410256410256,0.0,0.217948717948718,0.0064102564102564,156,E01000063,3,1.4097584002736796
60,61,E01000064,0.0576923076923077,0.0576923076923077,0.105769230769231,0.533653846153846,0.0048076923076923,0.225961538461538,0.0144230769230769,208,E01000064,3,2.5683573951368763
61,62,E01000065,0.0207253886010363,0.005181347150259,0.0103626943005181,0.569948186528497,0.0155440414507772,0.357512953367876,0.0207253886010363,193,E01000065,3,1.8115093859407128
62,63,E01000066,0.0,0.107936507936508,0.0095238095238095,0.59047619047619,0.0857142857142857,0.13968253968254,0.0666666666666667,315,E01000066,3,1.491157413495052
63,64,E01000067,0.0036496350364963,0.135036496350365,0.0401459854014599,0.572992700729927,0.0109489051094891,0.145985401459854,0.0912408759124088,274,E01000067,3,1.9563677258406553
64,65,E01000068,0.0,0.0,0.03,0.62,0.08,0.12,0.15,100,E01000068,3,3.806381235646209
65,66,E01000069,0.0056818181818181,0.0056818181818181,0.0170454545454545,0.693181818181818,0.0,0.176136363636364,0.102272727272727,176,E01000069,3,2.719724740813504
66,67,E01000070,0.0593607305936073,0.0045662100456621,0.0091324200913242,0.602739726027397,0.045662100456621,0.205479452054795,0.0730593607305936,219,E01000070,3,2.3068466327370896
67,68,E01000071,0.0051020408163265,0.086734693877551,0.0408163265306122,0.591836734693878,0.0255102040816327,0.163265306122449,0.086734693877551,196,E01000071,3,2.5038727363376108
68,69,E01000072,0.0648648648648649,0.0864864864864865,0.0162162162162162,0.535135135135135,0.0864864864864865,0.210810810810811,0.0,185,E01000072,3,2.811502142219033
69,70,E01000073,0.0,0.0192307692307692,0.032051282051282,0.705128205128205,0.0448717948717949,0.198717948717949,0.0,156,E01000073,3,3.0588676488487945
70,71,E01000074,0.0,0.0679012345679012,0.037037037037037,0.641975308641975,0.0,0.240740740740741,0.0123456790123457,162,E01000074,3,2.2973992714875062
71,72,E01000075,0.0306122448979592,0.0442176870748299,0.0136054421768707,0.445578231292517,0.180272108843537,0.282312925170068,0.0034013605442176,294,E01000075,3,1.9730559216367218
72,73,E01000076,0.0,0.069620253164557,0.0316455696202532,0.70253164556962,0.0,0.189873417721519,0.0063291139240506,158,E01000076,3,0.7311816207345477
73,74,E01000077,0.0297619047619048,0.0297619047619048,0.0357142857142857,0.619047619047619,0.0059523809523809,0.273809523809524,0.0059523809523809,168,E01000077,3,0.0
74,75,E01000078,0.0239520958083832,0.0419161676646707,0.0179640718562874,0.682634730538922,0.0059880239520958,0.221556886227545,0.0059880239520958,167,E01000078,3,2.4945761497688133
75,76,E01000079,0.0,0.0199004975124378,0.0099502487562189,0.562189054726368,0.0945273631840796,0.313432835820896,0.0,201,E01000079,3,2.4478647292619917
