OA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E00000001,1,1,1,1,1,1,1,1,1,1,1
E00000005,1,1,1,1,1,1,1,1,1,1,1
E00000007,1,0,0,1,0,0,0,0,0,0,0
E00000013,1,1,1,1,1,0,1,0,0,1,0
E00000014,1,1,1,1,1,1,1,1,1,1,1
E00000016,1,1,1,1,1,1,1,1,1,1,0
E00000017,1,0,0,1,0,0,0,0,0,0,0
E00000018,1,1,1,1,1,1,1,1,1,1,0
E00000019,1,0,0,1,0,0,0,0,0,0,0
E00000020,1,1,1,1,1,1,1,1,1,1,1
E00000021,1,0,0,0,0,0,0,0,0,0,0
E00000023,1,1,1,1,0,0,1,0,0,1,0
E00000024,0,0,0,0,0,0,0,0,0,0,0
E00000025,1,0,0,0,0,0,0,0,0,0,0
E00000026,1,0,0,0,0,0,0,0,0,0,0
E00000027,1,0,0,1,0,0,0,0,0,0,0
E00000028,1,0,0,1,0,0,0,0,0,0,0
E00000029,1,0,0,0,0,0,0,0,0,0,0
E00000030,1,1,0,1,0,0,0,0,0,0,0
E00000031,1,1,1,1,1,1,1,1,1,1,1
E00000032,1,1,1,1,1,0,1,0,1,1,0
E00000035,0,0,0,0,0,0,0,0,0,0,0
E00000037,1,1,1,1,1,1,0,0,1,1,1
E00000038,1,0,0,0,0,0,0,0,0,1,0
E00000039,1,1,0,1,0,1,1,0,1,1,1
E00000040,0,1,0,1,0,0,0,1,0,0,0
E00000041,1,0,1,0,0,0,0,0,0,1,0
E00000042,1,1,0,1,0,0,0,1,1,0,0
E00000043,1,1,1,1,1,1,1,1,1,1,1
E00000045,1,1,1,1,1,1,0,1,1,0,1
E00000046,0,0,1,1,0,0,0,1,0,0,1
E00000048,1,1,1,1,0,1,1,1,0,0,1
E00000049,0,0,0,0,1,1,0,0,1,1,1
E00000050,1,1,1,0,0,0,0,1,0,0,1
E00000051,1,0,0,1,0,0,0,0,1,1,0
E00000052,0,1,1,0,0,0,1,0,1,0,1
E00000053,1,0,0,1,0,1,1,1,1,1,1
