LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000001,1,0,1,1,0,0,0,0,0,0,0
E01000002,1,0,0,1,0,0,0,0,0,0,0
E01000003,1,1,1,1,1,0,1,0,0,1,0
E01000005,1,0,0,1,0,0,0,0,0,0,0
E01000006,0,0,0,1,1,1,0,1,1,1,1
E01000007,1,1,1,1,0,0,0,0,0,0,0
E01000008,1,1,1,0,0,0,1,1,0,0,1
E01000009,1,1,0,1,0,0,0,0,0,1,0
E01000010,1,0,0,1,0,0,0,0,0,0,0
E01000011,1,0,1,0,0,1,0,0,0,1,0
E01000012,1,1,1,1,1,1,0,0,1,1,1
E01000013,1,1,0,0,0,1,0,1,1,0,1
E01000014,0,0,0,0,0,1,1,1,0,0,0
E01000015,0,1,0,0,1,1,1,1,0,0,1
E01000016,1,1,0,0,1,1,0,1,1,0,1
E01000017,0,0,0,0,1,1,0,1,1,0,1
E01000018,0,1,0,0,1,1,0,1,1,0,1
E01000019,0,1,1,0,1,1,0,1,0,0,1
E01000020,0,1,0,0,1,1,0,1,0,0,1
E01000021,1,1,1,0,1,1,0,1,1,0,1
E01000022,0,1,0,0,1,1,0,1,1,0,1
E01000023,1,1,1,1,1,1,0,1,1,0,1
E01000024,0,1,0,0,1,1,0,1,1,0,1
E01000025,0,1,0,0,0,1,0,1,1,0,1
E01000027,0,0,0,0,0,0,1,0,0,0,0
E01000028,0,1,1,1,1,1,1,1,1,0,1
E01000029,0,0,0,0,0,1,0,1,0,0,0
E01000030,0,1,0,0,0,0,1,1,1,0,0
E01000031,0,0,0,0,0,1,1,1,0,1,0
E01000032,1,0,0,0,0,1,0,1,0,1,0
E01000033,0,1,0,1,1,1,0,1,1,0,1
E01000034,0,0,0,0,1,1,1,1,1,0,1
E01000035,1,0,0,0,0,1,0,1,0,0,0
E01000036,0,0,0,1,0,1,0,1,1,1,0
E01000037,0,0,0,0,1,1,0,1,0,0,0
