,lsoa,hierarchical8_x,hierarchical8_y,same
0,E01000001,1,1,1
1,E01000002,1,1,1
2,E01000003,1,1,1
3,E01000005,2,2,1
4,E01000006,3,3,1
5,E01000007,4,7,0
6,E01000008,5,5,1
7,E01000009,6,6,1
8,E01000010,7,2,0
9,E01000011,8,8,1
10,E01000012,7,7,1
11,E01000013,3,9,0
12,E01000014,3,3,1
13,E01000015,3,3,1
14,E01000016,9,9,1
15,E01000017,3,3,1
16,E01000018,9,9,1
17,E01000019,9,3,0
18,E01000020,3,3,1
19,E01000021,3,3,1
20,E01000022,3,9,0
21,E01000023,5,3,0
22,E01000024,3,3,1
23,E01000025,3,9,0
24,E01000027,4,4,1
25,E01000028,3,3,1
26,E01000029,3,3,1
27,E01000030,5,5,1
28,E01000031,4,4,1
29,E01000032,3,3,1
30,E01000033,3,3,1
31,E01000034,3,4,0
32,E01000035,3,3,1
33,E01000036,9,9,1
34,E01000037,9,9,1
35,E01000038,9,9,1
36,E01000039,4,4,1
37,E01000040,9,9,1
38,E01000041,9,9,1
39,E01000042,3,9,0
40,E01000043,3,3,1
41,E01000044,6,6,1
42,E01000045,5,5,1
43,E01000046,3,3,1
44,E01000048,1,7,0
45,E01000049,3,10,0
46,E01000050,6,6,1
47,E01000051,5,7,0
48,E01000052,10,3,0
49,E01000053,5,3,0
50,E01000054,9,9,1
51,E01000055,3,3,1
52,E01000056,3,3,1
53,E01000057,3,3,1
54,E01000058,3,9,0
55,E01000059,3,9,0
56,E01000060,5,5,1
57,E01000061,5,5,1
58,E01000062,3,9,0
59,E01000063,3,9,0
60,E01000064,3,3,1
61,E01000065,3,3,1
62,E01000066,9,9,1
63,E01000067,3,9,0
64,E01000068,3,9,0
65,E01000069,9,9,1
66,E01000070,9,3,0
67,E01000071,3,9,0
68,E01000072,3,3,1
69,E01000073,3,9,0
70,E01000074,9,3,0
71,E01000075,4,4,1
72,E01000076,9,9,1
73,E01000077,3,3,1
74,E01000078,3,9,0
75,E01000079,3,3,1
76,E01000080,3,3,1
77,E01000081,9,9,1
78,E01000082,3,9,0
79,E01000083,3,3,1
80,E01000084,3,3,1
81,E01000085,9,9,1
82,E01000086,3,3,1
83,E01000087,3,3,1
84,E01000088,9,9,1
85,E01000089,9,9,1
86,E01000090,5,4,0
87,E01000091,3,3,1
88,E01000092,5,5,1
89,E01000093,5,5,1
90,E01000094,11,5,0
91,E01000095,5,5,1
92,E01000096,5,5,1
93,E01000097,3,3,1
94,E01000098,3,3,1
95,E01000099,3,3,1
96,E01000100,3,3,1
97,E01000101,3,3,1
98,E01000102,3,3,1
99,E01000103,3,4,0
100,E01000104,4,5,0
101,E01000105,3,9,0
102,E01000106,5,3,0
103,E01000107,9,9,1
104,E01000108,9,3,0
105,E01000109,9,9,1
106,E01000110,3,9,0
107,E01000111,3,3,1
108,E01000112,10,3,0
109,E01000113,6,3,0
110,E01000114,3,9,0
111,E01000115,3,3,1
112,E01000116,3,9,0
113,E01000117,3,3,1
114,E01000118,3,3,1
115,E01000119,9,9,1
116,E01000120,9,9,1
117,E01000121,3,3,1
118,E01000122,3,3,1
119,E01000123,4,3,0
120,E01000124,4,4,1
121,E01000125,3,7,0
122,E01000126,5,7,0
123,E01000127,3,3,1
124,E01000128,9,3,0
125,E01000129,3,3,1
126,E01000130,3,3,1
127,E01000131,3,3,1
128,E01000132,3,9,0
129,E01000133,3,9,0
