,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
0,0,0,0,5,0,0,0,0,0,0,0,E00000001,2,0,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,0.0,2.0
1,0,0,0,5,0,0,0,0,0,0,5,E00000005,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
2,1,0,1,3,0,0,1,0,0,1,1,E00000007,2,0,1,3,0,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1,0,0,3,0,0,0,0,0,0,0,E00000013,1,0,0,1,0,0,2,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,E00000014,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5,0,0,0,3,0,0,0,0,0,0,0,E00000016,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,4.0
6,0,0,0,1,0,0,0,0,0,0,1,E00000017,2,0,0,2,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
7,0,0,0,0,0,0,0,0,0,0,0,E00000018,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8,1,0,0,4,0,0,0,0,0,0,0,E00000019,1,0,0,3,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
9,1,0,1,2,0,0,0,1,0,1,1,E00000021,2,0,1,2,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10,0,0,2,3,0,0,0,2,0,0,0,E00000023,0,1,1,4,0,0,0,0,0,0,0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0
11,2,1,1,3,1,1,1,1,0,1,1,E00000024,2,1,1,3,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,0,1,4,0,1,1,1,0,1,1,E00000025,2,1,1,3,0,0,0,1,1,1,1,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0
13,2,1,1,4,0,0,0,1,0,1,1,E00000026,3,1,1,3,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0
14,2,0,0,3,0,0,0,1,0,1,1,E00000027,2,0,1,3,1,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15,2,1,0,5,1,0,0,0,0,1,1,E00000028,3,0,1,5,0,0,1,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0
16,3,1,1,2,1,0,1,1,1,0,1,E00000029,4,1,1,2,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
17,4,0,0,2,0,0,0,0,0,0,1,E00000030,4,1,0,2,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,0,0,0,0,0,0,0,0,0,0,0,E00000031,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
19,0,0,0,5,0,0,0,0,0,0,0,E00000032,2,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,1.0,2.0
20,2,1,1,3,0,0,1,1,1,1,1,E00000035,3,1,1,2,1,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0
21,0,1,0,1,0,1,0,0,1,6,1,E00000037,0,1,1,1,1,1,0,0,2,6,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
22,1,0,0,0,0,1,0,0,2,5,0,E00000038,1,1,1,0,1,1,0,1,1,6,1,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0
