,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
0,1,0,1,3,0,0,1,1,0,1,1,E01000001,2,0,1,3,0,0,0,0,0,1,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0,1,2,0,0,0,1,0,1,1,E01000002,2,0,1,2,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,1,0,1,3,0,0,0,1,1,0,0,E01000003,1,1,1,3,1,0,1,0,0,0,1,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,3,1,1,2,1,0,1,1,1,0,1,E01000005,4,1,1,2,0,0,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
4,0,0,1,1,2,3,1,1,2,3,1,E01000006,0,1,0,1,1,3,1,1,1,2,2,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
5,1,1,1,1,1,1,2,1,1,1,1,E01000007,1,1,1,2,1,1,1,1,1,0,2,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
6,1,1,1,1,1,1,4,1,1,0,1,E01000008,1,1,1,1,0,1,1,2,1,0,3,0.0,-3.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
7,2,1,1,1,1,1,1,1,1,3,1,E01000009,2,1,1,1,1,1,0,1,1,3,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,1,1,1,1,1,2,1,1,1,1,E01000010,2,1,1,2,1,1,1,1,1,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,1,0,1,1,1,1,1,0,1,6,1,E01000011,1,1,1,1,1,1,0,1,1,6,1,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,1,1,1,2,1,1,1,1,2,2,1,E01000012,1,1,1,2,1,1,1,1,1,2,2,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,1,1,5,1,2,1,1,1,E01000013,1,1,1,1,1,3,0,2,1,0,2,-2.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
12,0,1,1,1,1,4,2,2,1,1,1,E01000014,1,1,1,1,1,3,2,3,1,1,2,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0,1,1,1,1,5,1,2,1,0,2,E01000015,0,1,1,1,1,3,1,2,1,1,2,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,1,1,1,1,1,5,1,2,1,0,2,E01000016,1,1,1,1,1,3,0,2,1,1,2,-2.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,0,1,1,1,1,5,1,3,1,0,2,E01000017,0,1,1,1,1,3,1,3,1,1,2,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,0,1,1,1,1,5,1,2,1,0,1,E01000018,0,1,1,0,1,3,1,2,1,1,3,-2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
17,0,1,1,1,1,5,1,2,1,1,1,E01000019,1,2,1,1,1,3,1,2,1,1,3,-2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,0,1,1,1,1,5,1,2,1,0,1,E01000020,1,1,1,1,1,3,1,3,1,0,2,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1,1,1,1,1,3,1,3,1,0,1,E01000021,1,1,1,1,1,2,1,2,1,1,2,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0,1,1,1,1,5,0,2,1,1,1,E01000022,0,2,1,1,1,3,0,2,1,1,2,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,1,1,1,1,1,2,1,2,1,1,2,E01000023,1,2,2,1,1,1,1,1,1,0,2,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0
22,0,2,0,0,1,4,1,3,1,1,1,E01000024,0,1,0,1,1,3,0,3,1,1,3,-1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
23,1,1,1,1,1,4,1,2,2,0,1,E01000025,1,2,1,1,1,3,1,2,2,1,3,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,1,1,1,1,1,2,4,2,2,0,1,E01000027,1,1,1,1,1,1,3,3,1,1,2,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,0,2,1,1,1,2,1,2,3,1,1,E01000028,0,3,1,1,1,2,1,1,2,1,2,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1,1,1,1,1,5,1,2,1,1,1,E01000029,1,1,1,1,1,5,1,2,1,0,2,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
27,1,1,1,1,1,2,2,3,2,1,1,E01000030,0,2,1,1,1,2,1,3,1,1,2,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0
28,0,1,1,1,1,3,3,2,1,1,1,E01000031,1,1,1,1,1,2,2,2,1,1,2,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,1,1,1,1,1,4,1,2,1,1,1,E01000032,1,1,1,1,1,3,0,2,1,1,2,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,1,1,1,1,4,1,2,2,0,1,E01000033,0,1,1,1,1,3,0,2,1,1,2,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
31,1,1,1,1,1,4,2,3,2,1,1,E01000034,0,1,1,1,1,2,2,2,2,1,2,-2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
32,1,1,1,1,1,2,1,2,1,1,2,E01000035,1,1,1,1,1,2,1,2,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,1,1,1,1,4,1,1,1,1,1,E01000036,0,0,1,1,1,3,1,1,1,2,1,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0
34,1,1,1,0,1,6,1,2,1,1,1,E01000037,1,1,1,1,1,5,1,2,1,1,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,1,1,1,0,1,5,1,2,1,1,1,E01000038,1,1,1,1,1,4,0,2,1,1,3,-1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,1,1,1,1,1,4,4,1,1,0,1,E01000039,0,1,1,1,1,3,3,2,1,1,1,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
37,1,1,1,1,1,4,0,1,1,1,2,E01000040,1,1,1,1,1,3,1,1,1,1,3,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,1,1,1,2,3,1,2,2,0,2,E01000041,1,1,1,1,1,3,1,2,1,1,2,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0
39,0,1,1,1,1,2,1,2,2,0,1,E01000042,0,1,1,1,1,2,1,2,1,1,3,0.0,0.0,0.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
40,1,1,1,1,1,4,1,2,1,1,2,E01000043,1,1,1,1,1,2,1,2,1,1,3,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1,1,1,1,1,2,1,1,1,4,1,E01000044,0,1,1,1,1,2,1,1,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
42,1,1,1,1,1,2,2,2,1,1,2,E01000045,1,1,1,1,1,2,1,2,1,1,2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,1,1,1,2,3,1,2,1,1,1,E01000046,0,1,1,1,1,3,1,2,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
44,0,1,1,2,1,1,1,1,1,1,2,E01000048,0,2,1,1,1,1,0,1,1,1,2,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
45,0,1,1,1,1,2,2,1,1,1,1,E01000049,0,1,1,1,1,2,2,1,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,1,1,1,1,2,1,1,1,3,1,E01000050,1,1,1,1,1,1,1,1,1,3,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,2,1,1,1,1,1,2,1,0,2,E01000051,1,2,1,1,0,0,0,1,1,0,2,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
48,1,1,1,1,1,3,2,1,1,2,2,E01000052,1,1,1,1,1,2,1,1,1,2,2,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,1,1,1,1,3,2,2,2,1,2,E01000053,1,1,1,1,1,2,1,3,2,1,2,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,1,1,1,1,5,1,2,1,0,2,E01000054,0,1,1,1,1,4,1,1,1,1,2,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,0,1,1,1,1,4,1,3,1,0,1,E01000055,1,1,1,1,1,3,1,2,1,1,2,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52,0,1,1,1,1,4,2,2,1,1,1,E01000056,0,1,1,1,1,3,2,2,1,1,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,1,1,1,1,3,1,2,1,0,2,E01000057,1,2,1,1,1,2,1,2,1,1,2,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
54,0,1,1,1,1,4,0,2,1,0,1,E01000058,0,2,1,1,1,2,0,2,1,1,3,-2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
