,Commercial,Estates,Green space,High-density,Low-density,lsoa
0,,,,,,E01000001
1,10.032581453634078,,,,,E01000002
2,,,,,,E01000003
3,9.125457875457869,,,,,E01000005
4,,,,,,E01000006
5,,,-13.46856271498989,,,E01000007
6,,,-21.806036025289277,,,E01000008
7,,,,,,E01000009
8,,,-8.995688106360047,,-2.4344232842256597,E01000010
9,,,,,,E01000011
10,,,,,,E01000012
11,,,,,-13.884321785085138,E01000013
12,,,,,,E01000014
13,,,,,,E01000015
14,,,,,-14.548022598870062,E01000016
15,,,,,-14.392173483082566,E01000017
16,,,,,-13.785483596804362,E01000018
17,,,,,-20.93023255813954,E01000019
18,,,,,-14.635343618513332,E01000020
19,,,,,-10.903540903540904,E01000021
20,,,,,-13.617094017094011,E01000022
21,,,,,,E01000024
22,,,,,,E01000025
23,,4.404829277494809,,,-5.957280787501498,E01000027
24,,,,,,E01000028
25,,,,,,E01000029
26,,7.4680133294935604,-9.385156539268532,,,E01000030
27,,,,,,E01000031
28,,2.8262604531732602,,,,E01000032
29,,,,,,E01000033
30,,,,,-16.1295005807201,E01000034
31,,,,,,E01000035
32,,,,,-12.595728616114773,E01000036
33,,,,,-13.789081682763133,E01000037
34,,,,,,E01000038
35,,,,,,E01000039
36,,,,,-13.099236641221381,E01000040
37,,,,,,E01000041
38,,,-11.6625816993464,,,E01000042
39,,5.42605742513121,,,-17.868169188021,E01000043
40,,,,,,E01000044
41,,3.30334212386025,,,,E01000045
42,,,,,,E01000046
43,,,,,,E01000048
44,,,,,,E01000049
45,,,,,,E01000050
46,,,,,,E01000051
47,,,,,,E01000052
48,,,,,,E01000053
49,,,,,,E01000054
50,,,,,,E01000055
51,,,,,,E01000056
52,,10.73982125124132,,,,E01000057
53,,,,,-17.678684376976594,E01000058
54,,,,,,E01000059
55,,,-8.399711025489026,,,E01000060
56,,,-12.698412698412696,,,E01000061
57,,,,,-10.33333333333334,E01000062
58,,,,,-14.583333333333343,E01000063
59,,,,,-14.940971941457107,E01000064
60,,,,,,E01000065
61,,,,,,E01000066
62,,,,,,E01000067
63,,,,,-14.17786108507758,E01000068
64,,,,,,E01000069
65,,,,,,E01000070
66,,,-8.79273327828241,,,E01000071
67,,7.4403404772761785,,,,E01000072
68,,,,,-14.757790577462703,E01000073
69,,9.031198686371098,,,-24.43349753694581,E01000074
70,,5.6035287528005995,,,,E01000075
71,,8.43473851948428,,,-16.923801245835143,E01000076
72,,,,-4.549718574108809,-16.588492808004997,E01000077
73,,,,,-15.188187951236827,E01000078
74,,,,,,E01000079
75,,,,,-17.894605394605385,E01000080
76,,,,,-18.512953056440473,E01000081
77,,,,,-15.560064935064933,E01000082
78,,,-10.971765350877199,-1.953125,-17.23547149122808,E01000083
79,,,,,,E01000084
80,,,,,,E01000085
81,,,,,,E01000086
82,,,-11.399271460247064,,,E01000087
83,,,10.12149532710281,,,E01000088
84,,,,,,E01000089
85,,,,,,E01000091
86,,2.4533809503442896,-6.84227221533153,2.1534579359308803,-2.8233394636670797,E01000092
87,1.53374233128834,,,,-7.664804032667732,E01000093
88,0.9009009009009,4.5366795366795305,-16.42995035852179,,,E01000094
89,,1.90461621228704,-14.965575019353146,,,E01000095
90,,,-10.612204724409452,,,E01000096
91,,,,,-12.25490196078432,E01000097
92,,,,,-16.32601179581046,E01000098
93,,,,,-11.379872164431635,E01000099
94,,,,,-14.957039493518245,E01000100
95,,,,,,E01000101
96,,,,,-18.93024994659261,E01000102
97,,,,,,E01000103
98,,,,,-10.291005291005288,E01000104
99,,,,,,E01000105
100,,,,,,E01000106
101,,,,,,E01000107
102,,,,,,E01000108
103,,,,,,E01000109
104,,,,,,E01000110
105,,,,,,E01000111
106,,,,,,E01000112
107,,,,,,E01000113
108,,,,,-15.277777777777779,E01000114
109,,,,,,E01000115
110,,,,,,E01000116
111,,,,,-14.93743585695114,E01000117
112,,,,,,E01000118
113,,,,,,E01000119
114,,,,,-15.082251082251084,E01000120
115,,,,,-10.205263417278594,E01000122
116,,,,,,E01000124
117,-1.18343195266272,,,,,E01000125
118,,,,,,E01000126
119,,,,,,E01000127
120,,,,,,E01000128
121,,,,,,E01000129
122,,,,,,E01000130
123,,,,,,E01000131
124,,,,,,E01000132
125,,,,,,E01000133
126,,,,,,E01000134
127,,,,,,E01000135
128,,,,,,E01000136
129,,,,,,E01000137
130,,,,,,E01000138
131,,,,,,E01000139
132,,,,,,E01000140
133,,,,,,E01000141
134,,,,,,E01000142
135,,,,,,E01000143
136,,,-7.137863534675621,,-11.449011931394473,E01000144
137,,,,,,E01000145
138,,,,,-11.61668665866987,E01000146
139,,,,,-12.42362015426226,E01000147
140,,,,,,E01000148
141,,,,2.98043348003058,,E01000150
142,,,,,,E01000151
