,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
0,,,,2,,,,,,,,E00000001,1,,,1,,,,,,,1,,,,,,,,,-1.0,,
1,,,,2,,,,,,,2,E00000005,,,,,,,,,,,2,,,,0.0,,,,,,,
2,1,,1,2,,,0,,,0,0,E00000007,1,,1,1,,,,,,1,1,,,,1.0,,1.0,0.0,,-1.0,,0.0
3,1,,,2,,,,,,,,E00000013,1,,,1,,,1,,,,,,,,,,,,,-1.0,,0.0
4,,,,,,,,,,,,E00000014,,,1,,,,,,,,,,,,,,,,,,,
5,,,,2,,,,,,,,E00000016,2,,,,,,,,,,,,,,,,,,,,,
6,,,,1,,,,,,,1,E00000017,1,,,1,,,,,,,1,,,,0.0,,,,,0.0,,
7,,,,,,,,,,,,E00000018,,,,1,,,,,,,,,,,,,,,,,,
8,1,,,2,,,,,,,,E00000019,1,,,2,,,,,,,1,,,,,,,,,0.0,,0.0
9,1,,1,1,,,,0,,0,1,E00000021,1,,1,1,0,0,,0,1,1,1,,,0.0,0.0,,1.0,0.0,,0.0,,0.0
10,,,1,1,,,,1,,,,E00000023,,1,1,2,,,,,,,,,,,,,,0.0,,1.0,,
11,1,1,1,1,0,0,1,0,,0,1,E00000024,1,1,1,1,0,0,0,1,0,1,1,0.0,-1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
12,1,,1,2,,0,1,0,,1,1,E00000025,1,0,1,2,,,,0,0,1,1,,,0.0,0.0,,0.0,0.0,,0.0,,0.0
13,1,0,1,2,,,,0,,0,1,E00000026,1,0,0,1,0,,,0,0,1,1,,,0.0,0.0,,1.0,-1.0,,-1.0,0.0,0.0
14,1,,,2,,,,1,,1,1,E00000027,1,,1,2,0,,,0,,1,1,,,-1.0,0.0,,0.0,,,0.0,,0.0
15,1,0,,2,0,,,,,0,1,E00000028,1,,0,2,,,0,,,1,1,,,,0.0,,1.0,,,0.0,,0.0
16,1,1,1,1,0,,1,1,0,,1,E00000029,2,0,1,1,,,1,1,0,,1,,0.0,0.0,0.0,0.0,,0.0,,0.0,-1.0,1.0
17,2,,,1,,,,,,,1,E00000030,2,1,,1,,,,,,,1,,,,0.0,,,,,0.0,,0.0
18,,,,,,,,,,,,E00000031,,,,2,,,,,,,,,,,,,,,,,,
