,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
0,1,,1,1,,,0,1,,0,1,E01000001,1,,1,1,,,,,,0,1,,,,0.0,,0.0,0.0,,0.0,,0.0
1,1,,1,1,,,,0,,0,1,E01000002,1,,1,1,0,0,,0,0,0,1,,,0.0,0.0,,0.0,0.0,,0.0,,0.0
2,1,,1,2,,,,1,1,,,E01000003,1,1,1,2,1,,1,,,,1,,,,,,,0.0,,0.0,,0.0
3,1,0,0,1,0,,1,1,0,,1,E01000005,2,1,1,1,,,1,1,0,,1,,0.0,0.0,0.0,0.0,,1.0,,0.0,1.0,1.0
4,,,1,1,1,1,1,1,1,2,1,E01000006,,0,,1,1,2,0,1,1,1,1,1.0,-1.0,0.0,0.0,0.0,-1.0,,0.0,0.0,,
5,1,1,1,1,1,1,1,1,1,0,1,E01000007,1,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
6,1,1,1,1,1,0,2,1,1,,1,E01000008,1,1,1,1,,0,1,1,1,,1,0.0,-1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
7,1,1,0,1,1,1,1,1,1,2,1,E01000009,1,1,1,1,1,1,,1,1,2,1,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1,1,1,1,0,1,1,1,1,1,1,E01000010,1,1,1,1,0,0,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,,0,0,0,1,0,,1,3,1,E01000011,1,1,1,0,1,1,,1,1,3,1,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,,0.0
10,1,1,1,1,1,1,1,1,1,1,1,E01000012,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,1,1,1,1,2,1,1,1,0,1,E01000013,1,1,1,0,1,2,,1,1,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,0.0
12,,0,1,1,1,2,1,1,1,0,1,E01000014,0,1,1,0,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,
13,,1,1,0,1,2,1,1,1,,1,E01000015,,1,1,0,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
14,1,1,1,0,1,2,0,1,1,,1,E01000016,1,1,1,0,1,2,,1,1,1,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
15,,1,1,0,1,2,0,1,1,,1,E01000017,,1,1,0,1,2,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
16,,1,0,0,1,2,0,1,1,,1,E01000018,,1,1,,1,2,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,
17,,1,1,1,1,2,1,1,1,0,1,E01000019,0,1,1,0,1,1,0,1,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,
18,,1,1,1,1,2,1,1,1,,1,E01000020,0,1,1,1,1,1,0,1,1,,1,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
19,1,1,1,1,1,1,1,1,1,,1,E01000021,1,1,1,0,1,1,0,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,0.0
20,,1,1,1,1,2,,1,1,0,1,E01000022,,1,1,0,1,1,,1,1,1,1,-1.0,,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,
21,1,1,1,1,1,1,1,1,1,0,1,E01000023,1,1,1,1,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
22,,1,,,1,2,0,2,1,0,1,E01000024,,1,,0,1,1,,2,1,0,1,-1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,
23,0,1,1,1,1,2,1,1,1,,1,E01000025,0,1,1,0,1,2,0,1,1,0,1,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,0.0
24,0,1,1,0,1,1,2,1,1,,1,E01000027,1,1,1,0,1,1,2,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
