,lsoa,hierarchical8_x,err_x,hierarchical8_y,err_y,same
0,E01000001,1,6.544488777365776,1,5.398012239166853,1
1,E01000002,1,8.128340338254318,1,4.649713809596554,1
2,E01000003,1,11.350630524177893,1,8.378492236673612,1
3,E01000005,2,3.7931785812691614,2,3.3922827329755583,1
4,E01000006,3,3.2247835938873863,3,3.5375712087580164,1
5,E01000007,3,3.1220325658895867,1,2.904648974190848,0
6,E01000008,4,4.152765183819902,4,4.177113503150026,1
7,E01000009,5,3.453850826340397,5,2.9932961002898173,1
8,E01000010,1,2.4276242596207833,2,2.554246255448455,0
9,E01000011,5,0.0,5,0.0,1
10,E01000012,1,4.060879306349887,1,3.9968071539655257,1
11,E01000013,3,2.5259585738649455,3,2.7467102002048565,1
12,E01000014,3,1.9542018836299786,3,1.7967082604852815,1
13,E01000015,3,2.842868267979017,3,3.2741096494703723,1
14,E01000016,3,2.3983778758445355,3,1.9001740955347386,1
15,E01000017,3,2.5467602580049293,3,2.4961127685910625,1
16,E01000018,3,2.8253010526145483,3,2.9121334995652313,1
17,E01000019,3,3.13355590878773,3,2.6044327811818366,1
18,E01000020,3,2.929053285010956,3,2.6992242362389973,1
19,E01000021,3,3.592583182407382,3,3.478756849580561,1
20,E01000022,3,2.7148152033662747,3,2.41409279449333,1
21,E01000023,4,3.038424822275134,3,3.236245417229706,0
22,E01000024,3,3.2523868562133065,3,3.3144761205979627,1
23,E01000025,3,3.448420618439892,3,2.3830215478648378,1
24,E01000027,3,1.733105327158208,3,1.6925820228127773,1
25,E01000028,3,4.008724366478693,3,3.7968036847348796,1
26,E01000029,3,1.8966630106488915,3,1.9592702571736338,1
27,E01000030,4,1.4545995799356144,4,1.6480157023653466,1
28,E01000031,3,2.207795020816716,3,2.174550710678189,1
29,E01000032,3,2.6037740034095322,3,2.67214864344905,1
30,E01000033,3,3.3808690740911778,3,3.534383907112207,1
31,E01000034,3,2.3926188125622407,3,2.651244063080657,1
32,E01000035,3,2.5407692647007796,3,2.9270091805307263,1
33,E01000036,3,2.917133205123013,3,2.881967820058817,1
34,E01000037,3,2.4563008636933303,3,2.3212569963994367,1
35,E01000038,3,2.4039560847507055,3,2.88849001195345,1
36,E01000039,3,2.4766853176120764,3,2.4485663428700457,1
37,E01000040,3,3.1179839133032514,3,2.5675984360389656,1
38,E01000041,3,4.460996076930299,3,1.0850721779946442,1
39,E01000042,3,3.03111058556834,3,3.3182016652799304,1
40,E01000043,3,2.735083289594725,3,2.7431310533226627,1
41,E01000044,5,2.7274743377587387,5,2.330231107098989,1
42,E01000045,4,2.5402896995109763,4,2.3345924552504123,1
43,E01000046,3,3.4018484691297486,3,3.16505996623188,1
44,E01000048,1,6.8857114700646305,1,8.378062021274564,1
45,E01000049,3,1.7319538678057733,6,3.120582117437226,0
46,E01000050,5,1.9387606086363525,5,2.6474435630262523,1
47,E01000051,4,9.258555734559296,1,9.517335927649198,0
48,E01000052,6,2.1570380907650835,3,1.9525552977358254,0
49,E01000053,4,2.8650292171113008,3,2.2978645300897624,0
50,E01000054,3,1.3801278898586928,3,0.0,1
51,E01000055,3,1.8605621624491289,3,1.1890293567546988,1
52,E01000056,3,2.0154454333416925,3,2.0120559493307537,1
53,E01000057,3,2.2875262108420205,3,0.0,1
54,E01000058,3,3.436635223680351,3,3.232940761150071,1
55,E01000059,3,2.724599223759278,3,2.9964619366346064,1
56,E01000060,4,2.2979352881553883,4,2.1381721483099563,1
57,E01000061,4,3.207770696983908,4,3.077183865836152,1
58,E01000062,3,2.34278741000213,3,2.327236542411898,1
59,E01000063,3,1.280174753262993,3,1.3954085647187613,1
60,E01000064,3,2.809237234021146,3,2.5469843930634912,1
61,E01000065,3,2.2633640096104735,3,1.8461734262201173,1
62,E01000066,3,1.8413043783892076,3,1.470119782877334,1
63,E01000067,3,2.077457167895111,3,1.9428145294645183,1
