,2011,2018,2021
Commercial,0.03062925645227194,0.03755650279223216,0.03052716062236483
Estates,0.03225275974584413,0.04658107928968452,0.030536178501540008
Fences,0.02687212583283202,0.061311480919280126,0.059675405538125545
High-density,0.05025644639880121,0.05235972090748012,0.05035911654297143
Leafy green residential,0.09359097953043419,0.07236651711280767,0.07028289086972526
Low-density,0.19503937939384175,0.22470420636565452,0.19416969517108967
Open green space,0.11772790084799731,0.08833386545380541,0.10672578023100528
Other green,0.16051371503699657,0.13088576587072648,0.14138640874439148
Sheds,0.10307358119655968,0.07572727798907006,0.08225371557117198
Terraced,0.08017673112855712,0.07711639248459184,0.07872034654889863
Vehicles,0.10986712443586406,0.1330571908146671,0.1553633016587159
