,OA,hierarchical8_x,err_x,hierarchical8_y,err_y,same
0,E00000007,1,,2,,0
1,E00000019,2,,3,,0
2,E00000021,1,,1,,1
3,E00000023,2,,2,,1
4,E00000024,1,,1,,1
5,E00000025,1,,1,,1
6,E00000026,1,,3,,0
7,E00000027,1,,1,,1
8,E00000028,1,,1,,1
9,E00000029,3,,3,,1
10,E00000030,3,,3,,1
11,E00000032,1,,3,,0
12,E00000035,1,,1,,1
13,E00000037,4,,4,,1
14,E00000038,4,,4,,1
15,E00000039,1,,1,,1
16,E00000040,1,,1,,1
17,E00000041,1,,1,,1
18,E00000042,5,,5,,1
19,E00000043,1,,5,,0
20,E00000045,1,,7,,0
21,E00000046,2,,2,,1
22,E00000048,6,,6,,1
23,E00000049,7,,7,,1
24,E00000050,1,,1,,1
25,E00000051,4,,4,,1
26,E00000052,1,,1,,1
27,E00000053,1,,1,,1
28,E00000054,4,,4,,1
29,E00000055,7,,7,,1
30,E00000056,1,,6,,0
31,E00000057,1,,2,,0
32,E00000059,4,,4,,1
33,E00000060,7,,7,,1
34,E00000061,1,,1,,1
35,E00000062,1,,1,,1
36,E00000063,4,,4,,1
37,E00000064,4,,4,,1
38,E00000065,2,,4,,0
39,E00000066,4,,4,,1
40,E00000067,1,,4,,0
41,E00000068,4,,4,,1
42,E00000069,2,,2,,1
43,E00000070,1,,7,,0
44,E00000071,7,,7,,1
45,E00000072,7,,7,,1
46,E00000073,7,,7,,1
47,E00000074,7,,7,,1
48,E00000075,7,,7,,1
49,E00000076,7,,7,,1
50,E00000077,1,,1,,1
51,E00000078,7,,7,,1
52,E00000079,7,,7,,1
53,E00000080,1,,1,,1
54,E00000081,7,,7,,1
55,E00000082,7,,7,,1
56,E00000083,7,,7,,1
57,E00000084,7,,7,,1
58,E00000085,7,,1,,0
59,E00000086,7,,7,,1
60,E00000087,7,,7,,1
61,E00000088,7,,7,,1
62,E00000089,7,,7,,1
63,E00000090,7,,7,,1
64,E00000091,7,,7,,1
65,E00000092,1,,1,,1
66,E00000093,1,,3,,0
67,E00000094,7,,7,,1
68,E00000095,7,,7,,1
69,E00000096,7,,7,,1
70,E00000097,7,,7,,1
71,E00000098,7,,7,,1
72,E00000099,1,,1,,1
73,E00000100,7,,1,,0
74,E00000101,1,,1,,1
75,E00000102,1,,1,,1
76,E00000103,7,,7,,1
77,E00000104,7,,7,,1
78,E00000106,1,,7,,0
79,E00000107,7,,7,,1
80,E00000108,7,,7,,1
81,E00000109,7,,7,,1
82,E00000110,1,,1,,1
83,E00000111,7,,7,,1
84,E00000112,1,,7,,0
85,E00000113,7,,7,,1
86,E00000114,7,,7,,1
87,E00000115,1,,1,,1
88,E00000116,1,,7,,0
89,E00000117,6,,6,,1
90,E00000118,1,,7,,0
91,E00000119,1,,1,,1
92,E00000120,7,,7,,1
93,E00000121,1,,1,,1
94,E00000122,7,,7,,1
95,E00000123,7,,7,,1
96,E00000124,1,,1,,1
97,E00000125,1,,7,,0
98,E00000126,1,,1,,1
99,E00000127,1,,7,,0
100,E00000128,1,,7,,0
101,E00000129,1,,1,,1
102,E00000130,7,,7,,1
103,E00000131,7,,7,,1
104,E00000132,7,,7,,1
105,E00000133,7,,7,,1
106,E00000134,7,,7,,1
107,E00000135,7,,7,,1
108,E00000136,7,,1,,0
109,E00000137,1,,5,,0
110,E00000138,1,,1,,1
111,E00000139,1,,1,,1
112,E00000140,1,,1,,1
113,E00000141,1,,6,,0
114,E00000142,6,,6,,1
115,E00000143,1,,1,,1
116,E00000144,7,,7,,1
117,E00000145,7,,7,,1
118,E00000146,1,,7,,0
119,E00000147,7,,7,,1
120,E00000148,7,,7,,1
121,E00000149,1,,1,,1
122,E00000150,7,,7,,1
123,E00000151,1,,1,,1
124,E00000152,7,,7,,1
125,E00000153,7,,1,,0
126,E00000154,7,,1,,0
127,E00000155,1,,1,,1
128,E00000156,1,,1,,1
129,E00000157,1,,1,,1
130,E00000158,1,,1,,1
131,E00000159,1,,1,,1
132,E00000160,1,,1,,1
133,E00000161,1,,5,,0
134,E00000162,7,,1,,0
135,E00000163,1,,1,,1
136,E00000164,1,,1,,1
137,E00000165,7,,7,,1
138,E00000166,1,,6,,0
139,E00000167,7,,7,,1
140,E00000168,1,,1,,1
141,E00000169,1,,1,,1
142,E00000170,1,,1,,1
143,E00000171,1,,1,,1
144,E00000172,7,,7,,1
145,E00000173,1,,1,,1
146,E00000174,7,,7,,1
147,E00000175,1,,1,,1
148,E00000176,7,,7,,1
149,E00000177,1,,1,,1
150,E00000178,7,,7,,1
151,E00000179,7,,7,,1
152,E00000180,1,,1,,1
153,E00000181,7,,7,,1
154,E00000182,7,,7,,1
155,E00000183,7,,7,,1
156,E00000184,7,,7,,1
157,E00000185,7,,7,,1
158,E00000186,7,,7,,1
159,E00000187,7,,7,,1
160,E00000188,7,,7,,1
161,E00000189,7,,7,,1
162,E00000190,7,,1,,0
163,E00000191,7,,1,,0
164,E00000192,1,,7,,0
165,E00000193,1,,1,,1
166,E00000194,7,,7,,1
167,E00000195,1,,1,,1
168,E00000196,7,,7,,1
169,E00000197,8,,8,,1
170,E00000199,1,,1,,1
171,E00000200,7,,7,,1
172,E00000201,4,,1,,0
173,E00000202,7,,7,,1
174,E00000204,1,,7,,0
175,E00000205,1,,1,,1
176,E00000206,1,,7,,0
177,E00000207,7,,7,,1
178,E00000208,7,,7,,1
179,E00000209,7,,7,,1
180,E00000210,1,,7,,0
181,E00000211,7,,7,,1
182,E00000212,1,,7,,0
183,E00000213,7,,7,,1
