,Commercial,Estates,Green space,High-density,Low-density,lsoa
0,0,0,0,0,0,E01000001
1,1,0,0,0,0,E01000002
2,0,0,0,0,0,E01000003
3,1,0,0,0,0,E01000005
4,0,0,0,0,0,E01000006
5,0,0,1,0,0,E01000007
6,0,0,1,0,0,E01000008
7,0,0,0,0,0,E01000009
8,0,0,1,0,1,E01000010
9,0,0,0,0,0,E01000011
10,0,0,0,0,0,E01000012
11,0,0,0,0,1,E01000013
12,0,0,0,0,0,E01000014
13,0,0,0,0,0,E01000015
14,0,0,0,0,1,E01000016
15,0,0,0,0,1,E01000017
16,0,0,0,0,1,E01000018
17,0,0,0,0,1,E01000019
18,0,0,0,0,1,E01000020
19,0,0,0,0,1,E01000021
20,0,0,0,0,1,E01000022
21,0,0,0,0,0,E01000024
22,0,0,0,0,0,E01000025
23,0,1,0,0,1,E01000027
24,0,0,0,0,0,E01000028
25,0,0,0,0,0,E01000029
26,0,1,1,0,0,E01000030
27,0,0,0,0,0,E01000031
28,0,1,0,0,0,E01000032
29,0,0,0,0,0,E01000033
30,0,0,0,0,1,E01000034
31,0,0,0,0,0,E01000035
32,0,0,0,0,1,E01000036
33,0,0,0,0,1,E01000037
34,0,0,0,0,0,E01000038
35,0,0,0,0,0,E01000039
36,0,0,0,0,1,E01000040
37,0,0,0,0,0,E01000041
38,0,0,1,0,0,E01000042
39,0,1,0,0,1,E01000043
40,0,0,0,0,0,E01000044
41,0,1,0,0,0,E01000045
42,0,0,0,0,0,E01000046
43,0,0,0,0,0,E01000048
44,0,0,0,0,0,E01000049
45,0,0,0,0,0,E01000050
46,0,0,0,0,0,E01000051
47,0,0,0,0,0,E01000052
48,0,0,0,0,0,E01000053
49,0,0,0,0,0,E01000054
50,0,0,0,0,0,E01000055
51,0,0,0,0,0,E01000056
52,0,1,0,0,0,E01000057
53,0,0,0,0,1,E01000058
54,0,0,0,0,0,E01000059
55,0,0,1,0,0,E01000060
56,0,0,1,0,0,E01000061
57,0,0,0,0,1,E01000062
58,0,0,0,0,1,E01000063
59,0,0,0,0,1,E01000064
60,0,0,0,0,0,E01000065
61,0,0,0,0,0,E01000066
62,0,0,0,0,0,E01000067
63,0,0,0,0,1,E01000068
64,0,0,0,0,0,E01000069
65,0,0,0,0,0,E01000070
66,0,0,1,0,0,E01000071
67,0,1,0,0,0,E01000072
68,0,0,0,0,1,E01000073
69,0,1,0,0,1,E01000074
70,0,1,0,0,0,E01000075
71,0,1,0,0,1,E01000076
72,0,0,0,1,1,E01000077
73,0,0,0,0,1,E01000078
74,0,0,0,0,0,E01000079
75,0,0,0,0,1,E01000080
76,0,0,0,0,1,E01000081
77,0,0,0,0,1,E01000082
78,0,0,1,1,1,E01000083
79,0,0,0,0,0,E01000084
80,0,0,0,0,0,E01000085
81,0,0,0,0,0,E01000086
82,0,0,1,0,0,E01000087
83,0,0,1,0,0,E01000088
84,0,0,0,0,0,E01000089
85,0,0,0,0,0,E01000091
86,0,1,1,1,1,E01000092
87,1,0,0,0,1,E01000093
88,1,1,1,0,0,E01000094
89,0,1,1,0,0,E01000095
90,0,0,1,0,0,E01000096
91,0,0,0,0,1,E01000097
92,0,0,0,0,1,E01000098
93,0,0,0,0,1,E01000099
94,0,0,0,0,1,E01000100
95,0,0,0,0,0,E01000101
96,0,0,0,0,1,E01000102
97,0,0,0,0,0,E01000103
98,0,0,0,0,1,E01000104
99,0,0,0,0,0,E01000105
100,0,0,0,0,0,E01000106
101,0,0,0,0,0,E01000107
102,0,0,0,0,0,E01000108
103,0,0,0,0,0,E01000109
104,0,0,0,0,0,E01000110
105,0,0,0,0,0,E01000111
106,0,0,0,0,0,E01000112
107,0,0,0,0,0,E01000113
108,0,0,0,0,1,E01000114
109,0,0,0,0,0,E01000115
110,0,0,0,0,0,E01000116
111,0,0,0,0,1,E01000117
112,0,0,0,0,0,E01000118
113,0,0,0,0,0,E01000119
114,0,0,0,0,1,E01000120
115,0,0,0,0,1,E01000122
116,0,0,0,0,0,E01000124
117,1,0,0,0,0,E01000125
118,0,0,0,0,0,E01000126
119,0,0,0,0,0,E01000127
120,0,0,0,0,0,E01000128
121,0,0,0,0,0,E01000129
122,0,0,0,0,0,E01000130
123,0,0,0,0,0,E01000131
124,0,0,0,0,0,E01000132
125,0,0,0,0,0,E01000133
126,0,0,0,0,0,E01000134
127,0,0,0,0,0,E01000135
128,0,0,0,0,0,E01000136
129,0,0,0,0,0,E01000137
130,0,0,0,0,0,E01000138
131,0,0,0,0,0,E01000139
132,0,0,0,0,0,E01000140
133,0,0,0,0,0,E01000141
134,0,0,0,0,0,E01000142
135,0,0,0,0,0,E01000143
136,0,0,1,0,1,E01000144
137,0,0,0,0,0,E01000145
138,0,0,0,0,1,E01000146
139,0,0,0,0,1,E01000147
140,0,0,0,0,0,E01000148
141,0,0,0,1,0,E01000150
142,0,0,0,0,0,E01000151
143,0,0,1,0,0,E01000152
144,0,0,0,0,0,E01000153
145,0,0,0,0,0,E01000155
146,0,0,0,0,0,E01000156
147,0,0,0,0,1,E01000157
148,0,0,0,0,0,E01000158
149,0,0,0,0,0,E01000159
150,0,0,0,0,0,E01000160
151,0,0,0,0,1,E01000161
152,0,0,0,0,0,E01000162
153,0,0,0,0,0,E01000163
154,0,0,1,0,1,E01000164
155,0,0,0,0,0,E01000165
156,0,0,0,0,0,E01000166
157,0,0,0,0,0,E01000168
158,0,0,0,0,0,E01000169
159,0,0,0,0,0,E01000170
160,0,0,0,0,0,E01000171
161,0,0,0,0,0,E01000172
162,0,0,0,0,1,E01000173
163,0,0,0,0,0,E01000174
164,0,0,0,0,0,E01000175
165,0,0,0,0,0,E01000176
166,0,0,0,0,0,E01000177
167,0,0,1,1,1,E01000178
168,0,0,0,0,0,E01000179
169,0,0,0,0,0,E01000180
170,0,0,0,0,0,E01000181
171,0,0,0,0,0,E01000182
172,0,0,0,0,0,E01000183
173,0,1,0,0,0,E01000185
174,0,1,0,0,1,E01000186
175,0,0,0,0,0,E01000187
176,0,0,0,0,0,E01000188
177,0,0,0,0,0,E01000190
178,0,0,0,0,0,E01000191
179,0,0,0,0,0,E01000192
180,0,0,0,0,1,E01000193
181,0,0,0,0,1,E01000194
182,0,0,0,0,0,E01000195
183,0,0,0,0,0,E01000196
184,0,0,0,0,0,E01000197
185,0,0,0,0,0,E01000198
186,0,0,0,0,0,E01000199
187,0,0,0,0,0,E01000200
188,0,0,0,0,0,E01000201
189,0,0,0,0,0,E01000202
190,0,0,0,0,0,E01000203
191,0,0,0,0,0,E01000204
192,0,0,0,0,0,E01000205
193,0,0,0,0,1,E01000206
194,0,0,0,0,1,E01000207
195,0,0,0,0,1,E01000208
196,0,0,0,0,1,E01000209
197,0,0,0,0,0,E01000211
198,0,0,0,0,1,E01000212
199,0,0,0,0,1,E01000213
200,0,0,0,0,0,E01000214
201,0,0,0,0,1,E01000215
202,0,0,0,0,1,E01000216
203,0,0,0,0,0,E01000217
204,0,0,0,0,0,E01000218
