,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
0,753048_b,4,19,,753048,E00022087,E00022087,E01004392,0YSBgLw45hRvm9y3Rzm8iw,51.584503364897,-0.0288518540818851,E00022087
1,753048_d,18,0,High-density,753048,E00022087,E00022087,E01004392,0YSBgLw45hRvm9y3Rzm8iw,51.584503364897,-0.0288518540818851,E00022087
2,753046_b,8,12,,753046,E00022087,E00022087,E01004392,80h9up-FPB1A7I4WFf4FfA,51.5841978138453,-0.028702970444193,E00022087
3,753046_d,14,6,Green space,753046,E00022087,E00022087,E01004392,80h9up-FPB1A7I4WFf4FfA,51.5841978138453,-0.028702970444193,E00022087
4,752963_d,4,19,,752963,E00022087,E00022087,E01004392,Rd3iiPphA64QqXhrZHyjDw,51.5854359687764,-0.0297570215233239,E00022087
5,752963_b,13,3,,752963,E00022087,E00022087,E01004392,Rd3iiPphA64QqXhrZHyjDw,51.5854359687764,-0.0297570215233239,E00022087
6,753102_d,18,0,High-density,753102,E00022087,E00022087,E01004392,yxgnGf8Tm3_THvll3LFTkQ,51.5855371277925,-0.0264327832122493,E00022087
7,753102_b,19,13,Estates,753102,E00022087,E00022087,E01004392,yxgnGf8Tm3_THvll3LFTkQ,51.5855371277925,-0.0264327832122493,E00022087
8,753034_b,12,17,,753034,E00022087,E00022087,E01004392,W1pxdlkhEtPEnSmpVte22w,51.5855045201166,-0.029188912206242,E00022087
9,753034_d,19,13,Estates,753034,E00022087,E00022087,E01004392,W1pxdlkhEtPEnSmpVte22w,51.5855045201166,-0.029188912206242,E00022087
10,753031_d,5,5,,753031,E00022087,E00022087,E01004392,hh_IpZCy6EHLLNnToJOJRw,51.5848739459873,-0.0287032173261487,E00022087
11,753031_b,5,5,,753031,E00022087,E00022087,E01004392,hh_IpZCy6EHLLNnToJOJRw,51.5848739459873,-0.0287032173261487,E00022087
12,753024_b,13,3,,753024,E00022087,E00022087,E01004392,Pbd6aUioNt6ofwSMKPj4MQ,51.5856024054663,-0.02915310495687,E00022087
13,753024_d,17,9,Low-density,753024,E00022087,E00022087,E01004392,Pbd6aUioNt6ofwSMKPj4MQ,51.5856024054663,-0.02915310495687,E00022087
14,753047_b,4,19,,753047,E00022087,E00022087,E01004392,p4rmXfkMvKGTL1NKGtsE4w,51.5843851902277,-0.0287954462919538,E00022087
15,753047_d,18,0,High-density,753047,E00022087,E00022087,E01004392,p4rmXfkMvKGTL1NKGtsE4w,51.5843851902277,-0.0287954462919538,E00022087
16,753030_b,2,7,,753030,E00022087,E00022087,E01004392,9NpteyR-7evN3M2eMqBdYg,51.5846832733379,-0.0289507879757316,E00022087
17,753030_d,2,7,,753030,E00022087,E00022087,E01004392,9NpteyR-7evN3M2eMqBdYg,51.5846832733379,-0.0289507879757316,E00022087
18,753032_b,4,19,,753032,E00022087,E00022087,E01004392,J6J1mYDLwExids_5Ie_Z9A,51.5854430208781,-0.0291699953762371,E00022087
19,753032_d,18,0,High-density,753032,E00022087,E00022087,E01004392,J6J1mYDLwExids_5Ie_Z9A,51.5854430208781,-0.0291699953762371,E00022087
20,753108_d,3,2,Green space,753108,E00022087,E00022087,E01004392,bh6FPAXkbWiZjLv4VpnwKg,51.5863853017119,-0.026255121321502,E00022087
21,753108_b,5,5,,753108,E00022087,E00022087,E01004392,bh6FPAXkbWiZjLv4VpnwKg,51.5863853017119,-0.026255121321502,E00022087
22,753256_d,13,3,,753256,E00022087,E00022087,E01004392,B-ATUu1XNFm4r3SbJgtsCQ,51.5863845793114,-0.0262540433861933,E00022087
23,753256_b,5,5,,753256,E00022087,E00022087,E01004392,B-ATUu1XNFm4r3SbJgtsCQ,51.5863845793114,-0.0262540433861933,E00022087
24,753045_d,13,3,,753045,E00022087,E00022087,E01004392,JJrufdIkYlyS_0o827hzQw,51.5863772669807,-0.0262792622330075,E00022087
25,753045_b,5,5,,753045,E00022087,E00022087,E01004392,JJrufdIkYlyS_0o827hzQw,51.5863772669807,-0.0262792622330075,E00022087
26,753035_b,5,5,,753035,E00022087,E00022087,E01004392,gO7NGARWf3Yj_gxi9TG_OA,51.5856765857417,-0.0288680598328884,E00022087
27,753035_d,5,5,,753035,E00022087,E00022087,E01004392,gO7NGARWf3Yj_gxi9TG_OA,51.5856765857417,-0.0288680598328884,E00022087
28,753039_d,18,0,High-density,753039,E00022087,E00022087,E01004392,ZcCAy0PLPjuBVKdA1XRBcA,51.5859457264344,-0.0278712206967711,E00022087
29,753039_b,18,0,High-density,753039,E00022087,E00022087,E01004392,ZcCAy0PLPjuBVKdA1XRBcA,51.5859457264344,-0.0278712206967711,E00022087
30,753052_b,18,0,High-density,753052,E00022087,E00022087,E01004392,Ii5VYWBSI24ydsftj-0dhQ,51.5850201176561,-0.0282024456419822,E00022087
31,753052_d,18,0,High-density,753052,E00022087,E00022087,E01004392,Ii5VYWBSI24ydsftj-0dhQ,51.5850201176561,-0.0282024456419822,E00022087
32,753042_d,18,0,High-density,753042,E00022087,E00022087,E01004392,bRt3NTSFVSaXOmiC2NilGA,51.5861552312051,-0.0270968700394793,E00022087
33,753042_b,18,0,High-density,753042,E00022087,E00022087,E01004392,bRt3NTSFVSaXOmiC2NilGA,51.5861552312051,-0.0270968700394793,E00022087
34,753036_b,5,5,,753036,E00022087,E00022087,E01004392,NJ4i4CZKO-FSsvFjQRt_vw,51.5857397539702,-0.0286296858593806,E00022087
35,753036_d,13,3,,753036,E00022087,E00022087,E01004392,NJ4i4CZKO-FSsvFjQRt_vw,51.5857397539702,-0.0286296858593806,E00022087
36,753037_b,18,0,High-density,753037,E00022087,E00022087,E01004392,39lPBwq8ttwUG4yMX2_z8g,51.5858105561645,-0.0283640286459032,E00022087
37,753037_d,18,0,High-density,753037,E00022087,E00022087,E01004392,39lPBwq8ttwUG4yMX2_z8g,51.5858105561645,-0.0283640286459032,E00022087
38,753043_d,5,5,,753043,E00022087,E00022087,E01004392,hl4SzRjqFynhU58JLI61Gg,51.5862355125096,-0.026798186509239,E00022087
39,753043_b,13,3,,753043,E00022087,E00022087,E01004392,hl4SzRjqFynhU58JLI61Gg,51.5862355125096,-0.026798186509239,E00022087
