,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
1,524443_b,13,0.4091763470717979,Estates,524443,E00023535,E00023535,E01033599,723960,-0.146888513113679,51.4892456277203,XjxMFTi9Ve5Xu_GW4YoD9g,51.4891718633584,-0.146856717969868,7,2008,241.36375852381,F1363AF2-D70C-4E86-A500-3C5D9217CFE7,524443,524443_b,b
2,71219_b,10,0.7046156790315663,High-density,71219,E00023535,E00023535,E01033599,99499,-0.146894497323792,51.4890663843859,qSCZt_up9EoGsN1v_ZUqdg,51.489065373005,-0.146882890202179,7,2008,163.01522409034402,F1363AF2-D70C-4E86-A500-3C5D9217CFE7,71219,71219_b,b
4,616346_b,0,0.0246857378036577,Terraced,616346,E00020050,E00020050,E01003975,845244,-0.0728488688570334,51.4962192391456,QB4K8iBa8XG00btF6GiwWg,51.49613981464721,-0.0733128307303149,5,2012,162.657010051713,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616346,616346_b,b
6,616589_b,10,0.2700405931902138,High-density,616589,E00020050,E00020050,E01003975,845599,-0.0727062643331028,51.4966462633648,41Soq_fOdLERbEG0QYgi1A,51.4964503497011,-0.0734409558956237,5,2012,164.031521440173,6FA59E2E-3503-410B-A230-DA4A42C69283,616589,616589_b,b
8,616340_b,2,0.001,Other green,616340,E00020050,E00020050,E01003975,845238,-0.0727598927180364,51.4971549128567,4CAOJ6ecp_jkLY0ePWzvXw,51.4975262748074,-0.0723390811997337,7,2009,127.775684305988,31651B34-9980-4626-8851-116287A91EF8,616340,616340_b,b
12,616588_b,10,0.2238088769903962,High-density,616588,E00020050,E00020050,E01003975,845597,-0.0732708031219533,51.496574657167216,-Dr4oZATiERf7DXNkgOFyQ,51.496573966018886,-0.0734974570242718,5,2012,164.06383865108,6FA59E2E-3503-410B-A230-DA4A42C69283,616588,616588_b,b
16,616603_b,10,0.1974726798613739,High-density,616603,E00020050,E00020050,E01003975,845618,-0.0733686683496253,51.4961057849228,e0wUEVeeJcH415PIv5Lw0g,51.49612122024649,-0.0733283676188173,6,2008,162.637393746817,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616603,616603_b,b
18,616598_b,6,0.001,Other green,616598,E00020050,E00020050,E01003975,845611,-0.0729280047506768,51.497827943608,gdLC_1NX37KWKjiz0GQvVw,51.49779194643129,-0.072853381211203,7,2009,127.78483344941002,10720EA2-B709-4677-B1FE-4A2A64DECBE4,616598,616598_b,b
20,523887_b,10,0.4370065216563381,High-density,523887,E00023974,E00023974,E01004737,723149,-0.133073491820644,51.48646736917149,XuIt5dSL8yK2fde7vy9xJA,51.4864394619973,-0.133024113434119,7,2008,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523887,523887_b,b
21,523879_b,10,0.2941393105284614,High-density,523879,E00023974,E00023974,E01004737,723133,-0.13344605422628,51.486738493022095,5WGrfbsTYVQ6xCmmQidwiw,51.4867148801326,-0.133147663226118,7,2008,162.864756266395,18F010FB-9505-4F92-894E-E82A01EDB2B5,523879,523879_b,b
22,523886_b,10,0.2437007051802604,High-density,523886,E00023974,E00023974,E01004737,723148,-0.133151295609267,51.4866404756575,5teLgrXn6Fc5QzMANbys1A,51.486646862412,-0.133115775776899,7,2008,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523886,523886_b,b
26,523876_b,0,0.1538619455982043,Terraced,523876,E00023974,E00023974,E01004737,723130,-0.1336794878364769,51.48725780899861,haYXhy1zGphYuP6d41zC2A,51.4872249378749,-0.133380332776274,7,2008,162.867933716785,18F010FB-9505-4F92-894E-E82A01EDB2B5,523876,523876_b,b
