,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
0,524440_d,13,0.0355244275380507,Estates,524440,E00023535,E00023535,E01033599,723957,-0.147522645303286,51.4896119732113,8CurzottdFl2AdXpzs0kOw,51.4896304220478,-0.147517071169164,6,2008,131.185925167554,3052CF4F-7478-46E5-86A3-BB256A256512,524440,524440_d,d
3,524430_d,10,0.3140910635346183,High-density,524430,E00023535,E00023535,E01033599,723945,-0.146563597412184,51.4890832817173,iwbSmx05Ee4ZPW53DfCzXg,51.489053526313896,-0.1464984820054259,7,2008,125.420336392125,C0E5F514-4662-4439-A9FF-79093E04B0D5,524430,524430_d,d
5,616346_d,13,0.6166388985073947,Estates,616346,E00020050,E00020050,E01003975,845244,-0.0728488688570334,51.4962192391456,QB4K8iBa8XG00btF6GiwWg,51.49613981464721,-0.0733128307303149,5,2012,162.657010051713,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616346,616346_d,d
7,616599_d,10,0.1578377592311723,High-density,616599,E00020050,E00020050,E01003975,845612,-0.0727050811602167,51.49771408512071,Cv-zDD24-It3kP4HSq-xPA,51.497748547627104,-0.072771372278904,7,2009,127.78483344941002,10720EA2-B709-4677-B1FE-4A2A64DECBE4,616599,616599_d,d
9,616340_d,15,0.2919356156574645,Commercial,616340,E00020050,E00020050,E01003975,845238,-0.0727598927180364,51.4971549128567,4CAOJ6ecp_jkLY0ePWzvXw,51.4975262748074,-0.0723390811997337,7,2009,127.775684305988,31651B34-9980-4626-8851-116287A91EF8,616340,616340_d,d
10,616600_d,10,0.0324533338567802,High-density,616600,E00020050,E00020050,E01003975,845613,-0.072482158684834,51.4976002262191,2pMTkdZF6hFHPS3J-T2fGg,51.497624510653,-0.0724926471595916,5,2012,127.78483344941002,10720EA2-B709-4677-B1FE-4A2A64DECBE4,616600,616600_d,d
11,616563_d,13,0.3795212375528796,Estates,616563,E00020050,E00020050,E01003975,845547,-0.0734305940080846,51.496242063272,Y0OsJGN4mkLhrw2HWvWJ3g,51.4962326441014,-0.0733550045715949,5,2012,162.657010051713,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616563,616563_d,d
13,616564_d,13,0.4375712688753113,Estates,616564,E00020050,E00020050,E01003975,845548,-0.0737054282659842,51.4961882564,uDJFM7ZzUx6dDTcnOO0vdw,51.4962043580421,-0.0733665465391922,6,2008,162.657010051713,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616564,616564_d,d
14,616339_d,15,0.2140348413590361,Commercial,616339,E00020050,E00020050,E01003975,845237,-0.0724778503588298,51.497191416773006,36OqumoVWLfMRtFWGepG4w,51.4974022903533,-0.0721116752493091,7,2009,127.775684305988,31651B34-9980-4626-8851-116287A91EF8,616339,616339_d,d
15,616603_d,13,0.2446189736523888,Estates,616603,E00020050,E00020050,E01003975,845618,-0.0733686683496253,51.4961057849228,e0wUEVeeJcH415PIv5Lw0g,51.49612122024649,-0.0733283676188173,6,2008,162.637393746817,2E09D1E4-0D93-4ADD-9A5B-6ED3A2260A70,616603,616603_d,d
17,616590_d,13,0.0905718077801546,Estates,616590,E00020050,E00020050,E01003975,845601,-0.0735024987577235,51.4964161609041,eXxC7H9AFGzvNwjLDQ5Teg,51.4964481397044,-0.0734588283835809,6,2008,164.031521440173,6FA59E2E-3503-410B-A230-DA4A42C69283,616590,616590_d,d
19,523887_d,10,0.4440687428629055,High-density,523887,E00023974,E00023974,E01004737,723149,-0.133073491820644,51.48646736917149,XuIt5dSL8yK2fde7vy9xJA,51.4864394619973,-0.133024113434119,7,2008,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523887,523887_d,d
23,523886_d,11,0.156979392690613,Open green space,523886,E00023974,E00023974,E01004737,723148,-0.133151295609267,51.4866404756575,5teLgrXn6Fc5QzMANbys1A,51.486646862412,-0.133115775776899,7,2008,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523886,523886_d,d
24,523863_d,13,0.239164540953974,Estates,523863,E00023974,E00023974,E01004737,723109,-0.133709824907614,51.48774319273439,6uS7FyeA3DB0xDNe2UoZGg,51.4877579119631,-0.1336802645541019,8,2012,159.145541960422,432C218D-9736-4C9A-AC18-39F590398D0A,523863,523863_d,d
25,523876_d,10,0.5433189318327978,High-density,523876,E00023974,E00023974,E01004737,723130,-0.1336794878364769,51.48725780899861,haYXhy1zGphYuP6d41zC2A,51.4872249378749,-0.133380332776274,7,2008,162.867933716785,18F010FB-9505-4F92-894E-E82A01EDB2B5,523876,523876_d,d
29,523877_d,10,0.290792453254573,High-density,523877,E00023974,E00023974,E01004737,723131,-0.13360167605921,51.4870847037236,5b6BtCoR1b3_LpX6F5nVBg,51.487150678133,-0.1333487774609059,8,2012,152.502572878243,FE289772-562D-4C51-A44C-C833C1E29EF9,523877,523877_d,d
30,523870_d,13,0.1798898065829103,Estates,523870,E00023974,E00023974,E01004737,723119,-0.132809554285388,51.48797558433889,SmU_NVdafY1ZdBFZDPpxVg,51.48768673559901,-0.133600598116794,7,2008,159.145541960422,432C218D-9736-4C9A-AC18-39F590398D0A,523870,523870_d,d
34,523885_d,13,0.1358993763121845,Estates,523885,E00023974,E00023974,E01004737,723147,-0.133229099971695,51.486813582092886,MAA2jcbXtZa3aE-dR-1jOA,51.4868644775362,-0.13321947837275,8,2012,162.864756266395,18F010FB-9505-4F92-894E-E82A01EDB2B5,523885,523885_d,d
36,523878_d,10,0.656912337692101,High-density,523878,E00023974,E00023974,E01004737,723132,-0.133523864855815,51.4869115983981,_LGTn5KQvBCQO2SF0RXRMw,51.4869578194422,-0.1332619209697,8,2012,162.864756266395,18F010FB-9505-4F92-894E-E82A01EDB2B5,523878,523878_d,d
37,523869_d,13,0.0056941796841791,Estates,523869,E00023974,E00023974,E01004737,723118,-0.133040851191002,51.4880827012616,L1jLq1a7mu3xd4cUUCgkWQ,51.4877576519419,-0.1336615166932,7,2008,159.145541960422,432C218D-9736-4C9A-AC18-39F590398D0A,523869,523869_d,d
39,523884_d,10,0.1536557648025104,High-density,523884,E00023974,E00023974,E01004737,723146,-0.133306894815113,51.48698669024572,FPqKc1aahQCzQi_BXdsoAg,51.4869908650715,-0.133275216956426,7,2008,162.864756266395,18F010FB-9505-4F92-894E-E82A01EDB2B5,523884,523884_d,d
42,523881_d,10,0.366623706566423,High-density,523881,E00023974,E00023974,E01004737,723135,-0.133290434688764,51.4863922821182,HPzmcN_o91aUogNYMtFXrg,51.4864320373724,-0.133021126521172,8,2012,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523881,523881_d,d
43,519188_d,13,0.2234282474504468,Estates,519188,E00015190,E00015190,E01003015,716618,-0.111601403561861,51.4946801839995,KgkDgr9Y1zguQkUBxiGcPQ,51.4947602974431,-0.110874993472464,7,2008,177.702522949994,1AF632EA-1652-4E07-BC20-8F80D2EB5863,519188,519188_d,d
47,617973_d,15,0.3263332837470097,Commercial,617973,E00015370,E00015370,E01003051,847408,-0.1024395212502269,51.46520993606179,tkXC_iKSZLWgbJp844SGPw,51.465255888151205,-0.102479969838821,6,2008,140.389311760121,C3165005-00E2-4254-A354-E590CD6679F9,617973,617973_d,d
48,618594_d,0,0.3004476617503013,Terraced,618594,E00015370,E00015370,E01003051,848213,-0.102966929709469,51.4644275962512,pTX_Jkex1aHn1jRvIXqZHQ,51.464459797141,-0.102906998041107,5,2012,184.46227376698505,469A14B3-D60A-4181-A1E7-B867F86B6365,618594,618594_d,d
50,618596_d,0,0.276100328781687,Terraced,618596,E00015370,E00015370,E01003051,848215,-0.102517487899215,51.4642029003724,a6Z-iJQe6Pf6UjhdwGrUzA,51.464262647603206,-0.102512113219123,6,2008,127.168565471315,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618596,618596_d,d
