,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
2,781089_b,9,0.1298332203091468,Low-density,781089,E00020379,E00020379,E01004050,844341,-0.0843387734916902,51.4691326449206,XTUtaw15LdShLvumy0dzMw,51.4691050227525,-0.0843395408350852,2,2018,197.720065321623,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781089,781089_b,,b
3,781091_b,10,0.3129071745794648,High-density,781091,E00020379,E00020379,E01004050,844343,-0.0847782421846287,51.468936266900606,jcbJ-kvTI1q8iQemMFTmlw,51.4689428650037,-0.0848018714423701,2,2018,237.176924710883,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781091,781091_b,,b
4,781090_b,4,0.1110679641934012,Low-density,781090,E00020379,E00020379,E01004050,844342,-0.0845156578666378,51.469009944064,5vzgZmbwVvJMUwrD_V0LQQ,51.469011734387706,-0.0845520973394837,2,2018,244.30984099821487,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781090,781090_b,,b
5,781085_b,11,0.1794175014469432,Open green space,781085,E00020379,E00020379,E01004050,844337,-0.0833334016441704,51.469359155997296,siuwVfcKQUDzDUAvTuPX_A,51.469358667330894,-0.0833767167907618,2,2018,261.24413371572496,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781085,781085_b,,b
9,780665_b,10,0.3628721404899706,High-density,780665,E00020199,E00020199,E01004013,843884,-0.0763946063872893,51.47510599099101,3QbXQE80xO7Jmt0o2DHA2g,51.4750752109729,-0.0763457294066397,2,2018,248.41603075823,D9564008-33F2-4A60-9D62-93DA182692DE,780665,780665_b,,b
10,780654_b,10,0.2121874210851445,High-density,780654,E00020199,E00020199,E01004013,843872,-0.077180729707496,51.4754679853106,BOunQB4SPAQ62g58vg4xaQ,51.4754929917005,-0.0772153829472558,3,2019,250.655670727879,BA756A0A-AAED-458E-AFC3-50B9CBA4507D,780654,780654_b,,b
13,780681_b,10,0.3966329448492999,High-density,780681,E00020199,E00020199,E01004013,843903,-0.0762862773389126,51.4754590204337,HPp5QU_99j47La0t-qcGEQ,51.4754465597845,-0.0762632334380235,3,2019,162.89727103094802,E4F1C7F1-0C6D-4D44-BF74-C910A848FC8A,780681,780681_b,,b
16,780552_b,10,0.2931808612953409,High-density,780552,E00020199,E00020199,E01004013,843759,-0.0778056179312432,51.4749465612926,OoZVXMeZi9ypnvbMOEOaLw,51.4749882524916,-0.0777927539712347,9,2020,161.218776855795,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780552,780552_b,,b
17,780554_b,10,0.154584621485657,High-density,780554,E00020199,E00020199,E01004013,843761,-0.0776348211327346,51.4746031631066,8vEV0_sRmXtus9di1tBCSA,51.4745799725702,-0.0776022167534334,3,2019,161.227986283234,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780554,780554_b,,b
18,780660_b,4,0.001,Low-density,780660,E00020199,E00020199,E01004013,843878,-0.0773754555459302,51.4745157133157,f0SdoXngZeSIERtTkewixg,51.47454145755921,-0.0775401701862587,7,2021,161.227986283234,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780660,780660_b,,b
