,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
0,781084_d,9,0.0929672072593893,Low-density,781084,E00020379,E00020379,E01004050,844336,-0.0831913315669501,51.4692143700901,5FJdBsqc5D1vT6WbnMI06A,51.4693270215586,-0.0832437118721586,2,2018,261.24413371572496,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781084,781084_d,,d
1,781089_d,10,0.3058722777886966,High-density,781089,E00020379,E00020379,E01004050,844341,-0.0843387734916902,51.4691326449206,XTUtaw15LdShLvumy0dzMw,51.4691050227525,-0.0843395408350852,2,2018,197.720065321623,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781089,781089_d,,d
6,781085_d,4,0.001,Low-density,781085,E00020379,E00020379,E01004050,844337,-0.0833334016441704,51.469359155997296,siuwVfcKQUDzDUAvTuPX_A,51.469358667330894,-0.0833767167907618,2,2018,261.24413371572496,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781085,781085_d,,d
7,781086_d,10,0.1185328467532156,High-density,781086,E00020379,E00020379,E01004050,844338,-0.0836189671384326,51.4693364649592,nm5w1WREUixj8xjvxcGRjA,51.4693284098536,-0.0836591853727201,2,2018,261.258865594172,C9E7C919-564E-48C3-8DD5-879F6099FB5F,781086,781086_d,,d
8,780665_d,10,0.2555217767380201,High-density,780665,E00020199,E00020199,E01004013,843884,-0.0763946063872893,51.47510599099101,3QbXQE80xO7Jmt0o2DHA2g,51.4750752109729,-0.0763457294066397,2,2018,248.41603075823,D9564008-33F2-4A60-9D62-93DA182692DE,780665,780665_d,,d
11,780669_d,15,0.2171619117624074,Commercial,780669,E00020199,E00020199,E01004013,843889,-0.0767477061785704,51.474097916158286,jYN3k47RND7X-AvkkgJgqQ,51.47426006603249,-0.0767428724122617,5,2018,263.423753393595,EBDDE91C-EFF9-416C-9F3A-BDFEC768B226,780669,780669_d,,d
12,780681_d,10,0.1507266091419079,High-density,780681,E00020199,E00020199,E01004013,843903,-0.0762862773389126,51.4754590204337,HPp5QU_99j47La0t-qcGEQ,51.4754465597845,-0.0762632334380235,3,2019,162.89727103094802,E4F1C7F1-0C6D-4D44-BF74-C910A848FC8A,780681,780681_d,,d
14,780629_d,10,0.4222119728531887,High-density,780629,E00020199,E00020199,E01004013,843843,-0.0776883649834966,51.476462635992405,1mJmNt2tSwp5KjDK3nt6Rg,51.4764568690668,-0.0776442241669955,8,2020,247.538450040307,4760F530-E112-4059-9088-7C00C6A254EC,780629,780629_d,,d
15,780552_d,6,0.001,Other green,780552,E00020199,E00020199,E01004013,843759,-0.0778056179312432,51.4749465612926,OoZVXMeZi9ypnvbMOEOaLw,51.4749882524916,-0.0777927539712347,9,2020,161.218776855795,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780552,780552_d,,d
19,780551_d,6,0.001,Other green,780551,E00020199,E00020199,E01004013,843758,-0.0778910775562953,51.475118248601504,bu_F3ZpoWtd8EOcpt-Qqhg,51.4751565259185,-0.0778825542544119,9,2020,161.23470684657102,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780551,780551_d,,d
21,780663_d,9,0.1008714540170895,Low-density,780663,E00020199,E00020199,E01004013,843882,-0.0769354135897218,51.47498253956739,rrvZhcN8xPw0VaxxXGachw,51.4749625912335,-0.0769561318214151,2,2018,248.41603075823,D9564008-33F2-4A60-9D62-93DA182692DE,780663,780663_d,,d
22,780576_d,13,0.0493231353221312,Estates,780576,E00020199,E00020199,E01004013,843785,-0.0779882232335595,51.4756788583043,95WR5meHgkD_1tFkJRYcWA,51.4756990404608,-0.0780052674020334,3,2019,151.731323237514,96456A4C-69A8-4990-A239-FF9EA74F68AF,780576,780576_d,,d
23,780570_d,6,0.0193208986606563,Other green,780570,E00020199,E00020199,E01004013,843778,-0.0780799088188022,51.4754191277048,PO3XEYA9SHAjlvh21Aqv0g,51.4754465665673,-0.0780848540371428,9,2020,161.23470684657102,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780570,780570_d,,d
24,780553_d,11,0.1342589583111295,Open green space,780553,E00020199,E00020199,E01004013,843760,-0.0777202315508005,51.4747748598423,F_7WaAM70r0NRgLoXBO9nQ,51.4748186886738,-0.0777153931096785,9,2020,161.243738190448,CD69D8C6-3AE6-426C-B967-BBF8D2578ECD,780553,780553_d,,d
26,780666_d,15,0.366974914073143,Commercial,780666,E00020199,E00020199,E01004013,843885,-0.0767979205521962,51.4742749509636,YDixtffm8_dH-ydAOEq82A,51.4742580040551,-0.0768317458071665,9,2020,263.423753393595,EBDDE91C-EFF9-416C-9F3A-BDFEC768B226,780666,780666_d,,d
27,780664_d,4,0.1122469594016202,Low-density,780664,E00020199,E00020199,E01004013,843883,-0.0766650103463923,51.47504426559521,Es4BW4QQYizct42vHqhXhA,51.47502329842361,-0.0766689781572209,3,2019,248.41603075823,D9564008-33F2-4A60-9D62-93DA182692DE,780664,780664_d,,d
28,780569_d,6,0.001,Other green,780569,E00020199,E00020199,E01004013,843777,-0.0782086298566218,51.4755799481048,bZDadIPj-lYjDGSOJmyN8w,51.475605916680095,-0.078214645207571,9,2020,151.939033900661,73A75BC2-EBC8-48BD-8514-353EADD82B94,780569,780569_d,,d
35,665771_d,6,0.001,Other green,665771,E00023976,E00023976,E01004737,719845,-0.1307920258399419,51.4871421409712,GeDVZoDBoEcqPrZ_K9Y-MA,51.4871111464708,-0.130857111823517,11,2020,200.580098862017,BC64E30F-AC99-4660-881D-D4A0C5701589,665771,665771_d,,d
38,665803_d,6,0.0963495072956465,Other green,665803,E00023976,E00023976,E01004737,719878,-0.130562939899859,51.48750673317328,P11r0z-LsdwsqP8zFk9MEw,51.487530309097394,-0.130626707649951,11,2020,199.427033743784,B4C63E80-3553-488B-A148-1E3898A1B4C6,665803,665803_d,,d
43,791049_d,9,0.001,Low-density,791049,E00019815,E00019815,E01003940,855207,-0.086165152571672,51.4986432002201,yCfaC0RaTvH9S4xgfQ9OVg,51.4986401670224,-0.0862131908207849,11,2020,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,791049,791049_d,,d
45,791349_d,10,0.1809421913656423,High-density,791349,E00019815,E00019815,E01003940,855541,-0.0862439788488349,51.498239683189794,XB81l_FD6pTBkCPWNPCmmQ,51.4982391785494,-0.0862866787770229,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791349,791349_d,,d
46,791039_d,10,0.385088946274615,High-density,791039,E00019815,E00019815,E01003940,855195,-0.0866675431609851,51.4984026915313,9SypNhzgMuJnyQb_alF-pA,51.49816952056401,-0.0865810686991698,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791039,791039_d,,d
48,791316_d,10,0.2232382771862565,High-density,791316,E00019815,E00019815,E01003940,855504,-0.0860434439231438,51.4974045779015,gW7wOX6-TjK1x0FzNytahw,51.497409775822106,-0.0860090517062675,5,2021,302.387631346322,625308FF-A7CA-4B3F-A471-5FFE2972363A,791316,791316_d,,d
50,783370_d,6,0.3572838387459732,Other green,783370,E00019815,E00019815,E01003940,846846,-0.0858307797602892,51.4973154289298,Wtym3n85P0NblxaVegBCJw,51.4973417267446,-0.0858602909478361,11,2020,200.15912379245,4EC21291-C31C-40E8-9EE8-0DAA8D62E5A4,783370,783370_d,,d
51,791053_d,4,0.1088378199623957,Low-density,791053,E00019815,E00019815,E01003940,855211,-0.0858493627434165,51.4991465857791,2Z3F4JccfyFcJglA32KNog,51.4991831463344,-0.0858435545523608,11,2020,124.055687524611,CCC5DE3E-AA0C-491F-AC2B-BF29D65A6228,791053,791053_d,,d
52,791036_d,10,0.1783842623998549,High-density,791036,E00019815,E00019815,E01003940,855192,-0.0860861693653089,51.498472548940704,_ejIHDmSLDBgte_x9Gzdcg,51.4984959930559,-0.0861004759015933,11,2020,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,791036,791036_d,,d
