,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
1,752872_b,8,0.22000823417580206,Low-density,752872,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,-xdMaXcbkOKQul3PgAeRig,51.5852221025509,-0.0338010152080461,3,2019,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134,752872,752872_b,0
3,752980_b,0,0.26650022262374373,Terraced,752980,E00022108,E00022108,E01004392,813979,-0.0309941623366074,51.5859221349921,jyiNmUnjKq0sshqorzRJpw,51.585935637727786,-0.0309702688762711,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752980,752980_b,0
5,752870_b,8,0.3626743113185541,Low-density,752870,E00022108,E00022108,E01004392,813864,-0.0332368683172799,51.5853779883731,tK7vMLV9rA-inyedb8_wVw,51.585386299223394,-0.0332398098305455,3,2019,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,752870,752870_b,0
6,752976_b,0,0.29752837131953935,Terraced,752976,E00022108,E00022108,E01004392,813975,-0.0300760120125289,51.5859413148046,qp0ADioX4ApkzOPt4LEayQ,51.5859469594368,-0.0300393755720568,3,2018,154.384515679358,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752976,752976_b,0
9,752982_b,14,0.288778777761301,Low-density,752982,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,KkJdwsqqre9NxmP3fZgSPA,51.5858094319752,-0.0315202927713311,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752982,752982_b,0
11,752981_b,0,0.2457896907279643,Terraced,752981,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,lGfWZE5kyEV6TvVHJrIOlA,51.5858711675432,-0.0312551548120727,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752981,752981_b,0
12,752979_b,14,0.2720425455813902,Low-density,752979,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,oHUYn44cdsnlq0_9lwVOCA,51.5860056370753,-0.0307253407557021,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752979,752979_b,0
18,752911_b,0,0.31708121777622267,Terraced,752911,E00022108,E00022108,E01004392,813907,-0.0332832803617079,51.585004395291,O_SmwhXgNh6mRVKoPQ6dXA,51.5852941942505,-0.0335574353050722,3,2018,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,752911,752911_b,0
20,752950_b,0,0.3162416278566924,Terraced,752950,E00022080,E00022080,E01004392,813948,-0.0319385998201767,51.58365771997301,9O_aFMrcBOVJQmcfcKCQ-w,51.5836973329114,-0.0319370555596374,3,2018,159.102234501161,27AFCEC5-AD8E-4FDE-BFE3-1D34ACEF337A,752950,752950_b,0
21,752956_b,0,0.30817983012987704,Terraced,752956,E00022080,E00022080,E01004392,813954,-0.0315844396368428,51.5849471294644,gKZL8veQuhpSM-miiiB3Hg,51.5849549584725,-0.0315338710325308,3,2019,245.061572344543,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752956,752956_b,0
23,752942_b,0,0.40906381536229874,Terraced,752942,E00022080,E00022080,E01004392,813940,-0.0325424084867052,51.5845417274351,7fOz-Ll6i5N10PShE5fZKQ,51.5845220881664,-0.0324896757486387,3,2019,150.64224645720898,3A3B58FE-8713-445F-9EBA-771B0B7C8A96,752942,752942_b,0
