,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
0,752872_d,14,0.3572764691402811,Low-density,752872,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,-xdMaXcbkOKQul3PgAeRig,51.5852221025509,-0.0338010152080461,3,2019,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134,752872,752872_d,1
2,752980_d,0,0.1302840201427944,Terraced,752980,E00022108,E00022108,E01004392,813979,-0.0309941623366074,51.5859221349921,jyiNmUnjKq0sshqorzRJpw,51.585935637727786,-0.0309702688762711,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752980,752980_d,1
4,752870_d,14,0.3145353073554107,Low-density,752870,E00022108,E00022108,E01004392,813864,-0.0332368683172799,51.5853779883731,tK7vMLV9rA-inyedb8_wVw,51.585386299223394,-0.0332398098305455,3,2019,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,752870,752870_d,1
7,752976_d,14,0.27863360013310645,Low-density,752976,E00022108,E00022108,E01004392,813975,-0.0300760120125289,51.5859413148046,qp0ADioX4ApkzOPt4LEayQ,51.5859469594368,-0.0300393755720568,3,2018,154.384515679358,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752976,752976_d,1
8,752982_d,0,0.10706004904715405,Terraced,752982,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,KkJdwsqqre9NxmP3fZgSPA,51.5858094319752,-0.0315202927713311,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752982,752982_d,1
10,752981_d,0,0.5014392121662744,Terraced,752981,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,lGfWZE5kyEV6TvVHJrIOlA,51.5858711675432,-0.0312551548120727,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752981,752981_d,1
13,752979_d,14,0.3238325604610107,Low-density,752979,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,oHUYn44cdsnlq0_9lwVOCA,51.5860056370753,-0.0307253407557021,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752979,752979_d,1
14,752985_d,6,0.1411794891806647,Other green,752985,E00022108,E00022108,E01004392,813984,-0.0323402870270837,51.5855983239246,f8-m-vvdDMM8cOIOesyv5A,51.5855973098145,-0.0323674802866777,3,2018,246.899799394523,41772219-2061-47D4-A39C-731C2BFA4134,752985,752985_d,1
15,752874_d,9,0.4950572523682343,Low-density,752874,E00022108,E00022108,E01004392,813868,-0.0342849288921081,51.585078408154,kZmth_OcIq6Psqmm0UlLdg,51.5850665914411,-0.0343062969744139,3,2019,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,752874,752874_d,1
16,752875_d,0,0.26697999457146493,Terraced,752875,E00022108,E00022108,E01004392,813869,-0.0345421267973359,51.5849968580892,GrJqlW_y_5MA6oueJIUN3g,51.58498558154861,-0.0345652184576201,3,2019,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,752875,752875_d,1
