OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000001,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
E00000005,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000013,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000014,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
E00000016,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000017,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
E00000018,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
E00000019,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000020,,,,,,,,,,,
E00000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000023,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E00000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000027,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000028,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000030,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000031,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000032,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E00000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000037,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
E00000038,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
E00000039,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0
E00000040,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000041,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000042,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
E00000043,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
E00000045,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0
E00000046,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
E00000048,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
E00000049,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
E00000050,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
E00000051,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
E00000052,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
E00000053,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0
E00000054,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
E00000055,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
E00000056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000057,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0
E00000059,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0
E00000060,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0
E00000061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
E00000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000063,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
E00000064,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
E00000065,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
E00000066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
E00000067,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0
E00000068,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
E00000069,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000070,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000071,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0
E00000072,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
E00000073,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0
