,decile_2011_walk,0,1,2,3,4,5,6,7,8,9
0,0,292.0,105.0,53.0,15.0,6.0,8.0,,3.0,,
1,1,125.0,144.0,105.0,53.0,27.0,17.0,9.0,2.0,1.0,
2,2,41.0,115.0,108.0,91.0,74.0,30.0,16.0,4.0,3.0,1.0
3,3,17.0,73.0,90.0,106.0,71.0,72.0,36.0,15.0,4.0,
4,4,4.0,26.0,63.0,81.0,103.0,78.0,58.0,49.0,16.0,5.0
5,5,1.0,17.0,38.0,70.0,88.0,81.0,90.0,54.0,36.0,8.0
6,6,3.0,1.0,15.0,35.0,57.0,86.0,94.0,101.0,68.0,23.0
7,7,,2.0,7.0,21.0,33.0,61.0,92.0,109.0,103.0,55.0
8,8,,,3.0,6.0,20.0,38.0,58.0,98.0,126.0,134.0
9,9,,,1.0,5.0,4.0,12.0,30.0,48.0,126.0,257.0
