,decile_2011_wealth,0,1,2,3,4,5,6,7,8,9
0,0,314.0,109.0,42.0,15.0,2.0,,,,,1.0
1,1,115.0,167.0,126.0,40.0,21.0,8.0,5.0,1.0,,
2,2,35.0,132.0,120.0,92.0,59.0,26.0,15.0,2.0,1.0,
3,3,8.0,45.0,91.0,137.0,107.0,60.0,22.0,11.0,2.0,1.0
4,4,7.0,23.0,65.0,94.0,110.0,92.0,63.0,19.0,9.0,1.0
5,5,3.0,6.0,22.0,60.0,96.0,110.0,92.0,69.0,22.0,3.0
6,6,,1.0,11.0,34.0,57.0,106.0,108.0,104.0,49.0,14.0
7,7,,,4.0,8.0,24.0,55.0,109.0,134.0,117.0,31.0
8,8,1.0,,1.0,3.0,5.0,22.0,63.0,106.0,173.0,109.0
9,9,,,1.0,,2.0,4.0,6.0,37.0,110.0,323.0
