,decile_walk_x,0,1,2,3,4,5,6,7,8,9
0,0,229.0,29.0,7.0,1.0,4.0,,,,,
1,1,189.0,96.0,33.0,14.0,6.0,2.0,2.0,,,
2,2,136.0,126.0,71.0,30.0,16.0,7.0,1.0,1.0,,
3,3,73.0,138.0,91.0,64.0,28.0,10.0,4.0,1.0,1.0,
4,4,36.0,102.0,105.0,83.0,64.0,18.0,8.0,3.0,,
5,5,18.0,63.0,100.0,102.0,84.0,56.0,28.0,8.0,4.0,1.0
6,6,11.0,44.0,94.0,117.0,84.0,93.0,52.0,34.0,9.0,
7,7,3.0,18.0,44.0,83.0,112.0,124.0,87.0,63.0,20.0,5.0
8,8,1.0,6.0,23.0,43.0,102.0,120.0,127.0,114.0,80.0,20.0
9,9,,1.0,10.0,20.0,47.0,72.0,120.0,182.0,216.0,136.0
