Step,walkability_pretrained_beauty_xtra_plots - loss_train,walkability_pretrained_beauty_xtra_plots - loss_val,pretrained_boring_new_plots - loss_train,pretrained_boring_new_plots - loss_val,pretrained_lively_new_plots - loss_train,pretrained_lively_new_plots - loss_val,pretrained_wealth_new_plots - loss_train,pretrained_wealth_new_plots - loss_val,pretrained_depressing_new_plots - loss_train,pretrained_depressing_new_plots - loss_val,pretrained_beauty_new_plots - loss_train,pretrained_beauty_new_plots - loss_val,pretrained_safety_new_plots - loss_train,pretrained_safety_new_plots - loss_val
0,1.369262455,2.679395537,1.602220999,2.143075092,1.347108166,1.569162087,1.754170616,1.917026054,1.551879544,1.963287139,1.904940017,2.056471402,1.023830801,1.325012711
1,0.118162708,2.666461096,0.551532431,2.046138351,0.428410069,1.492072491,0.611447749,1.940198731,0.543994413,1.849087837,0.637965376,2.036626616,0.321881695,1.175352831
2,0.036184385,2.698443022,0.34735869,2.033283225,0.266996067,1.468656569,0.369388373,1.967076436,0.339671069,1.906598234,0.399046181,2.019560231,0.199011395,1.175192442
3,0.013193016,2.693261352,0.259936931,2.007754527,0.197281058,1.480617105,0.276926648,2.006382159,0.253848153,1.959024004,0.295094076,2.018206115,0.145593713,1.172367153
4,0.009469003,2.689158106,0.21086155,2.058688807,0.158200997,1.453468168,0.225468551,1.951761836,0.206374749,1.956846285,0.241232139,2.008306557,0.116095121,1.162887181
5,0.012122266,2.69925983,0.178275186,2.022076247,0.132390843,1.457873965,0.191284543,1.892717751,0.175438994,1.890914077,0.201542573,2.032784105,0.096118931,1.165591376
6,0.017479807,2.681235313,0.153587539,1.979301064,0.113459967,1.418308993,0.166664584,1.874494706,0.149850992,1.890333262,0.175917417,1.965353156,0.083122989,1.139872104
7,0.022185829,2.652946463,0.133576208,1.921236514,0.098531022,1.407191278,0.147096059,1.859673383,0.133591179,1.829004403,0.152498478,1.939217464,0.072200998,1.133153934
8,0.021821899,2.660771914,0.120429817,1.971120112,0.087807929,1.394365852,0.128836288,1.844137644,0.118411581,1.855664784,0.136513271,1.918224072,0.063966143,1.121126434
9,0.019128025,2.646118927,0.106764109,1.904972776,0.078442789,1.389716483,0.116874609,1.803889638,0.106516186,1.79252975,0.121476291,1.907225635,0.057459793,1.117391969
10,0.017722183,2.653486204,0.095993499,1.933877625,0.071373798,1.384606933,0.106752019,1.816618936,0.097198596,1.83195983,0.110978985,1.898090119,0.051701598,1.112077405
11,0.017150777,2.638672428,0.088562478,1.925749548,0.065340578,1.383066568,0.096857926,1.798464736,0.089287455,1.846792133,0.101612994,1.921907147,0.047109107,1.114425106
12,0.017083733,2.643806815,0.080870733,1.919274176,0.060059741,1.379771252,0.088382674,1.773169891,0.082191874,1.784330942,0.092518235,1.847753534,0.044166936,1.088307759
13,0.01619003,2.62838613,0.075017987,1.92004637,0.056000587,1.398427098,0.080861369,1.788319081,0.075882001,1.825945128,0.086390944,1.910804637,0.040630028,1.083270145
14,0.015722059,2.620960073,0.070451177,1.929391813,0.052073581,1.376784832,0.076349553,1.821364908,0.070298347,1.818167393,0.080245395,1.873172955,0.037874391,1.091440178
15,0.015416371,2.617961383,0.066030009,1.884040975,0.048487124,1.366350614,0.070618655,1.809387784,0.066299146,1.812366149,0.075550141,1.888846981,0.035607089,1.105185183
