,lsoa
0,E01000001
1,E01000002
2,E01000003
3,E01000005
4,E01000006
5,E01000007
6,E01000008
7,E01000009
8,E01000010
9,E01000011
10,E01000012
11,E01000013
12,E01000014
13,E01000015
14,E01000016
15,E01000017
16,E01000018
17,E01000019
18,E01000020
19,E01000021
20,E01000022
21,E01000023
22,E01000024
23,E01000025
24,E01000027
25,E01000028
26,E01000029
27,E01000030
28,E01000031
29,E01000032
30,E01000033
31,E01000034
32,E01000035
33,E01000036
34,E01000037
35,E01000038
36,E01000039
37,E01000040
38,E01000041
39,E01000042
40,E01000043
41,E01000044
42,E01000045
43,E01000046
44,E01000048
45,E01000049
46,E01000050
47,E01000051
48,E01000052
49,E01000053
50,E01000054
51,E01000055
52,E01000056
53,E01000057
54,E01000058
55,E01000059
56,E01000060
57,E01000061
58,E01000062
59,E01000063
60,E01000064
61,E01000065
62,E01000066
63,E01000067
64,E01000068
65,E01000069
66,E01000070
67,E01000071
68,E01000072
69,E01000073
70,E01000074
71,E01000075
72,E01000076
73,E01000077
74,E01000078
75,E01000079
76,E01000080
77,E01000081
78,E01000082
79,E01000083
80,E01000084
81,E01000085
82,E01000086
83,E01000087
84,E01000088
85,E01000089
86,E01000090
87,E01000091
88,E01000092
89,E01000093
90,E01000094
91,E01000095
92,E01000096
93,E01000097
94,E01000098
95,E01000099
96,E01000100
97,E01000101
98,E01000102
99,E01000103
100,E01000104
101,E01000105
102,E01000106
103,E01000107
104,E01000108
105,E01000109
106,E01000110
107,E01000111
108,E01000112
109,E01000113
110,E01000114
111,E01000115
112,E01000116
113,E01000117
114,E01000118
115,E01000119
116,E01000120
117,E01000121
118,E01000122
119,E01000123
120,E01000124
121,E01000125
122,E01000126
123,E01000127
124,E01000128
125,E01000129
126,E01000130
127,E01000131
128,E01000132
129,E01000133
130,E01000134
131,E01000135
132,E01000136
133,E01000137
134,E01000138
135,E01000139
136,E01000140
137,E01000141
138,E01000142
139,E01000143
140,E01000144
141,E01000145
142,E01000146
143,E01000147
144,E01000148
145,E01000150
146,E01000151
147,E01000152
148,E01000153
149,E01000154
150,E01000155
151,E01000156
152,E01000157
153,E01000158
154,E01000159
155,E01000160
156,E01000161
157,E01000162
158,E01000163
159,E01000164
160,E01000165
161,E01000166
162,E01000167
163,E01000168
164,E01000169
165,E01000170
166,E01000171
167,E01000172
168,E01000173
169,E01000174
170,E01000175
171,E01000176
172,E01000177
173,E01000178
174,E01000179
175,E01000180
176,E01000181
177,E01000182
178,E01000183
179,E01000184
180,E01000185
181,E01000186
182,E01000187
183,E01000188
184,E01000189
185,E01000190
186,E01000191
187,E01000192
188,E01000193
189,E01000194
190,E01000195
191,E01000196
192,E01000197
193,E01000198
194,E01000199
195,E01000200
196,E01000201
197,E01000202
198,E01000203
199,E01000204
200,E01000205
201,E01000206
202,E01000207
203,E01000208
204,E01000209
205,E01000210
206,E01000211
207,E01000212
208,E01000213
209,E01000214
210,E01000215
211,E01000216
212,E01000217
213,E01000218
214,E01000219
215,E01000220
216,E01000221
217,E01000222
218,E01000223
219,E01000224
220,E01000225
221,E01000226
222,E01000227
223,E01000228
224,E01000229
225,E01000230
226,E01000231
227,E01000232
228,E01000233
229,E01000234
230,E01000235
231,E01000236
232,E01000237
233,E01000238
234,E01000239
235,E01000240
236,E01000241
237,E01000242
238,E01000243
239,E01000244
240,E01000245
241,E01000246
242,E01000247
243,E01000248
244,E01000249
245,E01000250
246,E01000251
247,E01000252
248,E01000253
249,E01000254
250,E01000255
251,E01000256
252,E01000257
253,E01000258
254,E01000259
255,E01000260
256,E01000261
257,E01000262
258,E01000263
259,E01000264
260,E01000265
261,E01000266
262,E01000267
263,E01000268
264,E01000269
265,E01000270
266,E01000271
267,E01000272
268,E01000273
269,E01000274
270,E01000275
271,E01000276
272,E01000277
273,E01000278
274,E01000279
275,E01000280
276,E01000281
277,E01000282
278,E01000283
279,E01000284
280,E01000285
281,E01000286
282,E01000287
283,E01000288
284,E01000289
285,E01000290
286,E01000291
287,E01000292
288,E01000293
289,E01000294
290,E01000295
291,E01000296
292,E01000297
293,E01000298
294,E01000299
295,E01000300
296,E01000301
297,E01000302
298,E01000303
299,E01000304
300,E01000305
301,E01000306
302,E01000307
303,E01000308
304,E01000309
305,E01000310
306,E01000311
307,E01000312
308,E01000313
309,E01000314
310,E01000315
311,E01000316
312,E01000317
313,E01000318
314,E01000319
315,E01000320
316,E01000321
317,E01000322
318,E01000323
319,E01000324
320,E01000325
321,E01000326
322,E01000327
323,E01000328
324,E01000329
325,E01000330
326,E01000331
327,E01000332
328,E01000333
329,E01000334
330,E01000335
331,E01000336
332,E01000337
333,E01000338
334,E01000339
335,E01000340
336,E01000341
337,E01000342
338,E01000343
339,E01000344
340,E01000345
341,E01000346
342,E01000347
343,E01000348
344,E01000349
345,E01000350
346,E01000351
347,E01000352
348,E01000353
349,E01000354
350,E01000355
351,E01000356
352,E01000357
353,E01000358
354,E01000359
355,E01000360
356,E01000361
357,E01000362
358,E01000363
359,E01000364
360,E01000365
361,E01000366
362,E01000367
363,E01000368
364,E01000369
365,E01000370
366,E01000371
367,E01000372
368,E01000373
369,E01000374
370,E01000375
371,E01000376
372,E01000377
373,E01000378
374,E01000379
375,E01000380
376,E01000381
377,E01000382
378,E01000383
379,E01000384
380,E01000385
381,E01000386
382,E01000387
383,E01000388
384,E01000389
385,E01000390
386,E01000391
387,E01000392
388,E01000393
389,E01000394
390,E01000395
391,E01000396
392,E01000398
393,E01000399
394,E01000400
395,E01000401
396,E01000402
397,E01000403
398,E01000404
399,E01000405
400,E01000406
401,E01000407
402,E01000408
403,E01000409
404,E01000410
405,E01000411
406,E01000412
407,E01000413
408,E01000414
409,E01000415
410,E01000416
411,E01000417
412,E01000418
413,E01000419
414,E01000420
415,E01000421
416,E01000422
417,E01000423
418,E01000424
419,E01000425
420,E01000426
421,E01000427
422,E01000428
423,E01000429
424,E01000430
425,E01000431
426,E01000432
427,E01000433
428,E01000434
429,E01000435
430,E01000436
431,E01000437
432,E01000438
433,E01000439
434,E01000440
435,E01000441
436,E01000442
437,E01000443
438,E01000444
439,E01000445
440,E01000446
441,E01000447
442,E01000448
443,E01000449
444,E01000450
445,E01000451
446,E01000452
447,E01000453
448,E01000454
449,E01000455
450,E01000456
451,E01000457
452,E01000458
453,E01000459
454,E01000460
455,E01000461
456,E01000462
457,E01000463
458,E01000464
459,E01000465
460,E01000466
461,E01000467
462,E01000468
463,E01000469
464,E01000470
465,E01000471
466,E01000472
467,E01000473
468,E01000474
469,E01000475
470,E01000476
471,E01000477
472,E01000478
473,E01000479
474,E01000480
475,E01000481
476,E01000482
477,E01000483
478,E01000484
479,E01000485
480,E01000486
481,E01000487
482,E01000488
483,E01000489
484,E01000490
485,E01000491
486,E01000492
487,E01000493
488,E01000494
489,E01000495
490,E01000497
491,E01000498
492,E01000499
493,E01000501
494,E01000502
495,E01000503
496,E01000504
497,E01000505
498,E01000506
499,E01000507
500,E01000508
501,E01000509
502,E01000510
503,E01000511
504,E01000512
505,E01000513
506,E01000514
507,E01000515
508,E01000516
509,E01000517
510,E01000518
511,E01000519
512,E01000520
513,E01000521
514,E01000522
515,E01000523
516,E01000524
517,E01000525
518,E01000526
