,LSOA CODE,LIVING ENVIRONMENT SCORE,CRIME AND DISORDER SCORE,HEALTH DEPRIVATION AND DISABILITY SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,EDUCATION SKILLS AND TRAINING SCORE,EMPLOYMENT SCORE,INCOME SCORE,IMD SCORE,Outdoors Sub-domain Score
0,E01000001,26.28,-1.64,-2.11,32.6,0.21,0.01,0.01,6.16,37.32
1,E01000002,25.73,-1.93,-2.78,30.26,0.26,0.01,0.01,5.59,45.72
2,E01000003,36.48,-1.21,-0.97,40.32,7.16,0.05,0.07,13.29,68.32
4,E01000005,40.94,-1.02,0.07,34.66,20.24,0.07,0.16,21.36,55.21
5,E01000006,19.39,0.42,-0.38,32.81,13.84,0.06,0.12,17.08,14.07
6,E01000007,49.82,1.23,0.63,34.52,29.22,0.1,0.27,37.24,68.94
7,E01000008,51.89,0.95,0.55,34.25,29.85,0.14,0.4,45.22,63.56
8,E01000009,33.99,1.06,0.34,30.6,20.75,0.11,0.2,29.41,60.56
9,E01000010,43.65,1.5,0.41,30.68,22.72,0.12,0.32,38.45,56.75
10,E01000011,43.57,0.72,0.25,29.6,22.05,0.1,0.23,29.48,52.62
11,E01000012,57.0,1.12,0.12,36.6,17.9,0.1,0.33,37.34,59.72
12,E01000013,38.93,1.23,0.6,26.33,50.48,0.13,0.28,39.8,56.03
13,E01000014,37.14,0.53,0.37,29.47,51.64,0.15,0.28,37.83,62.94
14,E01000015,17.86,1.1,0.4,29.09,45.71,0.14,0.34,38.81,14.94
15,E01000016,27.62,0.5,0.4,26.2,42.64,0.13,0.23,31.64,35.04
16,E01000017,24.48,0.08,1.06,26.06,33.5,0.14,0.29,35.34,39.62
17,E01000018,21.74,0.6,0.56,25.97,40.75,0.13,0.25,32.63,31.57
18,E01000019,33.31,0.66,0.55,25.69,30.56,0.12,0.28,32.85,28.28
19,E01000020,39.39,0.3,0.81,26.19,33.91,0.13,0.26,34.19,42.23
20,E01000021,36.2,0.65,0.4,27.9,35.94,0.13,0.27,34.03,16.59
21,E01000022,26.89,0.6,0.18,27.27,34.96,0.11,0.23,28.62,23.03
22,E01000023,29.46,0.28,0.24,29.13,25.24,0.08,0.19,23.9,30.82
23,E01000024,28.45,0.53,0.42,26.21,35.39,0.1,0.23,29.3,31.63
24,E01000025,19.82,0.7,0.46,26.37,40.2,0.14,0.25,32.73,21.44
26,E01000027,40.39,1.97,0.81,31.48,53.45,0.16,0.33,49.15,28.44
27,E01000028,23.17,0.62,0.97,30.78,41.06,0.17,0.35,43.01,11.25
28,E01000029,21.06,1.21,0.14,29.77,26.28,0.1,0.17,26.83,21.85
29,E01000030,61.31,1.87,0.55,39.11,35.54,0.15,0.39,52.51,19.8
30,E01000031,29.24,1.33,0.15,25.01,15.92,0.1,0.19,26.75,54.03
31,E01000032,33.48,1.05,0.2,27.42,30.63,0.11,0.2,29.6,32.11
32,E01000033,25.77,0.81,0.81,38.4,44.76,0.15,0.3,40.95,35.9
33,E01000034,15.47,0.28,0.65,36.21,29.28,0.13,0.25,31.4,23.31
34,E01000035,24.06,0.93,0.33,28.13,26.64,0.11,0.2,28.15,21.26
35,E01000036,23.8,0.34,0.31,25.22,24.21,0.07,0.17,21.53,10.91
36,E01000037,14.15,-0.27,0.04,27.28,22.46,0.15,0.13,22.28,25.22
37,E01000038,28.24,-0.33,0.1,22.25,26.49,0.09,0.11,18.87,40.21
38,E01000039,17.24,0.31,-0.3,37.0,14.96,0.06,0.14,18.39,26.92
39,E01000040,22.05,0.76,0.59,26.63,40.56,0.17,0.32,38.87,31.62
40,E01000041,32.4,0.83,0.17,27.58,47.18,0.11,0.25,32.86,29.13
41,E01000042,22.31,0.95,0.52,32.28,29.27,0.16,0.34,39.49,28.55
42,E01000043,25.52,1.17,0.44,30.78,31.38,0.1,0.26,32.94,46.17
43,E01000044,50.75,1.51,0.16,26.76,19.63,0.1,0.21,31.97,71.5
44,E01000045,38.76,1.51,0.47,31.61,44.46,0.14,0.26,40.12,59.77
45,E01000046,26.36,0.08,0.02,28.4,26.58,0.13,0.26,28.92,18.9
47,E01000048,39.23,0.59,0.87,38.59,38.71,0.22,0.48,55.47,30.34
48,E01000049,32.94,0.79,0.48,40.15,37.08,0.16,0.39,44.56,29.03
49,E01000050,40.17,1.26,0.66,28.28,17.83,0.13,0.24,34.65,70.5
50,E01000051,54.34,0.4,0.96,32.25,35.28,0.22,0.45,53.9,44.26
51,E01000052,33.07,0.34,0.38,32.37,20.37,0.12,0.23,29.24,43.11
52,E01000053,23.47,0.81,0.39,26.62,26.02,0.14,0.28,32.75,25.94
53,E01000054,25.98,0.41,0.09,27.49,39.28,0.13,0.23,29.77,14.25
54,E01000055,22.12,0.59,0.17,27.46,35.67,0.12,0.24,29.71,21.13
55,E01000056,22.74,0.82,0.52,35.52,38.62,0.14,0.31,37.71,31.8
56,E01000057,36.88,1.31,0.45,26.22,40.92,0.13,0.3,38.86,67.32
57,E01000058,28.11,0.49,0.7,26.67,48.65,0.15,0.28,37.36,32.96
58,E01000059,32.37,0.75,0.72,28.58,32.75,0.13,0.26,34.55,17.97
59,E01000060,26.48,1.42,0.59,27.93,37.9,0.16,0.33,42.0,46.47
60,E01000061,35.18,0.37,0.94,31.19,47.11,0.19,0.46,51.26,23.11
61,E01000062,30.35,0.87,0.3,23.96,33.7,0.13,0.29,33.29,40.12
62,E01000063,31.09,0.58,0.56,25.2,48.54,0.13,0.25,33.92,38.06
63,E01000064,33.41,0.61,0.46,27.47,38.63,0.14,0.28,35.19,48.67
64,E01000065,32.67,0.41,0.76,26.47,48.14,0.15,0.26,36.6,39.15
65,E01000066,30.38,-0.11,0.45,34.08,14.81,0.1,0.2,25.42,30.84
66,E01000067,28.04,0.47,0.15,25.18,13.72,0.09,0.21,23.07,49.42
67,E01000068,25.54,1.13,0.07,29.51,14.25,0.08,0.16,23.35,42.64
68,E01000069,12.33,0.09,-0.11,19.63,15.53,0.08,0.14,15.88,23.06
69,E01000070,26.99,1.15,-0.07,21.19,10.88,0.08,0.13,20.42,45.95
70,E01000071,18.15,-0.07,-0.16,26.02,14.96,0.06,0.18,16.91,19.31
71,E01000072,38.88,1.54,0.75,25.76,39.09,0.14,0.32,42.4,70.85
72,E01000073,22.77,0.89,0.78,26.09,46.51,0.13,0.27,36.42,30.06
