,LSOA code (2011),Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,lsoa_x,hierarchical8x,lsoa_y,hierarchical13x,lsoa,hierarchical24x
0,E01000001,31.873,-2.012,-1.654,29.472,0.024,0.01,0.007,6.208,1.503,E01000001,1.0,E01000001,1.0,E01000001,1.0
1,E01000002,23.084,-2.343,-1.115,24.412,0.063,0.027,0.034,5.143,1.196,E01000002,1.0,E01000002,1.0,E01000002,1.0
2,E01000003,40.535,-1.032,-0.102,40.103,5.804,0.086,0.086,19.402,2.207,E01000003,1.0,E01000003,1.0,E01000003,2.0
3,E01000005,28.979,-1.317,-0.121,39.9,22.26,0.136,0.211,28.652,1.769,E01000005,2.0,E01000005,2.0,E01000005,3.0
4,E01000006,26.888,-0.147,-0.359,45.171,14.798,0.059,0.117,19.837,0.969,E01000006,3.0,E01000006,3.0,E01000006,4.0
5,E01000007,25.995,0.846,-0.027,50.42,11.385,0.107,0.207,31.576,1.324,,,,,,
6,E01000008,30.233,0.353,0.25,45.413,25.506,0.151,0.265,37.596,1.84,E01000008,4.0,E01000008,5.0,,
7,E01000009,28.601,0.895,0.454,48.119,15.713,0.109,0.187,32.844,1.37,E01000009,5.0,E01000009,6.0,E01000009,7.0
8,E01000010,47.932,1.214,-0.002,50.58,11.762,0.073,0.169,32.437,1.271,,,,,,
9,E01000011,39.857,0.526,-0.137,52.948,22.519,0.081,0.167,30.679,1.195,E01000011,5.0,E01000011,8.0,E01000011,9.0
10,E01000012,36.881,0.542,-0.056,56.507,19.774,0.096,0.239,34.714,1.331,E01000012,1.0,E01000012,7.0,E01000012,10.0
11,E01000013,30.424,1.199,0.67,45.252,24.003,0.145,0.213,38.997,0.931,E01000013,3.0,,,,
12,E01000014,25.122,0.825,0.35,46.135,31.501,0.135,0.201,35.67,1.004,E01000014,3.0,E01000014,3.0,E01000014,11.0
13,E01000015,25.696,0.372,0.025,50.4,26.013,0.123,0.216,33.632,0.715,E01000015,3.0,E01000015,3.0,E01000015,11.0
14,E01000016,24.95,0.528,0.373,43.772,28.996,0.122,0.199,32.839,0.799,E01000016,3.0,E01000016,9.0,E01000016,12.0
15,E01000017,27.688,0.317,0.694,45.929,22.899,0.169,0.25,39.004,0.773,E01000017,3.0,E01000017,3.0,E01000017,11.0
16,E01000018,25.659,0.457,0.273,43.512,26.358,0.136,0.212,33.406,0.797,E01000018,3.0,E01000018,9.0,E01000018,12.0
17,E01000019,26.826,0.645,0.477,41.248,26.111,0.138,0.194,33.62,0.973,E01000019,3.0,,,,
18,E01000020,30.078,0.651,0.76,43.518,24.184,0.131,0.216,36.035,0.899,E01000020,3.0,E01000020,3.0,E01000020,11.0
19,E01000021,44.214,0.559,0.418,45.544,31.637,0.136,0.23,38.888,1.042,E01000021,3.0,E01000021,3.0,E01000021,11.0
20,E01000022,30.435,0.506,0.427,44.277,27.111,0.139,0.195,34.413,0.84,E01000022,3.0,,,,
21,E01000023,39.968,1.286,0.033,45.846,22.994,0.108,0.228,36.877,0.809,,,,,,
22,E01000024,29.869,0.244,0.263,45.704,29.298,0.1,0.155,29.339,0.836,E01000024,3.0,E01000024,3.0,E01000024,11.0
23,E01000025,28.042,0.837,0.395,47.029,25.691,0.138,0.219,36.702,0.894,E01000025,3.0,,,,
24,E01000027,20.329,1.042,0.148,44.976,38.122,0.146,0.216,37.347,0.597,E01000027,3.0,E01000027,4.0,E01000027,5.0
25,E01000028,16.282,-0.111,1.138,48.625,27.699,0.155,0.26,40.078,0.551,E01000028,3.0,E01000028,3.0,E01000028,11.0
26,E01000029,21.974,0.35,-0.28,47.51,17.349,0.075,0.113,22.503,0.684,E01000029,3.0,E01000029,3.0,E01000029,11.0
27,E01000030,20.993,0.499,0.016,44.592,38.753,0.162,0.264,38.415,0.624,E01000030,4.0,E01000030,5.0,,
28,E01000031,27.703,0.919,0.046,34.14,12.953,0.075,0.126,22.672,1.0,E01000031,3.0,E01000031,4.0,E01000031,5.0
29,E01000032,38.369,0.913,0.095,39.922,23.035,0.106,0.146,29.958,0.763,E01000032,3.0,E01000032,3.0,E01000032,11.0
30,E01000033,21.763,0.162,0.278,55.686,32.037,0.136,0.257,37.978,0.661,E01000033,3.0,E01000033,3.0,E01000033,11.0
31,E01000034,18.01,0.302,0.661,45.083,33.858,0.147,0.216,35.895,0.553,E01000034,3.0,,,,
32,E01000035,23.071,0.242,0.397,39.025,25.536,0.092,0.15,26.175,0.68,E01000035,3.0,E01000035,3.0,E01000035,11.0
33,E01000036,27.612,0.386,-0.185,31.724,15.969,0.073,0.112,19.27,0.626,E01000036,3.0,E01000036,9.0,E01000036,12.0
34,E01000037,19.057,-0.067,-0.504,29.715,20.288,0.101,0.096,17.988,0.62,E01000037,3.0,E01000037,9.0,E01000037,12.0
35,E01000038,27.001,0.204,-0.103,27.945,18.702,0.079,0.127,19.646,1.051,E01000038,3.0,E01000038,9.0,E01000038,12.0
36,E01000039,17.527,0.092,0.173,42.779,19.753,0.074,0.127,22.288,0.547,E01000039,3.0,E01000039,4.0,E01000039,5.0
37,E01000040,29.323,0.607,0.155,45.801,31.332,0.123,0.218,34.608,1.27,E01000040,3.0,E01000040,9.0,E01000040,12.0
38,E01000041,33.127,0.432,0.349,48.606,33.867,0.105,0.172,33.173,0.897,E01000041,3.0,E01000041,9.0,E01000041,12.0
39,E01000042,24.75,0.263,0.526,57.015,31.45,0.164,0.263,41.573,1.039,E01000042,3.0,,,,
40,E01000043,33.853,0.574,0.044,42.921,28.946,0.085,0.147,28.075,1.548,E01000043,3.0,E01000043,3.0,E01000043,11.0
41,E01000044,44.13,1.077,-0.41,42.638,22.263,0.079,0.133,28.389,1.326,E01000044,5.0,E01000044,6.0,E01000044,7.0
42,E01000045,35.245,1.214,0.279,44.514,24.013,0.125,0.188,35.688,1.577,E01000045,4.0,E01000045,5.0,E01000045,13.0
43,E01000046,30.26,-0.026,0.222,45.338,28.185,0.111,0.17,29.763,0.81,E01000046,3.0,E01000046,3.0,E01000046,11.0
44,E01000048,20.578,0.246,0.495,49.012,26.49,0.182,0.341,44.704,1.107,E01000048,1.0,,,,
45,E01000049,26.588,0.376,0.409,55.298,27.852,0.143,0.29,41.172,1.633,,,,,,
