,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
0,E01000001,1.503,E01000001,4.888857982272193
1,E01000002,1.196,E01000002,4.958838001659938
2,E01000003,2.207,E01000003,5.138449553080967
3,E01000005,1.769,E01000005,4.894755321282607
4,E01000006,0.969,E01000006,5.183533144521189
5,E01000007,1.324,E01000007,5.3514717713945865
6,E01000008,1.84,E01000008,5.434072843872674
7,E01000009,1.37,E01000009,5.294138178473613
8,E01000010,1.271,E01000010,5.193009349925459
9,E01000011,1.195,E01000011,5.047610678672791
10,E01000012,1.331,E01000012,5.333664849564269
11,E01000013,0.931,E01000013,5.397134666259472
12,E01000014,1.004,E01000014,5.45911554648326
13,E01000015,0.715,E01000015,5.411512230044213
14,E01000016,0.799,E01000016,5.451661956688715
15,E01000017,0.773,E01000017,5.336339157474928
16,E01000018,0.797,E01000018,5.415274947319391
17,E01000019,0.973,E01000019,5.43251764312271
18,E01000020,0.899,E01000020,5.41630069190456
19,E01000021,1.042,E01000021,5.3549732978527365
20,E01000022,0.84,E01000022,5.492277530670166
21,E01000023,0.809,E01000023,5.341119564262924
22,E01000024,0.836,E01000024,5.467744397080463
23,E01000025,0.894,E01000025,5.541166305541992
24,E01000027,0.597,E01000027,5.656077483532366
25,E01000028,0.551,E01000028,5.571613441015545
26,E01000029,0.684,E01000029,5.393191892391926
27,E01000030,0.624,E01000030,5.625950721425748
28,E01000031,1.0,E01000031,5.446116428770777
29,E01000032,0.763,E01000032,5.365886814105584
30,E01000033,0.661,E01000033,5.4494291236323695
31,E01000034,0.553,E01000034,5.389913074127057
32,E01000035,0.68,E01000035,5.412302511777633
33,E01000036,0.626,E01000036,5.23707904684262
34,E01000037,0.62,E01000037,5.350119334895436
35,E01000038,1.051,E01000038,5.218310247606306
36,E01000039,0.547,E01000039,5.426517734000849
37,E01000040,1.27,E01000040,5.368330031860876
38,E01000041,0.897,E01000041,5.3992072671925255
39,E01000042,1.039,E01000042,5.49736264679167
40,E01000043,1.548,E01000043,5.3349310242677035
41,E01000044,1.326,E01000044,5.258164214236396
42,E01000045,1.577,E01000045,5.398800965293823
