,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
0,E01000001,1.503,E01000001,5.082797950790042
1,E01000002,1.196,E01000002,5.202613090787615
2,E01000003,2.207,E01000003,5.102403126444135
3,E01000005,1.769,E01000005,5.063381887093568
4,E01000006,0.969,E01000006,5.047122714283702
5,E01000007,1.324,E01000007,5.355992244847248
6,E01000008,1.84,E01000008,5.276160925921827
7,E01000009,1.37,E01000009,5.188959134406731
8,E01000010,1.271,E01000010,5.163448209112341
9,E01000011,1.195,E01000011,4.922755338350932
10,E01000012,1.331,E01000012,5.227682476515298
11,E01000013,0.931,E01000013,5.2422503508054294
12,E01000014,1.004,E01000014,5.193572468482531
13,E01000015,0.715,E01000015,5.087327517081644
14,E01000016,0.799,E01000016,5.250505236406175
15,E01000017,0.773,E01000017,5.15413550700038
16,E01000018,0.797,E01000018,5.0747769216321545
17,E01000019,0.973,E01000019,5.195706445117329
18,E01000020,0.899,E01000020,5.137760554590533
19,E01000021,1.042,E01000021,5.217754054273295
20,E01000022,0.84,E01000022,5.277044632911682
21,E01000023,0.809,E01000023,5.097190890342566
22,E01000024,0.836,E01000024,5.31545631263567
23,E01000025,0.894,E01000025,5.253184788817659
24,E01000027,0.597,E01000027,5.147675078635341
25,E01000028,0.551,E01000028,5.264261248237208
26,E01000029,0.684,E01000029,5.185977500838202
27,E01000030,0.624,E01000030,5.149292109209463
28,E01000031,1.0,E01000031,5.154567779483883
29,E01000032,0.763,E01000032,5.16041404342059
30,E01000033,0.661,E01000033,5.12498576025809
31,E01000034,0.553,E01000034,4.987385556465242
32,E01000035,0.68,E01000035,5.282634111551138
33,E01000036,0.626,E01000036,5.113454073432862
34,E01000037,0.62,E01000037,5.178271372143815
35,E01000038,1.051,E01000038,5.123203449284852
36,E01000039,0.547,E01000039,5.054451247287351
37,E01000040,1.27,E01000040,5.210675144923552
38,E01000041,0.897,E01000041,5.095281265197544
39,E01000042,1.039,E01000042,5.056206157637967
40,E01000043,1.548,E01000043,5.114847589142715
41,E01000044,1.326,E01000044,5.160310063191822
42,E01000045,1.577,E01000045,5.174946840987148
43,E01000046,0.81,E01000046,5.107483617149957
44,E01000048,1.107,E01000048,5.234578117728233
45,E01000049,1.633,E01000049,5.334830745502755
46,E01000050,1.44,E01000050,5.233535620783057
47,E01000051,1.283,E01000051,5.333180174231529
48,E01000052,1.677,E01000052,5.116889801952574
49,E01000053,1.114,E01000053,5.23171090638196
50,E01000054,0.899,E01000054,5.286614910336851
51,E01000055,1.069,E01000055,5.166632704060487
52,E01000056,0.912,E01000056,5.258772336667584
53,E01000057,1.281,E01000057,5.125207109271355
54,E01000058,0.919,E01000058,5.1266455743827075
55,E01000059,0.741,E01000059,5.133548202379695
56,E01000060,1.316,E01000060,5.143004193840185
57,E01000061,0.651,E01000061,5.2248300961506216
58,E01000062,0.776,E01000062,5.142869904495421
59,E01000063,1.056,E01000063,5.188605546951294
60,E01000064,0.845,E01000064,5.11641009098076
61,E01000065,1.061,E01000065,5.088738992069308
62,E01000066,0.682,E01000066,5.049839441554021
63,E01000067,1.136,E01000067,5.010147808997099
64,E01000068,1.248,E01000068,4.963614009090306
65,E01000069,0.974,E01000069,5.100568213113925
66,E01000070,1.271,E01000070,5.047868739417258
67,E01000071,0.886,E01000071,5.024338095528739
68,E01000072,1.235,E01000072,5.2464079716626335
69,E01000073,0.71,E01000073,5.207358139460204
70,E01000074,0.837,E01000074,5.3352228803881285
71,E01000075,1.375,E01000075,5.059715120537767
72,E01000076,0.892,E01000076,5.253321795140282
73,E01000077,1.091,E01000077,5.209317685142765
74,E01000078,1.073,E01000078,5.165686232942931
75,E01000079,0.94,E01000079,5.103866129210501
76,E01000080,0.984,E01000080,5.2972307127791565
77,E01000081,1.009,E01000081,5.341115400081373
78,E01000082,1.037,E01000082,5.071237702803178
79,E01000083,1.118,E01000083,5.177823229839928
80,E01000084,1.086,E01000084,5.062192020163072
81,E01000085,1.156,E01000085,5.061360013484955
82,E01000086,0.78,E01000086,5.112846786225283
83,E01000087,0.968,E01000087,5.327381524946783
84,E01000088,1.268,E01000088,5.274262154102326
85,E01000089,1.104,E01000089,5.318166487492048
86,E01000090,1.071,E01000090,5.40732419032317
87,E01000091,1.17,E01000091,5.120867946764806
88,E01000092,0.862,E01000092,5.357210838584648
89,E01000093,1.582,E01000093,5.141007617207393
90,E01000094,0.648,E01000094,5.267450455609743
91,E01000095,0.888,E01000095,5.485918719165219
92,E01000096,1.553,E01000096,5.371720413523396
93,E01000097,1.08,E01000097,5.270796535646214
94,E01000098,1.104,E01000098,5.187458191141986
95,E01000099,0.705,E01000099,5.2260474958042105
96,E01000100,1.09,E01000100,5.128921918330654
97,E01000101,1.53,E01000101,5.2167176259191415
98,E01000102,1.105,E01000102,5.184715947568022
99,E01000103,0.622,E01000103,5.244016701728105
100,E01000104,0.646,E01000104,5.214487355726736
101,E01000105,1.071,E01000105,5.144458122841724
102,E01000106,0.688,E01000106,5.129895609446934
103,E01000107,0.673,E01000107,5.144725045901817
104,E01000108,0.723,E01000108,5.131453870773315
105,E01000109,1.049,E01000109,5.410538490996303
106,E01000110,0.689,E01000110,5.066718078241116
107,E01000111,0.807,E01000111,5.26059411989676
108,E01000112,0.93,E01000112,5.203787145374706
109,E01000113,1.001,E01000113,5.238037968097731
110,E01000114,0.941,E01000114,5.352528498286293
111,E01000115,0.849,E01000115,4.7559924574242425
112,E01000116,0.403,E01000116,4.713225544300849
113,E01000117,0.417,E01000117,4.932478010903841
114,E01000118,0.443,E01000118,4.896390135161543
115,E01000119,0.86,E01000119,5.037623210386797
116,E01000120,0.561,E01000120,5.0151836546262105
117,E01000121,0.571,E01000121,5.044873287803249
118,E01000122,0.543,E01000122,5.077723698708618
119,E01000123,0.372,E01000123,4.90126157225224
120,E01000124,0.96,E01000124,5.1776297372064475
