,LSOA code (2011),Crime Score,lsoa,Unnamed: 0
0,E01000001,-2.012,E01000001,5.699883186249506
1,E01000002,-2.343,E01000002,5.6844316032954625
2,E01000003,-1.032,E01000003,5.6199522290910995
3,E01000005,-1.317,E01000005,5.669614949593178
4,E01000006,-0.147,E01000006,6.130563659982367
5,E01000007,0.846,E01000007,5.59986849396215
6,E01000008,0.353,E01000008,5.53703789899845
7,E01000009,0.895,E01000009,5.927758195361153
8,E01000010,1.214,E01000010,5.7057300875009584
9,E01000011,0.526,E01000011,6.147141459782918
10,E01000012,0.542,E01000012,5.7058628142535035
11,E01000013,1.199,E01000013,5.834087751461909
12,E01000014,0.825,E01000014,5.838097972747607
13,E01000015,0.372,E01000015,6.007898571335267
14,E01000016,0.528,E01000016,5.822747270266215
15,E01000017,0.317,E01000017,5.875538077236207
16,E01000018,0.457,E01000018,6.0266986882911535
17,E01000019,0.645,E01000019,5.8325192152067675
18,E01000020,0.651,E01000020,5.913921796506451
19,E01000021,0.559,E01000021,5.7429124636527815
20,E01000022,0.506,E01000022,5.87222413444519
21,E01000023,1.286,E01000023,5.8266138817853985
22,E01000024,0.244,E01000024,5.802547172359798
23,E01000025,0.837,E01000025,5.812105229141515
24,E01000027,1.042,E01000027,5.745198092502583
25,E01000028,-0.111,E01000028,5.7131444730256735
26,E01000029,0.35,E01000029,5.887971332910898
27,E01000030,0.499,E01000030,5.853908700680514
28,E01000031,0.919,E01000031,5.832394883379958
29,E01000032,0.913,E01000032,5.897249061868798
30,E01000033,0.162,E01000033,5.889344130792925
31,E01000034,0.302,E01000034,5.970947931452495
32,E01000035,0.242,E01000035,5.577163114914527
33,E01000036,0.386,E01000036,5.895692298731466
34,E01000037,-0.067,E01000037,5.919374114129601
35,E01000038,0.204,E01000038,5.9584833597069355
36,E01000039,0.092,E01000039,5.837768371022025
37,E01000040,0.607,E01000040,5.830892650225691
38,E01000041,0.432,E01000041,5.999293410449947
39,E01000042,0.263,E01000042,5.927495234542423
40,E01000043,0.574,E01000043,5.929484913620768
41,E01000044,1.077,E01000044,5.8294810737882345
42,E01000045,1.214,E01000045,5.7887748724006745
43,E01000046,-0.026,E01000046,6.018431743772903
44,E01000048,0.246,E01000048,5.545079506933689
45,E01000049,0.376,E01000049,5.636890821986729
46,E01000050,0.74,E01000050,5.7023153475352695
47,E01000051,0.859,E01000051,5.689555995166302
48,E01000052,0.335,E01000052,5.805744191010793
49,E01000053,1.217,E01000053,5.744298152570371
50,E01000054,0.514,E01000054,5.8094262221387325
51,E01000055,0.047,E01000055,5.8654105494720765
52,E01000056,0.485,E01000056,5.8135102083606105
53,E01000057,0.644,E01000057,5.865689383362824
54,E01000058,0.358,E01000058,5.866995203728769
55,E01000059,0.414,E01000059,5.9064407528571365
56,E01000060,1.109,E01000060,5.853626722122129
57,E01000061,0.145,E01000061,5.7638863398705
58,E01000062,0.558,E01000062,5.950095400356111
59,E01000063,0.342,E01000063,5.864497882127762
60,E01000064,0.212,E01000064,5.838329613926899
61,E01000065,0.324,E01000065,5.873361873363263
62,E01000066,-0.273,E01000066,6.04963276952
63,E01000067,0.381,E01000067,6.107527312168405
64,E01000068,0.946,E01000068,6.220241789965286
65,E01000069,0.032,E01000069,6.108614937076724
66,E01000070,0.84,E01000070,6.134715699134989
67,E01000071,-0.155,E01000071,6.06926700592041
68,E01000072,1.197,E01000072,5.773524634978351
69,E01000073,1.346,E01000073,5.9536994109388255
70,E01000074,0.005,E01000074,5.844995402056595
71,E01000075,1.057,E01000075,6.01774173106962
72,E01000076,0.287,E01000076,5.824017997515404
73,E01000077,0.487,E01000077,5.774428241621188
74,E01000078,0.467,E01000078,5.846796939070796
75,E01000079,0.253,E01000079,5.862950400872664
76,E01000080,0.145,E01000080,5.765688193308843
77,E01000081,0.192,E01000081,5.74638746712954
78,E01000082,-0.221,E01000082,5.926254599744623
79,E01000083,0.434,E01000083,5.88560964768393
80,E01000084,1.309,E01000084,5.925477835984356
81,E01000085,1.036,E01000085,5.886206032679631
82,E01000086,0.868,E01000086,5.920133400846411
83,E01000087,0.135,E01000087,5.626445405669027
84,E01000088,0.552,E01000088,5.820149443149567
85,E01000089,0.189,E01000089,5.8776480280436
86,E01000090,0.7,E01000090,5.462939695141019
87,E01000091,0.994,E01000091,5.911518436211806
88,E01000092,0.657,E01000092,5.545400220917185
89,E01000093,1.073,E01000093,5.8218229241166375
90,E01000094,0.524,E01000094,5.64344780187349
