,LSOA code (2011),Income Score (rate),lsoa,Unnamed: 0
0,E01000001,0.007,E01000001,5.729568037532625
1,E01000002,0.034,E01000002,5.588737503460475
2,E01000003,0.086,E01000003,5.411645919936044
3,E01000005,0.211,E01000005,5.601113350574787
4,E01000006,0.117,E01000006,5.488614953481234
5,E01000007,0.207,E01000007,5.2634067314897655
6,E01000008,0.265,E01000008,5.117489130190103
7,E01000009,0.187,E01000009,5.425083525845261
8,E01000010,0.169,E01000010,5.2930593160558335
9,E01000011,0.167,E01000011,5.56436821937561
10,E01000012,0.239,E01000012,5.342606583794395
11,E01000013,0.213,E01000013,5.228188956700839
12,E01000014,0.201,E01000014,5.266209608469254
13,E01000015,0.216,E01000015,5.283832903220275
14,E01000016,0.199,E01000016,5.203655152093797
15,E01000017,0.25,E01000017,5.309492222533739
16,E01000018,0.212,E01000018,5.382173695654239
17,E01000019,0.194,E01000019,5.285981507264366
18,E01000020,0.216,E01000020,5.321986572396371
19,E01000021,0.23,E01000021,5.284432501874418
20,E01000022,0.195,E01000022,5.21872289943695
21,E01000023,0.228,E01000023,5.512446890211409
22,E01000024,0.155,E01000024,5.312488124422405
23,E01000025,0.219,E01000025,5.342630077939515
24,E01000027,0.216,E01000027,5.246649126153538
25,E01000028,0.26,E01000028,5.229420863954645
26,E01000029,0.113,E01000029,5.3767107583381035
27,E01000030,0.264,E01000030,5.312269334946204
28,E01000031,0.126,E01000031,5.398907731205637
29,E01000032,0.146,E01000032,5.4359381850461785
30,E01000033,0.257,E01000033,5.260997527389116
31,E01000034,0.216,E01000034,5.423547348598155
32,E01000035,0.15,E01000035,5.093075312712254
33,E01000036,0.112,E01000036,5.3209964525042555
34,E01000037,0.096,E01000037,5.461070927904873
35,E01000038,0.127,E01000038,5.415311793782818
36,E01000039,0.127,E01000039,5.256384274987287
37,E01000040,0.218,E01000040,5.230072940578897
38,E01000041,0.172,E01000041,5.44959649142869
39,E01000042,0.263,E01000042,5.313728305200736
40,E01000043,0.147,E01000043,5.581164983254444
41,E01000044,0.133,E01000044,5.423795471021108
42,E01000045,0.188,E01000045,5.350850675479475
43,E01000046,0.17,E01000046,5.5432108617064975
44,E01000048,0.341,E01000048,5.135029427707195
45,E01000049,0.29,E01000049,5.237543167891325
46,E01000050,0.176,E01000050,5.416559278964996
47,E01000051,0.234,E01000051,5.199427518993616
48,E01000052,0.188,E01000052,5.3469905171129435
49,E01000053,0.229,E01000053,5.2938102519070664
50,E01000054,0.18,E01000054,5.324180377348688
51,E01000055,0.211,E01000055,5.4337959060765275
52,E01000056,0.197,E01000056,5.266299087193705
53,E01000057,0.196,E01000057,5.384208530749914
54,E01000058,0.199,E01000058,5.3751667083478445
55,E01000059,0.176,E01000059,5.244801002853322
56,E01000060,0.202,E01000060,5.264169693982453
57,E01000061,0.303,E01000061,5.212500859189917
58,E01000062,0.143,E01000062,5.32488963717506
59,E01000063,0.181,E01000063,5.3317936559518175
60,E01000064,0.208,E01000064,5.29756037442081
61,E01000065,0.228,E01000065,5.399329006342598
62,E01000066,0.147,E01000066,5.556131500813921
63,E01000067,0.132,E01000067,5.5780858225073695
64,E01000068,0.123,E01000068,5.7481624416469295
65,E01000069,0.087,E01000069,5.715697800240865
66,E01000070,0.11,E01000070,5.606265777603109
67,E01000071,0.13,E01000071,5.579544503348214
68,E01000072,0.241,E01000072,5.397056285851921
69,E01000073,0.209,E01000073,5.361784943791687
70,E01000074,0.234,E01000074,5.250441851287053
71,E01000075,0.196,E01000075,5.503321946245952
72,E01000076,0.208,E01000076,5.303540969299058
73,E01000077,0.251,E01000077,5.256765477056426
74,E01000078,0.228,E01000078,5.251173759010476
75,E01000079,0.227,E01000079,5.279114047686259
76,E01000080,0.19,E01000080,5.2296088670755365
77,E01000081,0.162,E01000081,5.111195495110432
78,E01000082,0.158,E01000082,5.311076192422346
79,E01000083,0.196,E01000083,5.381620439521053
80,E01000084,0.229,E01000084,5.293497780782986
81,E01000085,0.189,E01000085,5.373990021302149
82,E01000086,0.218,E01000086,5.222256509242235
83,E01000087,0.226,E01000087,5.2567470499447415
84,E01000088,0.147,E01000088,5.296775125265121
85,E01000089,0.156,E01000089,5.416262573920763
86,E01000090,0.169,E01000090,5.214059958091149
87,E01000091,0.256,E01000091,5.267523472959345
88,E01000092,0.215,E01000092,5.101109582159488
89,E01000093,0.26,E01000093,5.2204408828466216
90,E01000094,0.167,E01000094,5.223145670181996
91,E01000095,0.196,E01000095,4.98193806482426
92,E01000096,0.259,E01000096,5.018378529492326
93,E01000097,0.223,E01000097,5.295255231506684
94,E01000098,0.239,E01000098,5.337304828150961
95,E01000099,0.174,E01000099,5.242451851320739
96,E01000100,0.16,E01000100,5.497888223778817
97,E01000101,0.254,E01000101,5.3781027354692155
98,E01000102,0.275,E01000102,5.332046028794042
99,E01000103,0.18,E01000103,5.095151157677174
100,E01000104,0.222,E01000104,5.321123094028897
101,E01000105,0.246,E01000105,5.273257072095747
102,E01000106,0.275,E01000106,5.19464402948107
103,E01000107,0.151,E01000107,5.30270570396577
104,E01000108,0.171,E01000108,5.339974472999573
105,E01000109,0.12,E01000109,5.179617129176496
106,E01000110,0.112,E01000110,5.462304680328059
107,E01000111,0.174,E01000111,5.175018051723102
108,E01000112,0.129,E01000112,5.233287737054645
109,E01000113,0.152,E01000113,5.23598801881768
110,E01000114,0.119,E01000114,5.301931853016848
111,E01000115,0.055,E01000115,5.889082974379825
112,E01000116,0.074,E01000116,5.801051622014409
113,E01000117,0.071,E01000117,5.487986127701763
114,E01000118,0.077,E01000118,5.74811713764633
115,E01000119,0.078,E01000119,5.666771294131424
116,E01000120,0.061,E01000120,5.767871731122335
117,E01000121,0.262,E01000121,5.487022565719776
118,E01000122,0.071,E01000122,5.640516916525017
119,E01000123,0.075,E01000123,5.473772577026434
120,E01000124,0.166,E01000124,5.274476431770089
121,E01000125,0.179,E01000125,5.191618240541882
122,E01000126,0.243,E01000126,5.207249858515049
123,E01000127,0.193,E01000127,5.53193569445348
124,E01000128,0.171,E01000128,5.413397373337495
125,E01000129,0.214,E01000129,5.215687414133771
126,E01000130,0.185,E01000130,5.6238961921018715
127,E01000131,0.116,E01000131,5.609744420758
128,E01000132,0.187,E01000132,5.42239629108215
129,E01000133,0.188,E01000133,5.411515643672337
130,E01000134,0.184,E01000134,5.437006370345158
131,E01000135,0.076,E01000135,5.855145298577602
132,E01000136,0.037,E01000136,5.84006975279914
133,E01000137,0.235,E01000137,5.507486749527066
134,E01000138,0.178,E01000138,5.722937726805396
135,E01000139,0.082,E01000139,5.734519158186537
