"","X","LSOA.code..2011.","Outdoors.Sub.domain.Score","lsoa","Unnamed..0","resid"
"1",0,"E01000001",1.503,"E01000001",4.88885798227219,-0.234722881574435
"2",1,"E01000002",1.196,"E01000002",4.95883800165994,-0.227796406216035
"3",2,"E01000003",2.207,"E01000003",5.13844955308097,0.159460529616485
"4",3,"E01000005",1.769,"E01000005",4.89475532128261,-0.174192830146516
"5",4,"E01000006",0.969,"E01000006",5.18353314452119,-0.0497239164323898
"6",5,"E01000007",1.324,"E01000007",5.35147177139459,0.191126789042485
"7",6,"E01000008",1.84,"E01000008",5.43407284387267,0.379707108163847
"8",7,"E01000009",1.37,"E01000009",5.29413817847361,0.143240958419168
"9",8,"E01000010",1.271,"E01000010",5.19300934992546,0.0217789023173624
"10",9,"E01000011",1.195,"E01000011",5.04761067867279,-0.13922911534013
"11",10,"E01000012",1.331,"E01000012",5.33366484956427,0.174757570170507
"12",11,"E01000013",0.931,"E01000013",5.39713466625947,0.156072932103481
"13",12,"E01000014",1.004,"E01000014",5.45911554648326,0.233047000321376
"14",13,"E01000015",0.715,"E01000015",5.41151223004421,0.126087090316619
"15",14,"E01000016",0.799,"E01000016",5.45166195668871,0.183489252461188
"16",15,"E01000017",0.773,"E01000017",5.33633915747493,0.0628264136878568
"17",16,"E01000018",0.797,"E01000018",5.41527494731939,0.146691470818054
"18",17,"E01000019",0.973,"E01000019",5.43251764312271,0.200082126716753
"19",18,"E01000020",0.899,"E01000020",5.41630069190456,0.168666601367591
"20",19,"E01000021",1.042,"E01000021",5.35497329785274,0.136709424893264
"21",20,"E01000022",0.84,"E01000022",5.49227753067017,0.232525658055768
"22",21,"E01000023",0.809,"E01000023",5.34111956426292,0.0750007214044538
"23",22,"E01000024",0.836,"E01000024",5.46774439708046,0.207170979918443
"24",23,"E01000025",0.894,"E01000025",5.54116630554199,0.292505284320495
"25",24,"E01000027",0.597,"E01000027",5.65607748353237,0.346416779649914
"26",25,"E01000028",0.551,"E01000028",5.57161344101555,0.252504974835437
"27",26,"E01000029",0.684,"E01000029",5.39319189239193,0.10139978242026
"28",27,"E01000030",0.624,"E01000030",5.62595072142575,0.321835443239747
"29",28,"E01000031",1,"E01000031",5.44611642877078,0.219226338061271
"30",29,"E01000032",0.763,"E01000032",5.36588681410558,0.0903202089494576
"31",30,"E01000033",0.661,"E01000033",5.44942912363237,0.152913132511874
