"","X","Living.Environment.Score","Crime.Score","Health.Deprivation.and.Disability.Score","Barriers.to.Housing.and.Services.Score","Education..Skills.and.Training.Score","Employment.Score..rate.","Income.Score..rate.","Index.of.Multiple.Deprivation..IMD..Score","Outdoors.Sub.domain.Score","safety","wealth","boring","depressing","lively","walk","beauty","lsoa","resid"
"1",0,31.873,-2.012,-1.654,29.472,0.024,0.01,0.007,6.208,1.503,5.69988318624951,5.72956803753262,4.88885798227219,5.08279795079004,5.64834538187299,5.34714071977706,5.27234067349207,"E01000001",0.241100505369745
"2",1,23.084,-2.343,-1.115,24.412,0.063,0.027,0.034,5.143,1.196,5.68443160329546,5.58873750346048,4.95883800165994,5.20261309078762,5.70975557531629,5.32824824196952,5.13834817137037,"E01000002",0.360546480108276
"3",2,40.535,-1.032,-0.102,40.103,5.804,0.086,0.086,19.402,2.207,5.6199522290911,5.41164591993604,5.13844955308097,5.10240312644413,5.56825757707868,5.23242456572396,5.10661665030888,"E01000003",0.205993496243126
"4",3,28.979,-1.317,-0.121,39.9,22.26,0.136,0.211,28.652,1.769,5.66961494959318,5.60111335057479,4.89475532128261,5.06338188709357,5.72844322522481,5.35589551253197,5.06862020675953,"E01000005",0.0112034484535465
"5",4,26.888,-0.147,-0.359,45.171,14.798,0.059,0.117,19.837,0.969,6.13056365998237,5.48861495348123,5.18353314452119,5.0471227142837,5.62701597056546,5.29197483927339,5.58505763457372,"E01000006",0.0655778955131457
"6",5,25.995,0.846,-0.027,50.42,11.385,0.107,0.207,31.576,1.324,5.59986849396215,5.26340673148977,5.35147177139459,5.35599224484725,5.26202459693644,5.11410226573834,5.01756714051859,"E01000007",0.406754119270806
"7",6,30.233,0.353,0.25,45.413,25.506,0.151,0.265,37.596,1.84,5.53703789899845,5.1174891301901,5.43407284387267,5.27616092592183,5.18751891414718,4.92803800460136,5.00584634459845,"E01000008",0.193256578665311
"8",7,28.601,0.895,0.454,48.119,15.713,0.109,0.187,32.844,1.37,5.92775819536115,5.42508352584526,5.29413817847361,5.18895913440673,5.59541254942534,5.22748056102972,5.37959938068859,"E01000009",0.198753130674963
"9",8,47.932,1.214,-0.002,50.58,11.762,0.073,0.169,32.437,1.271,5.70573008750096,5.29305931605583,5.19300934992546,5.16344820911234,5.50228827649897,5.20534931381872,5.22284736120996,"E01000010",0.210641486016361
"10",9,39.857,0.526,-0.137,52.948,22.519,0.081,0.167,30.679,1.195,6.14714145978292,5.56436821937561,5.04761067867279,4.92275533835093,5.82423873583476,5.36442037582397,5.61733796596527,"E01000011",-0.131874736250788
