,Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,safety,wealth,boring,depressing,lively,walk,beauty,lsoa
0,31.873,-2.012,-1.654,29.472,0.024,0.01,0.007,6.208,1.503,5.699883186249506,5.729568037532625,4.888857982272193,5.082797950790042,5.6483453818729945,5.3471407197770615,5.272340673492068,E01000001
1,23.084,-2.343,-1.115,24.412,0.063,0.027,0.034,5.143,1.196,5.684431603295463,5.588737503460475,4.958838001659938,5.202613090787615,5.709755575316293,5.328248241969518,5.13834817137037,E01000002
2,40.535,-1.032,-0.102,40.103,5.804,0.086,0.086,19.402,2.207,5.6199522290911,5.411645919936044,5.138449553080967,5.102403126444135,5.568257577078683,5.2324245657239645,5.106616650308881,E01000003
3,28.979,-1.317,-0.121,39.9,22.26,0.136,0.211,28.652,1.769,5.669614949593178,5.601113350574787,4.894755321282607,5.063381887093568,5.7284432252248125,5.355895512531966,5.068620206759526,E01000005
4,26.888,-0.147,-0.359,45.171,14.798,0.059,0.117,19.837,0.969,6.130563659982367,5.488614953481234,5.183533144521189,5.047122714283702,5.62701597056546,5.29197483927339,5.585057634573716,E01000006
5,25.995,0.846,-0.027,50.42,11.385,0.107,0.207,31.576,1.324,5.59986849396215,5.2634067314897655,5.3514717713945865,5.355992244847248,5.262024596936441,5.114102265738339,5.017567140518586,E01000007
6,30.233,0.353,0.25,45.413,25.506,0.151,0.265,37.596,1.84,5.53703789899845,5.117489130190103,5.434072843872674,5.276160925921827,5.187518914147179,4.928038004601356,5.005846344598449,E01000008
7,28.601,0.895,0.454,48.119,15.713,0.109,0.187,32.844,1.37,5.927758195361153,5.425083525845261,5.294138178473613,5.188959134406731,5.595412549425344,5.227480561029716,5.379599380688589,E01000009
8,47.932,1.214,-0.002,50.58,11.762,0.073,0.169,32.437,1.271,5.7057300875009584,5.2930593160558335,5.193009349925459,5.163448209112341,5.502288276498968,5.205349313818719,5.222847361209964,E01000010
9,39.857,0.526,-0.137,52.948,22.519,0.081,0.167,30.679,1.195,6.147141459782918,5.56436821937561,5.047610678672791,4.922755338350932,5.824238735834758,5.364420375823975,5.617337965965271,E01000011
10,36.881,0.542,-0.056,56.507,19.774,0.096,0.239,34.714,1.331,5.705862814253504,5.342606583794395,5.333664849564269,5.227682476515298,5.398082892973345,5.1704962515569,5.145035835412832,E01000012
11,30.424,1.199,0.67,45.252,24.003,0.145,0.213,38.997,0.931,5.834087751461909,5.228188956700839,5.397134666259472,5.242250350805429,5.575696958028353,5.173017336772039,5.215524351596832,E01000013
12,25.122,0.825,0.35,46.135,31.501,0.135,0.201,35.67,1.004,5.838097972747607,5.266209608469254,5.45911554648326,5.193572468482531,5.342401414345472,5.215978395480376,5.339615184527177,E01000014
13,25.696,0.372,0.025,50.4,26.013,0.123,0.216,33.632,0.715,6.007898571335267,5.283832903220275,5.411512230044213,5.087327517081644,5.523155727119089,5.399677606386559,5.462692828935998,E01000015
14,24.95,0.528,0.373,43.772,28.996,0.122,0.199,32.839,0.799,5.822747270266215,5.203655152093797,5.451661956688715,5.250505236406175,5.4161326714924405,5.111148856935047,5.104446474521879,E01000016
15,27.688,0.317,0.694,45.929,22.899,0.169,0.25,39.004,0.773,5.875538077236207,5.309492222533739,5.336339157474928,5.15413550700038,5.58252305826865,5.317313688845674,5.280175716423791,E01000017
16,25.659,0.457,0.273,43.512,26.358,0.136,0.212,33.406,0.797,6.0266986882911535,5.382173695654239,5.415274947319391,5.0747769216321545,5.574985599742745,5.437182574901941,5.357530961621483,E01000018
17,26.826,0.645,0.477,41.248,26.111,0.138,0.194,33.62,0.973,5.832519215206768,5.285981507264366,5.43251764312271,5.195706445117329,5.508850082870602,5.235465625459834,5.19670581540396,E01000019
18,30.078,0.651,0.76,43.518,24.184,0.131,0.216,36.035,0.899,5.913921796506451,5.321986572396371,5.41630069190456,5.137760554590533,5.515346717449926,5.2594826221466064,5.233420796932712,E01000020
19,44.214,0.559,0.418,45.544,31.637,0.136,0.23,38.888,1.042,5.7429124636527815,5.284432501874418,5.3549732978527365,5.217754054273295,5.50399941053146,5.197944622773391,5.116995585270417,E01000021
20,30.435,0.506,0.427,44.277,27.111,0.139,0.195,34.413,0.84,5.87222413444519,5.21872289943695,5.492277530670166,5.277044632911682,5.376699699401856,5.18059748840332,5.109539549827575,E01000022
21,39.968,1.286,0.033,45.846,22.994,0.108,0.228,36.877,0.809,5.826613881785399,5.512446890211409,5.341119564262924,5.097190890342566,5.437971816700735,5.239047301043371,5.288479441290448,E01000023
22,29.869,0.244,0.263,45.704,29.298,0.1,0.155,29.339,0.836,5.802547172359798,5.312488124422405,5.467744397080463,5.31545631263567,5.431222166704095,5.028156903774842,5.047866516787073,E01000024
23,28.042,0.837,0.395,47.029,25.691,0.138,0.219,36.702,0.894,5.812105229141515,5.342630077939515,5.541166305541992,5.253184788817659,5.402752333824788,5.133240763200533,5.02999501272079,E01000025
24,20.329,1.042,0.148,44.976,38.122,0.146,0.216,37.347,0.597,5.745198092502583,5.246649126153538,5.656077483532366,5.147675078635341,5.074837883196968,5.167639312156834,5.460958726944462,E01000027
25,16.282,-0.111,1.138,48.625,27.699,0.155,0.26,40.078,0.551,5.7131444730256735,5.229420863954645,5.571613441015545,5.264261248237208,5.143800342710395,5.262218037404512,5.127186750110827,E01000028
26,21.974,0.35,-0.28,47.51,17.349,0.075,0.113,22.503,0.684,5.887971332910898,5.376710758338104,5.393191892391926,5.185977500838202,5.319424518379005,5.212102808179082,5.223829125069283,E01000029
27,20.993,0.499,0.016,44.592,38.753,0.162,0.264,38.415,0.624,5.853908700680514,5.312269334946204,5.625950721425748,5.149292109209463,5.183232588505526,5.210851164585954,5.291382665481042,E01000030
28,27.703,0.919,0.046,34.14,12.953,0.075,0.126,22.672,1.0,5.832394883379958,5.398907731205637,5.446116428770777,5.154567779483883,5.407927295579339,5.101864386813432,5.333950252576907,E01000031
29,38.369,0.913,0.095,39.922,23.035,0.106,0.146,29.958,0.763,5.897249061868798,5.4359381850461785,5.365886814105584,5.16041404342059,5.457112980925518,5.088054421525564,5.245291077572366,E01000032
30,21.763,0.162,0.278,55.686,32.037,0.136,0.257,37.978,0.661,5.889344130792925,5.260997527389116,5.4494291236323695,5.12498576025809,5.328873449756253,5.203691641489665,5.17202603560622,E01000033
31,18.01,0.302,0.661,45.083,33.858,0.147,0.216,35.895,0.553,5.970947931452495,5.423547348598155,5.389913074127057,4.987385556465242,5.40977394944284,5.324310630559921,5.423918669543615,E01000034
32,23.071,0.242,0.397,39.025,25.536,0.092,0.15,26.175,0.68,5.577163114914527,5.093075312712254,5.412302511777633,5.282634111551138,5.280333908398946,5.056615661963439,4.982136005010361,E01000035
33,27.612,0.386,-0.185,31.724,15.969,0.073,0.112,19.27,0.626,5.895692298731466,5.320996452504256,5.23707904684262,5.113454073432862,5.442659733802315,5.2633138350614415,5.370156406417606,E01000036
34,19.057,-0.067,-0.504,29.715,20.288,0.101,0.096,17.988,0.62,5.919374114129601,5.461070927904873,5.350119334895436,5.178271372143815,5.49392045416483,5.297788398294914,5.23180271503402,E01000037
35,27.001,0.204,-0.103,27.945,18.702,0.079,0.127,19.646,1.051,5.958483359706936,5.415311793782818,5.218310247606306,5.123203449284852,5.547133111242038,5.287325036169878,5.266510674312933,E01000038
36,17.527,0.092,0.173,42.779,19.753,0.074,0.127,22.288,0.547,5.837768371022025,5.256384274987287,5.426517734000849,5.054451247287351,5.307772072941758,5.335023604853209,5.48854868772418,E01000039
37,29.323,0.607,0.155,45.801,31.332,0.123,0.218,34.608,1.27,5.830892650225691,5.230072940578897,5.368330031860876,5.210675144923552,5.462603199572963,5.139437132209312,5.089031657189813,E01000040
38,33.127,0.432,0.349,48.606,33.867,0.105,0.172,33.173,0.897,5.999293410449947,5.44959649142869,5.3992072671925255,5.095281265197544,5.488767322050322,5.270343513663756,5.31554460962978,E01000041
39,24.75,0.263,0.526,57.015,31.45,0.164,0.263,41.573,1.039,5.927495234542423,5.313728305200736,5.49736264679167,5.056206157637967,5.371762444575627,5.244751225743029,5.299019753932953,E01000042
40,33.853,0.574,0.044,42.921,28.946,0.085,0.147,28.075,1.548,5.929484913620768,5.581164983254444,5.334931024267704,5.114847589142715,5.447253584861755,5.151753454268733,5.204538496234749,E01000043
41,44.13,1.077,-0.41,42.638,22.263,0.079,0.133,28.389,1.326,5.8294810737882345,5.423795471021108,5.258164214236396,5.160310063191822,5.469252860546112,5.296536680630275,5.268581126417432,E01000044
42,35.245,1.214,0.279,44.514,24.013,0.125,0.188,35.688,1.577,5.7887748724006745,5.350850675479475,5.398800965293823,5.174946840987148,5.354699484315742,5.108621738043176,5.111026562361354,E01000045
43,30.26,-0.026,0.222,45.338,28.185,0.111,0.17,29.763,0.81,6.018431743772903,5.5432108617064975,5.408913543908903,5.107483617149957,5.3624375515645095,5.315825515454359,5.290041216529242,E01000046
44,20.578,0.246,0.495,49.012,26.49,0.182,0.341,44.704,1.107,5.545079506933689,5.135029427707195,5.51217120885849,5.234578117728233,5.248937889933586,4.98442867398262,4.9970799423754215,E01000048
45,26.588,0.376,0.409,55.298,27.852,0.143,0.29,41.172,1.633,5.636890821986729,5.237543167891325,5.476298524273767,5.334830745502755,5.219682355721791,5.07124924659729,5.133756933388887,E01000049
46,36.588,0.74,0.61,48.003,22.642,0.114,0.176,34.701,1.44,5.7023153475352695,5.416559278964996,5.297499372490814,5.233535620783057,5.487944460340908,5.194662068571363,5.180310543094363,E01000050
47,27.521,0.859,0.391,45.996,28.197,0.13,0.234,36.941,1.283,5.689555995166302,5.199427518993616,5.326549146324396,5.333180174231529,5.305093884468079,5.1316515281796455,4.949368037283421,E01000051
48,38.532,0.335,-0.153,51.774,27.403,0.111,0.188,33.284,1.677,5.805744191010793,5.346990517112944,5.326917021804386,5.116889801952574,5.407460288206736,5.240347799327639,5.322661707136366,E01000052
49,26.503,1.217,0.701,49.479,27.703,0.126,0.229,40.044,1.114,5.744298152570371,5.293810251907066,5.486362733664336,5.23171090638196,5.30187011383198,5.183443006762752,5.171732201399626,E01000053
