,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec
6,7,6,E01000008,0.265,E01000008,5.1174891301901,-0.274992103291097,0
77,78,77,E01000081,0.162,E01000081,5.11119549511043,-0.422155835076531,0
86,87,86,E01000090,0.169,E01000090,5.21405995809115,-0.309717676203189,0
88,89,88,E01000092,0.215,E01000092,5.10110958215949,-0.359755193411888,0
91,92,91,E01000095,0.196,E01000095,4.98193806482426,-0.504912456741383,0
92,93,92,E01000096,0.259,E01000096,5.01837852949233,-0.382308729039695,0
159,160,159,E01000164,0.172,E01000164,5.21584509750137,-0.303829524267557,0
216,217,216,E01000221,0.28,E01000221,5.12619221241204,-0.245773958442109,0
234,235,234,E01000239,0.137,E01000239,5.26457035083037,-0.302972750401679,0
255,256,255,E01000260,0.11,E01000260,5.29973911001997,-0.304731103940774,0
300,301,300,E01000305,0.164,E01000305,5.13420874802571,-0.396407240477641,0
302,303,302,E01000307,0.147,E01000307,5.06955027772092,-0.484316115093092,0
308,309,308,E01000313,0.115,E01000313,5.33987481485714,-0.257757044894592,0
416,417,416,E01000422,0.277,E01000422,5.063301644542,-0.312767538837557,0
464,465,464,E01000470,0.241,E01000470,5.17607144011727,-0.249233893567216,0
466,467,466,E01000472,0.143,E01000472,5.27802226664843,-0.281314809532796,0
492,493,492,E01000499,0.188,E01000499,5.20306588318575,-0.294726005114325,0
587,588,587,E01000600,0.171,E01000600,5.14442664984256,-0.376615642768172,0
588,589,588,E01000601,0.358,E01000601,4.99571412950013,-0.269573715693343,0
589,590,589,E01000602,0.253,E01000602,5.18254405743367,-0.226349226149172,0
601,602,601,E01000615,0.102,E01000615,5.12206230184736,-0.493349278847818,0
606,607,606,E01000620,0.118,E01000620,5.26023136992608,-0.333297477300234,0
1033,1034,1033,E01001052,0.303,E01001052,5.00417630903183,-0.336333432460841,0
1110,1111,1110,E01001131,0.079,E01001131,4.91616555710429,-0.730702452952368,0
1226,1227,1226,E01001247,0.119,E01001247,5.16290558408005,-0.429255592304464,0
1243,1244,1243,E01001265,0.095,E01001265,5.38048519690831,-0.244500079679484,0
1250,1251,1250,E01001272,0.099,E01001272,5.36335890353481,-0.25615568968578,0
1254,1255,1254,E01001276,0.128,E01001276,5.31733912564975,-0.262513013158529,0
1255,1256,1255,E01001277,0.108,E01001277,5.37516329166217,-0.232042263982186,0
1325,1326,1325,E01001347,0.102,E01001347,5.37801403289332,-0.237397547801853,0
1326,1327,1326,E01001348,0.143,E01001348,5.29063103918905,-0.268706036992176,0
1374,1375,1374,E01001397,0.188,E01001397,5.27348621189594,-0.224305676404128,0
1404,1405,1404,E01001427,0.286,E01001427,4.88796961776636,-0.475790528036963,0
1414,1415,1414,E01001437,0.269,E01001437,5.11089903788992,-0.27611151222407,0
1420,1421,1420,E01001444,0.137,E01001444,5.2533725434487,-0.314170557783349,0
1457,1458,1457,E01001481,0.185,E01001481,5.17262777369073,-0.32926712713475,0
1485,1486,1485,E01001510,0.307,E01001510,4.89590160285725,-0.439137455268198,0
1534,1535,1534,E01001559,0.236,E01001559,4.9346661810605,-0.497477506832998,0
1630,1631,1630,E01001666,0.14,E01001666,5.25113629423655,-0.312303794470091,0
1631,1632,1631,E01001667,0.25,E01001667,5.150913029947,-0.26208326616125,0
1797,1798,1797,E01001846,0.267,E01001846,5.10627413307479,-0.283471758722798,0
1800,1801,1800,E01001849,0.208,E01001849,5.18416595882213,-0.286272512641875,0
1828,1829,1828,E01001877,0.202,E01001877,5.12505470072782,-0.353589795787006,0
2197,2198,2197,E01002250,0.121,E01002250,5.28893523902263,-0.300490595678274,0
2212,2213,2212,E01002265,0.086,E01002265,5.35710761845112,-0.280186695712912,0
2255,2256,2255,E01002308,0.164,E01002308,5.18405305601487,-0.34656293248849,0
2262,2263,2262,E01002315,0.133,E01002315,5.32085692125653,-0.252156863342731,0
2263,2264,2263,E01002316,0.3,E01002316,5.07371713055505,-0.270895623463029,0
2291,2292,2291,E01002344,0.125,E01002344,4.97208104438961,-0.611874106944082,0
2352,2353,2352,E01002406,0.151,E01002406,5.19654796241354,-0.35184774703326,0
2389,2390,2389,E01002443,0.074,E01002443,5.2349136603506,-0.418792703915074,0
2390,2391,2390,E01002444,0.096,E01002444,5.09940283293546,-0.524214772810536,0
2395,2396,2395,E01002449,0.139,E01002449,5.34051362715269,-0.22429413239575,0
2400,2401,2400,E01002454,0.133,E01002454,5.30753257512227,-0.265481209476995,0
2434,2435,2434,E01002488,0.107,E01002488,5.36731130825846,-0.241261918227699,0
2435,2436,2435,E01002489,0.106,E01002489,5.38110102425102,-0.228839873076936,0
2436,2437,2436,E01002490,0.127,E01002490,5.31207191898096,-0.26914789066913,0
2450,2451,2450,E01002505,0.213,E01002505,5.23956070759235,-0.224039409662634,0
2452,2453,2452,E01002507,0.149,E01002507,5.19479519493726,-0.35633585619315,0
2506,2507,2506,E01002565,0.084,E01002565,5.27996771462659,-0.36006194122105,0
2525,2526,2525,E01002584,0.088,E01002584,5.35024838083109,-0.284310591649331,0
2526,2527,2526,E01002585,0.162,E01002585,5.29510459928455,-0.238246730902408,0
2545,2546,2545,E01002605,0.193,E01002605,5.09473598868313,-0.396217545407924,0
2577,2578,2577,E01002637,0.195,E01002637,5.13329080773451,-0.354927384672939,0
2617,2618,2617,E01002678,0.058,E01002678,5.31836387708154,-0.357225220652994,0
2644,2645,2644,E01002708,0.183,E01002708,5.16101488516881,-0.34361535734028,0
3172,3173,3172,E01003245,0.267,E01003245,5.11512096474568,-0.274624927051912,0
3222,3223,3222,E01003297,0.122,E01003297,5.24389620227103,-0.344161961588075,0
3315,3316,3315,E01003391,0.276,E01003391,4.93751306967302,-0.439923784548343,0
3354,3355,3354,E01003430,0.228,E01003430,5.00950620303283,-0.433578851595101,0
3371,3372,3371,E01003447,0.158,E01003447,5.20901167039144,-0.329810343162738,0
3393,3394,3393,E01003469,0.122,E01003469,5.29957118784559,-0.288486976013512,0
3406,3407,3406,E01003482,0.109,E01003482,5.10510935019286,-0.500728534609688,0
3421,3422,3421,E01003497,0.198,E01003497,5.0413493933885,-0.442765786493537,0
3436,3437,3436,E01003515,0.284,E01003515,5.10157900411378,-0.264916483373154,0
3440,3441,3440,E01003519,0.163,E01003519,5.07765146370592,-0.454332195639242,0
3470,3471,3470,E01003549,0.145,E01003549,5.16612088448793,-0.390480850009692,0
3533,3534,3533,E01003616,0.165,E01003616,5.16720997121997,-0.362038346441579,0
3534,3535,3534,E01003617,0.14,E01003617,5.29048955801762,-0.272950530689025,0
3541,3542,3541,E01003625,0.14,E01003625,5.28929346678208,-0.274146621924557,0
3549,3550,3549,E01003633,0.249,E01003633,5.17030645705558,-0.244057509894474,0
3550,3551,3550,E01003634,0.184,E01003634,5.28210461756279,-0.221157954104498,0
3556,3557,3556,E01003640,0.091,E01003640,5.08403933301058,-0.546416626944438,0
3575,3576,3575,E01003659,0.068,E01003659,5.42509159971686,-0.236820789599635,0
3588,3589,3588,E01003673,0.041,E01003673,5.36532541277797,-0.333514089267222,0
3636,3637,3636,E01003724,0.11,E01003724,5.3070551962688,-0.297415017691941,0
3640,3641,3640,E01003728,0.156,E01003728,5.23845850018894,-0.303098855048844,0
3675,3676,3675,E01003763,0.062,E01003763,5.31488394543931,-0.355234468928003,0
3676,3677,3676,E01003764,0.076,E01003764,5.27137709512799,-0.379593927454074,0
3677,3678,3677,E01003765,0.057,E01003765,5.24523185861522,-0.431724909961115,0
3829,3830,3829,E01003918,0.239,E01003918,5.13143249812879,-0.2966081772393,0
3867,3868,3867,E01003960,0.145,E01003960,5.28882392777337,-0.267777806724253,0
3872,3873,3872,E01003967,0.176,E01003967,5.19229307680419,-0.321910861597523,0
3885,3886,3885,E01003980,0.205,E01003980,5.24913845039331,-0.225403033596102,0
3891,3892,3891,E01003988,0.189,E01003988,5.12268544366394,-0.373738773794325,0
4119,4120,4119,E01004224,0.203,E01004224,5.1578588575533,-0.319417968119719,0
4132,4133,4132,E01004238,0.228,E01004238,5.18893137226502,-0.254153682362909,0
4232,4233,4232,E01004344,0.157,E01004344,5.30964185785285,-0.23054782654313,0
4317,4318,4317,E01004429,0.141,E01004429,5.29903241543643,-0.263040002428404,0
4318,4319,4318,E01004430,0.112,E01004430,5.24931824169341,-0.352416630583727,0
4676,4677,4676,E01032764,0.122,E01032764,5.19842959893867,-0.38962856492043,0
