,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
0,1,0,E01000001,0.007,E01000001,5.72956803753262,-0.0157722731338189,4,1.503,-0.234722881574435,0.024,-0.0157722731338189,0.241100505369745
1,2,1,E01000002,0.034,E01000002,5.58873750346048,-0.119675694477339,2,1.196,-0.227796406216035,0.063,-0.119675694477339,0.360546480108276
2,3,2,E01000003,0.086,E01000003,5.41164591993604,-0.225648394227987,0,2.207,0.159460529616485,5.804,-0.225648394227987,0.205993496243126
3,4,3,E01000005,0.211,E01000005,5.60111335057479,0.134777891636197,7,1.769,-0.174192830146516,22.26,0.134777891636197,0.0112034484535465
5,6,5,E01000007,0.207,E01000007,5.26340673148977,-0.208399410816039,1,1.324,0.191126789042485,11.385,-0.208399410816039,0.406754119270806
6,7,6,E01000008,0.265,E01000008,5.1174891301901,-0.274992103291097,0,1.84,0.379707108163847,25.506,-0.274992103291097,0.193256578665311
7,8,7,E01000009,0.187,E01000009,5.42508352584526,-0.0740760332966131,3,1.37,0.143240958419168,15.713,-0.0740760332966131,0.198753130674963
8,9,8,E01000010,0.169,E01000010,5.29305931605583,-0.230718318238505,0,1.271,0.0217789023173624,11.762,-0.230718318238505,0.210641486016361
9,10,9,E01000011,0.167,E01000011,5.56436821937561,0.0378552433976651,5,1.195,-0.13922911534013,22.519,0.0378552433976651,-0.131874736250788
10,11,10,E01000012,0.239,E01000012,5.3426065837944,-0.0854340915736962,3,1.331,0.174757570170507,19.774,-0.0854340915736962,0.199035956797213
11,12,11,E01000013,0.213,E01000013,5.22818895670084,-0.235411160554144,0,0.931,0.156072932103481,24.003,-0.235411160554144,0.173573064747493
12,13,12,E01000014,0.201,E01000014,5.26620960846925,-0.213802558887372,1,1.004,0.233047000321376,31.501,-0.213802558887372,0.0539207946222296
14,15,14,E01000016,0.199,E01000016,5.2036551520938,-0.279092356946436,0,0.799,0.183489252461188,28.996,-0.279092356946436,0.134565331210174
15,16,15,E01000017,0.25,E01000017,5.30949222253374,-0.103504073574514,2,0.773,0.0628264136878568,22.899,-0.103504073574514,0.0959084375513808
16,17,16,E01000018,0.212,E01000018,5.38217369565424,-0.0827940924425475,3,0.797,0.146691470818054,26.358,-0.0827940924425475,-0.016192266702998
17,18,17,E01000019,0.194,E01000019,5.28598150726437,-0.203604355984884,1,0.973,0.200082126716753,26.111,-0.203604355984884,0.107075303432908
18,19,18,E01000020,0.216,E01000020,5.32198657239637,-0.137510532333201,2,0.899,0.168666601367591,24.184,-0.137510532333201,0.0673699630921822
19,20,19,E01000021,0.23,E01000021,5.28443250187442,-0.155917211069905,1,1.042,0.136709424893264,31.637,-0.155917211069905,0.076815034888705
20,21,20,E01000022,0.195,E01000022,5.21872289943695,-0.269495292970496,0,0.84,0.232525658055768,27.111,-0.269495292970496,0.178947715313369
22,23,22,E01000024,0.155,E01000024,5.3124881244224,-0.230436901657182,0,0.836,0.207170979918443,29.298,-0.230436901657182,0.196657743113674
23,24,23,E01000025,0.219,E01000025,5.34263007793952,-0.112764014264647,2,0.894,0.292505284320495,25.691,-0.112764014264647,0.168529273017073
26,27,26,E01000029,0.113,E01000029,5.3767107583381,-0.223656443097232,0,0.684,0.10139978242026,17.349,-0.223656443097232,0.180285487711306
27,28,27,E01000030,0.264,E01000030,5.3122693349462,-0.0815795693767993,3,0.624,0.321835443239747,38.753,-0.0815795693767993,-0.0590053715783858
28,29,28,E01000031,0.126,E01000031,5.39890773120564,-0.183679749286253,1,1.0,0.219226338061271,12.953,-0.183679749286253,0.190487317274458
30,31,30,E01000033,0.257,E01000033,5.26099752738912,-0.142425072826512,2,0.661,0.152913132511874,32.037,-0.142425072826512,-0.0197395694920574
34,35,34,E01000037,0.096,E01000037,5.46107092790487,-0.162546677841122,1,0.62,0.0451825121618127,20.288,-0.162546677841122,0.144759443605989
37,38,37,E01000040,0.218,E01000040,5.2300729405789,-0.226688822467068,0,1.27,0.196894198115874,31.332,-0.226688822467068,0.0726231871926992
38,39,38,E01000041,0.172,E01000041,5.44959649142869,-0.0700781303402371,3,0.897,0.151162404381745,33.867,-0.0700781303402371,-0.0667664344750265
40,41,40,E01000043,0.147,E01000043,5.58116498325444,0.0272985904404288,5,1.548,0.22059253658245,28.946,0.0272985904404288,-0.0006190272575908
41,42,41,E01000044,0.133,E01000044,5.42379547102111,-0.149218313578157,1,1.326,0.0982300041581051,22.263,-0.149218313578157,0.108103227224059
42,43,42,E01000045,0.188,E01000045,5.35085067547948,-0.146941212820596,1,1.577,0.290418675578831,24.013,-0.146941212820596,0.106174897170073
45,46,45,E01000049,0.29,E01000049,5.23754316789133,-0.120746294544786,2,1.633,0.379417858225486,27.852,-0.120746294544786,0.229719687952247
46,47,46,E01000050,0.176,E01000050,5.416559278965,-0.097644659436717,2,1.44,0.160979182019759,22.642,-0.097644659436717,0.177741255743928
48,49,48,E01000052,0.188,E01000052,5.34699051711294,-0.150801371187128,1,1.677,0.239073345779951,27.403,-0.150801371187128,0.0160288777874041
49,50,49,E01000053,0.229,E01000053,5.29381025190707,-0.14790713187906,1,1.114,0.282886662562065,27.703,-0.14790713187906,0.128010249442622
50,51,50,E01000054,0.18,E01000054,5.32418037734869,-0.184552877685811,1,0.899,0.223347696642293,26.697,-0.184552877685811,0.192436823966889
51,52,51,E01000055,0.211,E01000055,5.43379590607653,-0.0325395528620624,4,1.069,0.24952838977496,27.143,-0.0325395528620624,0.0682328816329291
52,53,52,E01000056,0.197,E01000056,5.2662990871937,-0.219183763530135,1,0.912,0.258766249404192,25.304,-0.219183763530135,0.177780076145674
53,54,53,E01000057,0.196,E01000057,5.38420853074991,-0.102641990815728,2,1.281,0.168543247836742,31.462,-0.102641990815728,-0.0140753993283041
54,55,54,E01000058,0.199,E01000058,5.37516670834784,-0.107580800692388,2,0.919,0.0929400252511674,25.845,-0.107580800692388,0.0405323290913827
55,56,55,E01000059,0.176,E01000059,5.24480100285332,-0.269402935548392,0,0.741,0.118310624848275,28.14,-0.269402935548392,0.0257110013659858
56,57,56,E01000060,0.202,E01000060,5.26416969398245,-0.214474802532369,1,1.316,0.3215259174472,25.54,-0.214474802532369,0.0597780102025966
57,58,57,E01000061,0.303,E01000061,5.21250085918992,-0.128008882302749,2,0.651,0.232024425775378,39.776,-0.128008882302749,0.006849126602861
59,60,59,E01000063,0.181,E01000063,5.33179365595182,-0.175571928240878,1,1.056,0.186880119513322,37.624,-0.175571928240878,-0.0090050728297702
60,61,60,E01000064,0.208,E01000064,5.29756037442081,-0.172878097043191,1,0.845,0.0923363490753682,24.438,-0.172878097043191,0.0436151924002808
61,62,61,E01000065,0.228,E01000065,5.3993290063426,-0.0437560482853318,3,1.061,0.100460618450832,26.185,-0.0437560482853318,-0.0005926170327413
62,63,62,E01000066,0.147,E01000066,5.55613150081392,0.0022651079999051,5,0.682,-0.0576180809676066,18.294,0.0022651079999051,0.035202270188497
63,64,63,E01000067,0.132,E01000067,5.57808582250737,0.003704367066301,5,1.136,-0.0087595536183774,15.99,0.003704367066301,0.0173197853371832
65,66,65,E01000069,0.087,E01000069,5.71569780024087,0.0797711569186381,6,0.974,-0.181034735566978,16.481,0.0797711569186381,0.103092493480287
66,67,66,E01000070,0.11,E01000070,5.60626577760311,0.0017955636423626,5,1.271,-0.0305854724429935,14.434,0.0017955636423626,0.0697694630793586
67,68,67,E01000071,0.13,E01000071,5.57954450334821,0.0024277062235385,5,0.886,-0.0521743664682133,14.114,0.0024277062235385,0.0492678674832847
70,71,70,E01000074,0.234,E01000074,5.25044185128705,-0.184437178290056,1,0.837,0.207363367729992,32.398,-0.184437178290056,0.187080405533066
71,72,71,E01000075,0.196,E01000075,5.50332194624595,0.0164714246803096,5,1.375,0.216308706406027,36.347,0.0164714246803096,-0.125807703401256
72,73,72,E01000076,0.208,E01000076,5.30354096929906,-0.166897502164943,1,0.892,0.250389676518649,36.193,-0.166897502164943,0.0692567006919981
73,74,73,E01000077,0.251,E01000077,5.25676547705643,-0.154863148210023,1,1.091,0.257772386983601,33.494,-0.154863148210023,0.0508007198860766
74,75,74,E01000078,0.228,E01000078,5.25117375901048,-0.191911295617454,1,1.073,0.166619756215311,33.668,-0.191911295617454,0.0055222226772249
75,76,75,E01000079,0.227,E01000079,5.27911404768626,-0.165338677783474,1,0.94,0.0958016867060306,24.526,-0.165338677783474,0.0302382423495993
77,78,77,E01000081,0.162,E01000081,5.11119549511043,-0.422155835076531,0,1.009,0.249972831778542,30.952,-0.422155835076531,0.206660437197799
78,79,78,E01000082,0.158,E01000082,5.31107619242235,-0.22774582113183,0,1.037,0.182806133275472,31.053,-0.22774582113183,-0.064173303447699
80,81,80,E01000084,0.229,E01000084,5.29349778078299,-0.14821960300314,1,1.086,0.0271296107104368,36.839,-0.14821960300314,-0.127987965525587
81,82,81,E01000085,0.189,E01000085,5.37399002130215,-0.122434196156118,2,1.156,0.164631707831692,36.259,-0.122434196156118,-0.123329822173646
82,83,82,E01000086,0.218,E01000086,5.22225650924223,-0.23450525380373,0,0.78,0.108562766046002,28.503,-0.23450525380373,0.0015735085548316
83,84,83,E01000087,0.226,E01000087,5.25674704994474,-0.189073346366796,1,0.968,0.358077352302512,27.171,-0.189073346366796,0.228716660793636
84,85,84,E01000088,0.147,E01000088,5.29677512526512,-0.257091267548894,0,1.268,0.177658445355622,20.313,-0.257091267548894,0.240513581166653
85,86,85,E01000089,0.156,E01000089,5.41626257392076,-0.125294781317021,2,1.104,0.0002812620310627,25.246,-0.125294781317021,0.237723241973144
87,88,87,E01000091,0.256,E01000091,5.26752347295935,-0.137266798098086,2,1.17,0.302480699187265,32.562,-0.137266798098086,-0.0288269153401351
