,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
6,7,6,E01000008,0.265,E01000008,5.1174891301901,-0.274992103291097,0,1.84,0.379707108163847,25.506,-0.274992103291097,0.193256578665311
77,78,77,E01000081,0.162,E01000081,5.11119549511043,-0.422155835076531,0,1.009,0.249972831778542,30.952,-0.422155835076531,0.206660437197799
88,89,88,E01000092,0.215,E01000092,5.10110958215949,-0.359755193411888,0,0.862,0.33339515959552,18.788,-0.359755193411888,0.337897573917661
92,93,92,E01000096,0.259,E01000096,5.01837852949233,-0.382308729039695,0,1.553,0.557107684968315,34.307,-0.382308729039695,0.205507772448713
159,160,159,E01000164,0.172,E01000164,5.21584509750137,-0.303829524267557,0,1.612,0.437682582509092,11.909,-0.303829524267557,0.229218064479691
216,217,216,E01000221,0.28,E01000221,5.12619221241204,-0.245773958442109,0,1.976,0.631006613281387,23.471,-0.245773958442109,0.335620295030116
234,235,234,E01000239,0.137,E01000239,5.26457035083037,-0.302972750401679,0,1.385,0.448428894089067,6.545,-0.302972750401679,0.380906752249536
255,256,255,E01000260,0.11,E01000260,5.29973911001997,-0.304731103940774,0,1.347,0.477281009319375,10.626,-0.304731103940774,0.294800933008696
300,301,300,E01000305,0.164,E01000305,5.13420874802571,-0.396407240477641,0,1.325,0.378129499835426,15.048,-0.396407240477641,0.327579111492206
302,303,302,E01000307,0.147,E01000307,5.06955027772092,-0.484316115093092,0,1.524,0.625549725302643,18.495,-0.484316115093092,0.407224495964207
308,309,308,E01000313,0.115,E01000313,5.33987481485714,-0.257757044894592,0,1.566,0.239428325654118,11.933,-0.257757044894592,0.218834018894157
416,417,416,E01000422,0.277,E01000422,5.063301644542,-0.312767538837557,0,0.453,0.317888696716355,21.499,-0.312767538837557,0.409147870380494
464,465,464,E01000470,0.241,E01000470,5.17607144011727,-0.249233893567216,0,0.358,0.350292088332861,26.159,-0.249233893567216,0.206007020397259
466,467,466,E01000472,0.143,E01000472,5.27802226664843,-0.281314809532796,0,1.282,0.247921521595001,12.33,-0.281314809532796,0.291885087127646
492,493,492,E01000499,0.188,E01000499,5.20306588318575,-0.294726005114325,0,1.22,0.39931566707996,24.338,-0.294726005114325,0.374451356290819
588,589,588,E01000601,0.358,E01000601,4.99571412950013,-0.269573715693343,0,1.177,0.475811545610351,36.348,-0.269573715693343,0.254320595334437
589,590,589,E01000602,0.253,E01000602,5.18254405743367,-0.226349226149172,0,1.323,0.292085882015495,24.138,-0.226349226149172,0.242011454243724
1033,1034,1033,E01001052,0.303,E01001052,5.00417630903183,-0.336333432460841,0,0.116,0.363336484571774,40.359,-0.336333432460841,0.347211334394587
1110,1111,1110,E01001131,0.079,E01001131,4.91616555710429,-0.730702452952368,0,0.454,0.349814391012523,13.248,-0.730702452952368,0.340063436031876
1254,1255,1254,E01001276,0.128,E01001276,5.31733912564975,-0.262513013158529,0,1.336,0.259372020031986,12.366,-0.262513013158529,0.236717115167758
1255,1256,1255,E01001277,0.108,E01001277,5.37516329166217,-0.232042263982186,0,2.032,0.35919884844864,8.0,-0.232042263982186,0.234318722423331
1374,1375,1374,E01001397,0.188,E01001397,5.27348621189594,-0.224305676404128,0,1.46,0.314379137825302,12.449,-0.224305676404128,0.193492482388531
1414,1415,1414,E01001437,0.269,E01001437,5.11089903788992,-0.27611151222407,0,0.532,0.32073149535435,29.556,-0.27611151222407,0.357277688244901
1420,1421,1420,E01001444,0.137,E01001444,5.2533725434487,-0.314170557783349,0,0.939,0.372475301910622,22.704,-0.314170557783349,0.258734052273116
1457,1458,1457,E01001481,0.185,E01001481,5.17262777369073,-0.32926712713475,0,1.024,0.238672347941844,22.741,-0.32926712713475,0.30082397278843
1485,1486,1485,E01001510,0.307,E01001510,4.89590160285725,-0.439137455268198,0,1.004,0.450996823500232,40.407,-0.439137455268198,0.265414638901775
1797,1798,1797,E01001846,0.267,E01001846,5.10627413307479,-0.283471758722798,0,1.907,0.642499375925391,19.728,-0.283471758722798,0.275812636059975
1800,1801,1800,E01001849,0.208,E01001849,5.18416595882213,-0.286272512641875,0,1.905,0.397345742711874,14.231,-0.286272512641875,0.268025629947239
2197,2198,2197,E01002250,0.121,E01002250,5.28893523902263,-0.300490595678274,0,0.709,0.288248766676116,22.07,-0.300490595678274,0.255489318145569
2262,2263,2262,E01002315,0.133,E01002315,5.32085692125653,-0.252156863342731,0,0.219,0.253722834912268,32.578,-0.252156863342731,0.276968760068062
2263,2264,2263,E01002316,0.3,E01002316,5.07371713055505,-0.270895623463029,0,0.072,0.29526503984823,45.787,-0.270895623463029,0.222961192386133
2395,2396,2395,E01002449,0.139,E01002449,5.34051362715269,-0.22429413239575,0,0.955,0.411076849308114,15.13,-0.22429413239575,0.270201484110931
2434,2435,2434,E01002488,0.107,E01002488,5.36731130825846,-0.241261918227699,0,1.076,0.40124613048852,18.231,-0.241261918227699,0.28473659104404
2435,2436,2435,E01002489,0.106,E01002489,5.38110102425102,-0.228839873076936,0,0.967,0.24797698653714,12.28,-0.228839873076936,0.318925802064503
2436,2437,2436,E01002490,0.127,E01002490,5.31207191898096,-0.26914789066913,0,1.456,0.329663740882628,23.595,-0.26914789066913,0.216079526163307
2450,2451,2450,E01002505,0.213,E01002505,5.23956070759235,-0.224039409662634,0,1.24,0.430564706871795,21.064,-0.224039409662634,0.199419292567559
2452,2453,2452,E01002507,0.149,E01002507,5.19479519493726,-0.35633585619315,0,1.179,0.427166255416529,13.843,-0.35633585619315,0.393828104786259
2526,2527,2526,E01002585,0.162,E01002585,5.29510459928455,-0.238246730902408,0,1.595,0.541829112895507,21.127,-0.238246730902408,0.195905378805279
2545,2546,2545,E01002605,0.193,E01002605,5.09473598868313,-0.396217545407924,0,1.374,0.450270788205033,26.324,-0.396217545407924,0.337746286894426
2644,2645,2644,E01002708,0.183,E01002708,5.16101488516881,-0.34361535734028,0,1.771,0.296997430152863,19.614,-0.34361535734028,0.226128208547698
3172,3173,3172,E01003245,0.267,E01003245,5.11512096474568,-0.274624927051912,0,1.462,0.241524967128987,19.586,-0.274624927051912,0.276031523916664
3222,3223,3222,E01003297,0.122,E01003297,5.24389620227103,-0.344161961588075,0,1.404,0.353289582975985,12.425,-0.344161961588075,0.202949615585532
3315,3316,3315,E01003391,0.276,E01003391,4.93751306967302,-0.439923784548343,0,1.133,0.385581340745572,24.578,-0.439923784548343,0.209872134520966
3371,3372,3371,E01003447,0.158,E01003447,5.20901167039144,-0.329810343162738,0,1.308,0.453162361847678,10.714,-0.329810343162738,0.301620893568387
3436,3437,3436,E01003515,0.284,E01003515,5.10157900411378,-0.264916483373154,0,1.326,0.411121239701388,25.337,-0.264916483373154,0.280959515842685
3440,3441,3440,E01003519,0.163,E01003519,5.07765146370592,-0.454332195639242,0,1.182,0.275358394664991,24.268,-0.454332195639242,0.354412228488872
3533,3534,3533,E01003616,0.165,E01003616,5.16720997121997,-0.362038346441579,0,1.734,0.26715897877594,16.725,-0.362038346441579,0.278733184110344
3534,3535,3534,E01003617,0.14,E01003617,5.29048955801762,-0.272950530689025,0,1.777,0.291192752364774,10.899,-0.272950530689025,0.386490023819179
3541,3542,3541,E01003625,0.14,E01003625,5.28929346678208,-0.274146621924557,0,1.756,0.313053647433494,17.968,-0.274146621924557,0.238649920380645
3588,3589,3588,E01003673,0.041,E01003673,5.36532541277797,-0.333514089267222,0,1.561,0.360943106334028,2.812,-0.333514089267222,0.29260652474187
3636,3637,3636,E01003724,0.11,E01003724,5.3070551962688,-0.297415017691941,0,0.518,0.24866411413063,18.437,-0.297415017691941,0.217269152960593
3640,3641,3640,E01003728,0.156,E01003728,5.23845850018894,-0.303098855048844,0,1.93,0.366584794851307,9.681,-0.303098855048844,0.491825705781772
3675,3676,3675,E01003763,0.062,E01003763,5.31488394543931,-0.355234468928003,0,1.293,0.306793027916393,7.767,-0.355234468928003,0.213971591017797
3676,3677,3676,E01003764,0.076,E01003764,5.27137709512799,-0.379593927454074,0,1.324,0.321359996029785,6.394,-0.379593927454074,0.242725700051761
3677,3678,3677,E01003765,0.057,E01003765,5.24523185861522,-0.431724909961115,0,1.67,0.388739089679751,6.491,-0.431724909961115,0.330140373847521
3829,3830,3829,E01003918,0.239,E01003918,5.13143249812879,-0.2966081772393,0,1.862,0.323524498439641,14.908,-0.2966081772393,0.23526148136363
3872,3873,3872,E01003967,0.176,E01003967,5.19229307680419,-0.321910861597523,0,1.996,0.261034209856468,18.574,-0.321910861597523,0.232154295159325
3885,3886,3885,E01003980,0.205,E01003980,5.24913845039331,-0.225403033596102,0,1.943,0.263922315926933,14.805,-0.225403033596102,0.229252373489345
3891,3892,3891,E01003988,0.189,E01003988,5.12268544366394,-0.373738773794325,0,1.933,0.412163077556051,21.86,-0.373738773794325,0.265413137428599
4119,4120,4119,E01004224,0.203,E01004224,5.1578588575533,-0.319417968119719,0,1.551,0.246119944604188,19.274,-0.319417968119719,0.282019939672229
4132,4133,4132,E01004238,0.228,E01004238,5.18893137226502,-0.254153682362909,0,1.29,0.249504178589508,14.362,-0.254153682362909,0.447565374525446
4232,4233,4232,E01004344,0.157,E01004344,5.30964185785285,-0.23054782654313,0,1.648,0.268475232495229,21.7,-0.23054782654313,0.193656953227117
4317,4318,4317,E01004429,0.141,E01004429,5.29903241543643,-0.263040002428404,0,1.341,0.302982045368344,16.05,-0.263040002428404,0.261417481467822
4318,4319,4318,E01004430,0.112,E01004430,5.24931824169341,-0.352416630583727,0,1.621,0.349805004814632,9.727,-0.352416630583727,0.322741057995758
4676,4677,4676,E01032764,0.122,E01032764,5.19842959893867,-0.38962856492043,0,1.821,0.38767864392778,6.505,-0.38962856492043,0.482045453200636
4681,4682,4681,E01032769,0.108,E01032769,5.22080741326014,-0.386398142384211,0,2.228,0.230028851646189,5.062,-0.386398142384211,0.424559390055114
4690,4691,4690,E01032779,0.085,E01032779,5.30409784317017,-0.334564141835668,0,1.761,0.2411184877166,11.677,-0.334564141835668,0.577390272412976
4755,4756,4755,E01033574,0.018,E01033574,5.29670050740242,-0.43359542400425,0,1.049,0.465799779381648,5.701,-0.43359542400425,0.572458246956151
4756,4757,4756,E01033575,0.022,E01033575,5.21616987979158,-0.508655368247872,0,0.931,0.236931886046906,4.604,-0.508655368247872,0.526180595487038
4757,4758,4757,E01033576,0.1,E01033576,5.2798939368863,-0.338252985492477,0,1.753,0.457159273352833,5.945,-0.338252985492477,0.554697260331702
4758,4759,4758,E01033577,0.116,E01033577,5.22844574713784,-0.367818441772084,0,1.15,0.235519996520674,12.624,-0.367818441772084,0.336796225642553
4759,4760,4759,E01033578,0.093,E01033578,5.1922837542009,-0.435436864070507,0,1.786,0.569322653632165,13.632,-0.435436864070507,0.597985054456977
4764,4765,4764,E01033583,0.127,E01033583,5.26857641852675,-0.312643391123332,0,1.421,0.339438038734134,11.259,-0.312643391123332,0.507248145178574
4768,4769,4768,E01033587,0.2,E01033587,5.11418444717803,-0.367195391020402,0,1.538,0.406624099373681,20.416,-0.367195391020402,0.342561689864569
4815,4816,4815,E01033733,0.083,E01033733,5.0887493932402,-0.552647933449243,0,0.934,0.224641211032668,8.005,-0.552647933449243,0.403799073751521
4820,4821,4820,E01033738,0.113,E01033738,5.23878514372613,-0.361582057709207,0,1.81,0.415202477188674,13.311,-0.361582057709207,0.241873199769959
4827,4828,4827,E01033745,0.154,E01033745,5.27658748289722,-0.267705214024175,0,0.919,0.41376068604399,9.758,-0.267705214024175,0.233835646098238
