,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec
63,64,63,E01000067,0.132,E01000067,5.57808582250737,0.003704367066301,5
66,67,66,E01000070,0.11,E01000070,5.60626577760311,0.0017955636423626,5
127,128,127,E01000131,0.116,E01000131,5.609744420758,0.0134802318480752,5
135,136,135,E01000139,0.082,E01000139,5.73451915818654,0.0917541606552927,6
181,182,181,E01000186,0.044,E01000186,5.68136995815369,-0.0133665313660888,4
194,195,194,E01000199,0.056,E01000199,5.65725828731916,-0.0210661520989744,4
251,252,251,E01000256,0.079,E01000256,5.66627391343264,0.0194059033759875,5
266,267,266,E01000271,0.041,E01000271,5.74595467900408,0.047115176958888,6
384,385,384,E01000389,0.082,E01000389,5.63012141871345,-0.0126435788177906,4
393,394,393,E01000399,0.047,E01000399,5.64828270030134,-0.042350776693032,4
414,415,414,E01000420,0.073,E01000420,5.63957663143382,-0.015497403673653,4
430,431,430,E01000436,0.037,E01000436,5.7396605203318,0.0353503349194008,5
434,435,434,E01000440,0.037,E01000440,5.66276612702538,-0.0415440583870233,4
474,475,474,E01000480,0.072,E01000480,5.62236042900564,-0.0340812769436369,4
495,496,495,E01000503,0.166,E01000503,5.50782378492409,-0.0200568618956627,4
514,515,514,E01000522,0.216,E01000522,5.4218346965313,-0.037662408198277,4
526,527,526,E01000535,0.152,E01000535,5.63491641215875,0.0878883735537532,6
529,530,529,E01000539,0.058,E01000539,5.71516835950587,0.0395792617713396,5
581,582,581,E01000592,0.124,E01000592,5.54444169998169,-0.0408811221938072,4
666,667,666,E01000681,0.014,E01000681,5.79198697143131,0.056220356657424,6
781,782,781,E01000797,0.055,E01000797,5.65582815386214,-0.0238639563977968,4
785,786,785,E01000801,0.115,E01000801,5.66627814553001,0.0686462857782785,6
802,803,802,E01000819,0.194,E01000819,5.51846932022421,0.0288834569749622,5
822,823,822,E01000840,0.054,E01000840,5.68846595623124,0.0074061751294947,5
849,850,849,E01000867,0.22,E01000867,5.43161449692037,-0.0224119244419896,4
858,859,858,E01000876,0.224,E01000876,5.48691452756713,0.0383587895719833,5
912,913,912,E01000930,0.249,E01000930,5.48430041636317,0.0699364494131166,6
1093,1094,1093,E01001114,0.25,E01001114,5.3753260088361,-0.0376702872721524,4
1113,1114,1113,E01001134,0.07,E01001134,5.63586654611256,-0.0233105015203291,4
1146,1147,1146,E01001167,0.131,E01001167,5.57710020279007,0.0013510765072005,5
1187,1188,1187,E01001208,0.065,E01001208,5.74066994169302,0.0746545398511172,6
1201,1202,1201,E01001222,0.125,E01001222,5.58693792484701,0.0029827735133137,5
1211,1212,1211,E01001232,0.125,E01001232,5.6479143795566,0.0639592282229092,6
1237,1238,1237,E01001259,0.126,E01001259,5.59338289744233,0.0107954169504452,5
1290,1291,1290,E01001312,0.105,E01001312,5.58868008987032,-0.0226284782994461,4
1396,1397,1396,E01001419,0.099,E01001419,5.61851213166588,-0.0010024615547021,5
1423,1424,1423,E01001447,0.302,E01001447,5.39276490278884,0.0508874904543741,6
1498,1499,1498,E01001523,0.065,E01001523,5.70419227493846,0.038176873096554,5
1581,1582,1581,E01001607,0.12,E01001607,5.6829314877867,0.0921379822439927,6
1585,1586,1585,E01001611,0.12,E01001611,5.62257153715863,0.0317780316159222,5
1600,1601,1600,E01001633,0.245,E01001633,5.38115021444502,-0.0386844358722467,4
1670,1671,1670,E01001710,0.259,E01001710,5.37943075747972,-0.0212565010522999,4
1713,1714,1713,E01001755,0.247,E01001755,5.47381928270938,0.0567199740757206,6
1720,1721,1720,E01001762,0.138,E01001762,5.55024623760471,-0.0159291927855411,4
1735,1736,1735,E01001780,0.225,E01001780,5.44329622324477,-0.003891843908572,4
1788,1789,1788,E01001837,0.086,E01001837,5.61457615559644,-0.0227181585675904,4
1791,1792,1791,E01001840,0.262,E01001840,5.4479729062035,0.051388660196887,6
1884,1885,1884,E01001933,0.123,E01001933,5.60916326533664,0.0224727723193437,5
1889,1890,1889,E01001939,0.168,E01001939,5.50335500616094,-0.0217902989751978,4
1912,1913,1912,E01001962,0.109,E01001962,5.60420228110419,-0.0016356036983554,4
1958,1959,1958,E01002008,0.049,E01002008,5.66730871550123,-0.0205894198095354,4
1960,1961,1960,E01002010,0.126,E01002010,5.64735033686873,0.0647628563768357,6
1963,1964,1963,E01002014,0.157,E01002014,5.55250612449646,0.0123164401004792,5
2037,2038,2037,E01002089,0.347,E01002089,5.28313634087962,0.0028041164263142,5
2047,2048,2047,E01002099,0.281,E01002099,5.36279692857162,-0.007801571440725,4
2058,2059,2058,E01002110,0.07,E01002110,5.65321613515465,-0.0059609124782372,4
2084,2085,2084,E01002136,0.095,E01002136,5.62277995188212,-0.0022053247056822,4
2088,2089,2088,E01002140,0.135,E01002140,5.62077233640627,0.0504938934906118,6
2128,2129,2128,E01002180,0.189,E01002180,5.50904728341521,0.0126230659569409,5
2132,2133,2132,E01002184,0.146,E01002184,5.5949813245817,0.0397472609258809,5
2133,2134,2133,E01002185,0.239,E01002185,5.49483209416486,0.066791418796771,6
2155,2156,2155,E01002208,0.036,E01002208,5.76610898753492,0.0604311312807119,6
2164,2165,2164,E01002217,0.249,E01002217,5.47479452455745,0.0604305576073941,6
2220,2221,2220,E01002273,0.054,E01002273,5.74660958988326,0.0655498087815156,6
2221,2222,2221,E01002274,0.056,E01002274,5.72362416177183,0.0452997223536899,6
2226,2227,2226,E01002279,0.163,E01002279,5.58276785288425,0.0507841935390952,6
2306,2307,2306,E01002360,0.096,E01002360,5.6242344298146,0.0006168240686032,5
2364,2365,2364,E01002418,0.09,E01002418,5.69885727987124,0.0670336490744238,6
2367,2368,2367,E01002421,0.07,E01002421,5.63912658512911,-0.0200504625037764,4
2475,2476,2475,E01002534,0.08,E01002534,5.67638561698054,0.0308852777656841,5
2476,2477,2476,E01002535,0.062,E01002535,5.67768694636642,0.0075685319991078,5
2521,2522,2521,E01002580,0.132,E01002580,5.66682807570797,0.092446620266901,6
2580,2581,2580,E01002640,0.07,E01002640,5.62975752612819,-0.0294195215046983,4
2610,2611,2610,E01002671,0.097,E01002671,5.6893234372139,0.0670735023097061,6
2662,2663,2662,E01002726,0.172,E01002726,5.53600727819627,0.0163326564273462,5
2666,2667,2666,E01002730,0.168,E01002730,5.61174828743716,0.0866029823010174,6
2673,2674,2673,E01002737,0.268,E01002737,5.40703014532725,0.0186519243714614,5
2702,2703,2702,E01002769,0.111,E01002769,5.66503100008027,0.0619284569613293,6
2710,2711,2710,E01002777,0.175,E01002777,5.52792914591584,0.0123575366723184,5
2731,2732,2731,E01002798,0.145,E01002798,5.52557542832459,-0.0310263061730354,4
2732,2733,2732,E01002799,0.241,E01002799,5.45533125675642,0.0300259230719312,5
2741,2742,2741,E01002808,0.176,E01002808,5.50345974965174,-0.0107441887499768,4
2935,2936,2935,E01003003,0.103,E01003003,5.602755628881,-0.0112882809723699,4
2950,2951,2950,E01003019,0.114,E01003019,5.66799662526198,0.0689970946684504,6
2982,2983,2982,E01003051,0.221,E01003051,5.44891898052112,-0.00373976999943,4
3008,3009,3008,E01003077,0.121,E01003077,5.66737926129213,0.077953426591226,6
3024,3025,3024,E01003093,0.246,E01003093,5.50149228672187,0.083025307246399,6
3110,3111,3110,E01003180,0.145,E01003180,5.58248852565885,0.0258867911612233,5
3125,3126,3125,E01003195,0.131,E01003195,5.54350179959746,-0.0322473266854126,4
3163,3164,3163,E01003235,0.186,E01003235,5.48918266269748,-0.0113445672862003,4
3187,3188,3187,E01003260,0.093,E01003260,5.69227437118986,0.0645537529184519,6
3189,3190,3189,E01003262,0.109,E01003262,5.58958313441036,-0.0162547503921927,4
3195,3196,3195,E01003268,0.143,E01003268,5.64632655430391,0.0869894781226835,6
3224,3225,3224,E01003299,0.185,E01003299,5.51604686604172,0.0141519652162334,5
3236,3237,3236,E01003312,0.099,E01003312,5.65613199864762,0.0366174054270325,5
3250,3251,3250,E01003326,0.2,E01003326,5.50871627291372,0.0273364347152911,5
3253,3254,3253,E01003329,0.111,E01003329,5.66661461252366,0.0635120694047143,6
