,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,Education..Skills.and.Training.Score,wealth_resid,outdoor_resid,education_resid
515,516,515,E01000523,0.181,E01000523,5.76089340582826,0.253527821635565,9,1.512,35.891,0.253527821635565,-0.232402515084262,-0.393548639508039
535,536,535,E01000546,0.145,E01000546,5.84061304120456,0.284011306706942,9,1.103,7.703,0.284011306706942,-0.411748902745196,-0.200780162512324
536,537,536,E01000547,0.144,E01000547,5.81519398391247,0.257224578573042,9,1.18,9.603,0.257224578573042,-0.513111506121416,-0.303136594655049
538,539,538,E01000549,0.11,E01000549,5.91210714975993,0.307636935799183,9,1.083,4.256,0.307636935799183,-0.462092148912275,-0.197378510670231
549,550,549,E01000560,0.102,E01000560,6.06662541139321,0.451213830698038,9,1.22,6.317,0.451213830698038,-0.266776997448581,-0.194451888015268
623,624,623,E01000637,0.152,E01000637,5.80824678142865,0.261218742823657,9,1.226,16.145,0.261218742823657,-0.43024715064962,-0.284388529600602
758,759,758,E01000773,0.038,E01000773,6.03320658575154,0.330264071180937,9,0.599,6.264,0.330264071180937,-0.238938629685014,-0.244045374821961
854,855,854,E01000872,0.156,E01000872,5.84127831459045,0.29972095935267,9,1.365,8.797,0.29972095935267,-0.306924682051164,-0.211796069498987
866,867,866,E01000884,0.036,E01000884,5.99747353490395,0.291795678649742,9,1.132,1.073,0.291795678649742,-0.267154041935697,-0.211192897670466
897,898,897,E01000915,0.195,E01000915,5.7281092959781,0.239891103570656,9,2.017,13.757,0.239891103570656,-0.226559452128596,-0.23327926721988
914,915,914,E01000932,0.164,E01000932,5.77714479291761,0.246528804414257,9,1.247,10.65,0.246528804414257,-0.417209315507915,-0.268783415952017
923,924,923,E01000941,0.271,E01000941,5.62879255510146,0.244517346671078,9,2.001,17.189,0.244517346671078,-0.256093628516989,-0.20924414297065
953,954,953,E01000971,0.056,E01000971,5.95311552286148,0.274791083443344,9,1.015,1.098,0.274791083443344,-0.394321690282758,-0.28309106431719
993,994,993,E01001012,0.206,E01001012,5.76777377268847,0.294599959540866,9,1.303,23.673,0.294599959540866,-0.250019973044207,-0.24620671732558
1180,1181,1180,E01001201,0.112,E01001201,5.93322462505764,0.331489752780505,9,1.126,7.488,0.331489752780505,-0.326693284492279,-0.327466328634048
1234,1235,1234,E01001255,0.065,E01001255,6.0177381336689,0.351722731826995,9,1.398,3.266,0.351722731826995,-0.284653811961605,-0.264630915413088
1330,1331,1330,E01001352,0.102,E01001352,5.97430157556868,0.358889994873511,9,1.523,2.971,0.358889994873511,-0.28677152812506,-0.212326828889226
1353,1354,1353,E01001375,0.032,E01001375,5.97995970860506,0.268811168983636,9,1.022,0.339,0.268811168983636,-0.52099041424965,-0.339661261919349
1355,1356,1355,E01001377,0.042,E01001377,5.96032254894574,0.262850717742359,9,1.165,0.765,0.262850717742359,-0.341179302813887,-0.289028347780863
1360,1361,1360,E01001383,0.071,E01001383,6.01091420764015,0.353104830849065,9,1.085,2.013,0.353104830849065,-0.320962439059076,-0.236943919523051
1686,1687,1686,E01001727,0.124,E01001727,5.82620480165377,0.240881979478271,9,1.573,17.092,0.240881979478271,-0.389518030859703,-0.37472571219613
1761,1762,1761,E01001807,0.187,E01001807,5.78059948980808,0.281439930666208,9,1.413,14.54,0.281439930666208,-0.261215310556069,-0.191278951202019
1823,1824,1823,E01001872,0.083,E01001872,5.9636012226788,0.322203895989356,9,1.903,1.966,0.322203895989356,-0.385665474979995,-0.196544474486217
1858,1859,1858,E01001907,0.058,E01001907,5.9656345477471,0.29004545001257,9,1.598,1.001,0.29004545001257,-0.374305555621657,-0.297506039882716
1875,1876,1875,E01001924,0.033,E01001924,6.13732852655299,0.427547657773368,9,1.908,1.096,0.427547657773368,-0.297615181634202,-0.403644147093674
1895,1896,1895,E01001945,0.167,E01001945,5.81662439986279,0.290111423884847,9,1.938,3.312,0.290111423884847,-0.232820232951468,-0.230825295268632
1904,1905,1904,E01001954,0.199,E01001954,6.00234987233814,0.519602363297912,9,1.808,8.315,0.519602363297912,-0.299073197774989,-0.271241381019587
1926,1927,1926,E01001976,0.209,E01001976,5.77334656420442,0.304275763582226,9,1.669,34.876,0.304275763582226,-0.243194265705255,-0.441086460253318
1927,1928,1927,E01001977,0.256,E01001977,5.75785769451232,0.353067423454891,9,1.807,27.638,0.353067423454891,-0.238266295379733,-0.357558326922611
1932,1933,1932,E01001982,0.184,E01001982,5.9330289999644,0.429766428297111,9,1.555,18.199,0.429766428297111,-0.234762185596072,-0.368310563178675
1941,1942,1941,E01001991,0.069,E01001991,6.11377048923309,0.453225770758395,9,1.244,0.977,0.453225770758395,-0.423396558525748,-0.191598112001314
1948,1949,1948,E01001998,0.102,E01001998,5.84272657422458,0.22731499352941,9,1.773,5.95,0.22731499352941,-0.296387231523966,-0.22290353220587
1949,1950,1949,E01001999,0.146,E01001999,5.79010668138819,0.234872617732375,9,1.794,12.597,0.234872617732375,-0.306472955093061,-0.239232405287615
