,lsoa,popden2011,popden2021
0,E01000907,133.4,138.34
1,E01000908,90.3,87.029
2,E01000909,70.6,67.76
3,E01000912,17.7,17.712
4,E01000913,10.6,9.913
5,E01000893,29.7,26.089000000000002
6,E01000894,62.7,57.278
7,E01000895,166.2,158.20600000000002
8,E01000896,112,95.169
9,E01000899,15.4,14.412
10,E01000910,113.1,102.919
11,E01000911,177,163.224
12,E01000921,158,150.72299999999998
13,E01000923,174.9,169.438
14,E01000928,66.6,67.842
15,E01000878,84.5,89.22399999999999
16,E01000879,82.2,73.322
17,E01000880,78.6,69.318
18,E01000884,59.9,60.016000000000005
19,E01000885,48.8,42.05
20,E01000871,54.3,54.115
21,E01000872,129.5,118.367
22,E01000873,134.3,129.672
23,E01000874,182.1,173.09900000000002
24,E01000877,142.4,131.946
25,E01000886,140.2,128.876
26,E01000887,148.7,139.039
27,E01000888,170.4,156.716
28,E01000892,150.7,145.966
29,E01000903,141.2,138.469
30,E01000889,142.4,150.895
31,E01000890,214.9,172.608
32,E01000891,203,191.36599999999999
33,E01000901,186.5,186.295
34,E01000922,81,100.471
35,E01000927,172.8,152.584
36,E01000881,102.2,93.84299999999999
37,E01000882,124.1,119.11399999999999
38,E01000883,94.4,107.331
39,E01000897,80.7,78.788
40,E01000898,101.4,93.021
41,E01000866,139.5,134.02100000000002
42,E01000870,133.6,126.361
43,E01000924,166.5,159.613
44,E01000925,188.8,180.55599999999998
45,E01000926,193.8,158.963
46,E01000969,121.8,109.712
47,E01000970,209.3,204.65099999999998
48,E01000971,184.1,164.757
49,E01000972,143.5,139.829
50,E01000973,80,108.836
51,E01000842,137.3,136.251
52,E01000844,155.6,143.547
53,E01000848,157.2,147.175
54,E01000849,201.9,175.29
55,E01000900,181.2,170.05
56,E01000902,172.5,168.13299999999998
57,E01000904,182,177.167
58,E01000905,237.7,217.65400000000002
59,E01000906,111.3,105.015
60,E01000875,141.4,134.07299999999998
61,E01000876,149.7,164.726
62,E01000931,129.8,139.97299999999998
63,E01000932,278.1,266.263
64,E01000974,148.7,138.502
65,E01000843,201.4,143.577
66,E01000845,124.1,127.119
67,E01000846,181.5,175.695
68,E01000847,171.2,162.006
69,E01000867,198.8,214.58599999999998
70,E01000868,172.3,208.35299999999998
71,E01000869,184.3,169.956
72,E01000962,167.1,161.065
73,E01000964,125,137.084
74,E01000965,141.6,159.907
75,E01000966,116,124.42200000000001
76,E01000968,184.7,180.467
77,E01000960,156.2,164.493
78,E01000961,133.2,149.749
79,E01000963,99.8,99.637
80,E01000967,37.9,41.36
81,E01000857,178.2,171.305
82,E01000858,85.4,88.705
83,E01000859,164,151.033
84,E01000860,63.5,54.417
85,E01000862,100.7,99.118
86,E01000856,138.6,134.035
87,E01000861,138.1,119.825
88,E01000957,148.2,113.111
89,E01000958,93.5,121.47
90,E01000959,228.1,231.011
91,E01000929,171.3,196.00799999999998
92,E01000930,164.4,179.43200000000002
93,E01000933,153.3,162.569
94,E01000934,185.9,173.708
95,E01000935,227.9,257.327
96,E01000863,91.8,91.507
97,E01000946,31,31.691999999999997
98,E01000947,125.3,106.795
99,E01000948,88.3,77.783
100,E01000952,198.7,194.368
101,E01000954,298.4,315.495
102,E01000955,249.6,210.798
103,E01000956,96.5,94.773
104,E01000944,325.2,251.115
105,E01000949,262.5,257.235
106,E01000951,319.1,319.295
107,E01000938,214.7,166.667
108,E01000939,155.6,184.331
109,E01000853,278.3,240.171
110,E01000937,119.8,89.09200000000001
111,E01000941,283.4,275.346
112,E01000942,289.2,138.767
113,E01000943,150.6,226.429
114,E01000850,86.7,73.002
115,E01000851,178.5,110.787
116,E01000915,206.1,206.47799999999998
117,E01000916,121.9,125.866
118,E01000917,249.7,220.107
119,E01000920,143.7,119.867
120,E01000855,55,40.861
121,E01000914,39.4,31.666999999999998
122,E01000918,124.3,106.477
123,E01000919,131.8,94.241
124,E01000001,112.9,113.63600000000001
125,E01000002,62.9,60.622
126,E01000003,227.7,273.85400000000004
127,E01000005,52,58.016999999999996
128,E01032739,6.3,9.839
129,E01032740,17.2,21.956
130,E01001808,144.7,128.661
131,E01001809,173.3,165.118
132,E01001814,145.6,149.035
133,E01001823,117,108.223
134,E01001825,150.5,127.119
135,E01001714,99.1,136.37
136,E01001811,177.2,211.203
137,E01001813,127.8,199.898
138,E01001799,149.2,142.075
139,E01001802,123.5,131.393
140,E01001804,137.9,150.812
141,E01001807,154.1,154.181
142,E01001812,70.7,72.551
143,E01001725,202,193.446
144,E01001726,267.7,261.858
