"","X","LSOA.code..2011.","Crime.Score","lsoa","Unnamed..0","resid"
"1",0,"E01000001",-2.012,"E01000001",5.69988318624951,-0.475018413469767
"2",1,"E01000002",-2.343,"E01000002",5.68443160329546,-0.520605624937453
"3",2,"E01000003",-1.032,"E01000003",5.6199522290911,-0.465726059622383
"4",3,"E01000005",-1.317,"E01000005",5.66961494959318,-0.442010934668009
"5",4,"E01000006",-0.147,"E01000006",6.13056365998237,0.125459483759122
"6",5,"E01000007",0.846,"E01000007",5.59986849396215,-0.3148287967212
"7",6,"E01000008",0.353,"E01000008",5.53703789899845,-0.422544179772683
"8",7,"E01000009",0.895,"E01000009",5.92775819536115,0.0175220702281097
"9",8,"E01000010",1.214,"E01000010",5.70573008750096,-0.175462939457637
"10",9,"E01000011",0.526,"E01000011",6.14714145978292,0.203310026730216
"11",10,"E01000012",0.542,"E01000012",5.7058628142535,-0.236511911680731
"12",11,"E01000013",1.199,"E01000013",5.83408775146191,-0.0484709384202502
"13",12,"E01000014",0.825,"E01000014",5.83809797274761,-0.0785112460287317
"14",13,"E01000015",0.372,"E01000015",6.00789857133527,0.0500463322673148
"15",14,"E01000016",0.528,"E01000016",5.82274727026622,-0.120902074396678
"16",15,"E01000017",0.317,"E01000017",5.87553807723621,-0.0873215925514772
"17",16,"E01000018",0.457,"E01000018",6.02669868829115,0.0765852057900603
"18",17,"E01000019",0.645,"E01000019",5.83251921520677,-0.100477958652332
"19",18,"E01000020",0.651,"E01000020",5.91392179650645,-0.0185291121832226
"20",19,"E01000021",0.559,"E01000021",5.74291246365278,-0.197914510968081
"21",20,"E01000022",0.506,"E01000022",5.87222413444519,-0.0734281825055961
"22",21,"E01000023",1.286,"E01000023",5.8266138817854,-0.0480239631400932
"23",22,"E01000024",0.244,"E01000024",5.8025471723598,-0.166958723655895
"24",23,"E01000025",0.837,"E01000025",5.81210522914152,-0.103411459295973
"25",24,"E01000027",1.042,"E01000027",5.74519809250258,-0.15165453597954
"26",25,"E01000028",-0.111,"E01000028",5.71314447302567,-0.288682112181019
"27",26,"E01000029",0.35,"E01000029",5.8879713329109,-0.071883878444947
"28",27,"E01000030",0.499,"E01000030",5.85390870068051,-0.0923809256346017
"29",28,"E01000031",0.919,"E01000031",5.83239488337996,-0.0756561810753835
"30",29,"E01000032",0.913,"E01000032",5.8972490618688,-0.0113482677559696
"31",30,"E01000033",0.162,"E01000033",5.88934413079293,-0.087627389204914
"32",31,"E01000034",0.302,"E01000034",5.9709479314525,0.0067225987412474
"33",32,"E01000035",0.242,"E01000035",5.57716311491453,-0.392524869490974
"34",33,"E01000036",0.386,"E01000036",5.89569229873147,-0.0608853216078274
"35",34,"E01000037",-0.067,"E01000037",5.9193741141296,-0.0784465265013053
"36",35,"E01000038",0.204,"E01000038",5.95848335970694,-0.0146643041049264
"37",36,"E01000039",0.092,"E01000039",5.83776837102203,-0.14557624261911
"38",37,"E01000040",0.607,"E01000040",5.83089265022569,-0.105564203039769
"39",38,"E01000041",0.432,"E01000041",5.99929341044995,0.0469038230762478
"40",39,"E01000042",0.263,"E01000042",5.92749523454242,-0.0402808217700895
"41",40,"E01000043",0.574,"E01000043",5.92948491362077,-0.00997639807653118
"42",41,"E01000044",1.077,"E01000044",5.82948107378823,-0.0641850078722399
"43",42,"E01000045",1.214,"E01000045",5.78877487240067,-0.0924181545579214
"44",43,"E01000046",-0.026,"E01000046",6.0184317437729,0.02434391513307
"45",44,"E01000048",0.246,"E01000048",5.54507950693369,-0.424244300692195
"46",45,"E01000049",0.376,"E01000049",5.63689082198673,-0.320597240301607
"47",46,"E01000050",0.74,"E01000050",5.70231534753527,-0.222032627807928
"48",47,"E01000051",0.859,"E01000051",5.6895559951663,-0.223957720983294
"49",48,"E01000052",0.335,"E01000052",5.80574419101079,-0.155476683268616
"50",49,"E01000053",1.217,"E01000053",5.74429815257037,-0.136621741803512
"51",50,"E01000054",0.514,"E01000054",5.80942622213873,-0.13549774125282
"52",51,"E01000055",0.047,"E01000055",5.86541054947208,-0.122031052939749
"53",52,"E01000056",0.485,"E01000056",5.81351020836061,-0.134054036683165
"54",53,"E01000057",0.644,"E01000057",5.86568938336282,-0.0673988346911795
"55",54,"E01000058",0.358,"E01000058",5.86699520372877,-0.0921316540678423
"56",55,"E01000059",0.414,"E01000059",5.90644075285714,-0.0475876300248383
"57",56,"E01000060",1.109,"E01000060",5.85362672212213,-0.0371259453014099
"58",57,"E01000061",0.145,"E01000061",5.7638863398705,-0.214632931440711
"59",58,"E01000062",0.558,"E01000062",5.95009540035611,0.00917738154034441
"60",59,"E01000063",0.342,"E01000063",5.86449788212776,-0.096085682787317
"61",60,"E01000064",0.212,"E01000064",5.8383296139269,-0.134089696325729
"62",61,"E01000065",0.324,"E01000065",5.87336187336326,-0.0888604870600924
"63",62,"E01000066",-0.273,"E01000066",6.04963276952,0.033057024738823
"64",63,"E01000067",0.381,"E01000067",6.10752731216841,0.150494470854591
"65",64,"E01000068",0.946,"E01000068",6.22024178996529,0.314648918772358
"66",65,"E01000069",0.032,"E01000069",6.10861493707672,0.119807671741336
"67",66,"E01000070",0.84,"E01000070",6.13471569913499,0.219472143282213
"68",67,"E01000071",-0.155,"E01000071",6.06926700592041,0.0634344761379317
"69",68,"E01000072",1.197,"E01000072",5.77352463497835,-0.109216143293617
"70",69,"E01000073",1.346,"E01000073",5.95369941093883,0.0845242177075872
"71",70,"E01000074",0.005,"E01000074",5.8449954020566,-0.146270056541207
"72",71,"E01000075",1.057,"E01000075",6.01774173106962,0.122254765511061
"73",72,"E01000076",0.287,"E01000076",5.8240179975154,-0.141572998119407
"74",73,"E01000077",0.487,"E01000077",5.77442824162119,-0.172953915032778
"75",74,"E01000078",0.467,"E01000078",5.8467969390708,-0.102406101481255
"76",75,"E01000079",0.253,"E01000079",5.86295040087266,-0.105736097388891
"77",76,"E01000080",0.145,"E01000080",5.76568819330884,-0.212831078002368
"78",77,"E01000081",0.192,"E01000081",5.74638746712954,-0.227852727021173
"79",78,"E01000082",-0.221,"E01000082",5.92625459974462,-0.085586846901534
"80",79,"E01000083",0.434,"E01000083",5.88560964768393,-0.0665978512999603
"81",80,"E01000084",1.309,"E01000084",5.92547783598436,0.0529340075416617
"82",81,"E01000085",1.036,"E01000085",5.88620603267963,-0.0111928609719166
"83",82,"E01000086",0.868,"E01000086",5.92013340084641,0.00743908245095378
"84",83,"E01000087",0.135,"E01000087",5.62644540566903,-0.352984307591227
"85",84,"E01000088",0.552,"E01000088",5.82014944314957,-0.121314840835625
"86",85,"E01000089",0.189,"E01000089",5.8776480280436,-0.0968652986918252
"87",86,"E01000090",0.7,"E01000090",5.46293969514102,-0.465050047998348
"88",87,"E01000091",0.994,"E01000091",5.91151843621181,0.0102956863742812
"89",88,"E01000092",0.657,"E01000092",5.54540022091718,-0.386504422603064
"90",89,"E01000093",1.073,"E01000093",5.82182292411664,-0.0722073343234539
"91",90,"E01000094",0.524,"E01000094",5.64344780187349,-0.30056571956902
"92",91,"E01000095",0.944,"E01000095",5.41466786041957,-0.49110709916317
"93",92,"E01000096",1.284,"E01000096",5.51912010420026,-0.355699829115042
"94",93,"E01000097",0.468,"E01000097",5.86378307728206,-0.0853289190750827
"95",94,"E01000098",0.911,"E01000098",5.85965185837458,-0.0491275596399994
"96",95,"E01000099",0.008,"E01000099",5.84389426448558,-0.147098061527514
"97",96,"E01000100",0.634,"E01000100",5.95290260737942,0.0189039473763757
"98",97,"E01000101",0.832,"E01000101",5.83634913326206,-0.079622776149949
"99",98,"E01000102",0.762,"E01000102",5.86172072145323,-0.0606242816020745
"100",99,"E01000103",0.58,"E01000103",5.71072824969888,-0.228186796828997
"101",100,"E01000104",0.131,"E01000104",5.85219372643365,-0.127600163606222
"102",101,"E01000105",1.039,"E01000105",5.80980077037564,-0.0873249906911996
"103",102,"E01000106",0.786,"E01000106",5.78306683267866,-0.137093109698945
"104",103,"E01000107",-0.027,"E01000107",5.95242024428092,-0.0417586285538141
"105",104,"E01000108",0.183,"E01000108",5.86652568817139,-0.108533903733464
"106",105,"E01000109",0.891,"E01000109",5.72163022426238,-0.188970077650285
"107",106,"E01000110",-0.312,"E01000110",5.96175908654686,-0.0583673818355821
"108",107,"E01000111",0.313,"E01000111",5.73674277196059,-0.226481074606708
"109",108,"E01000112",0.602,"E01000112",5.76737980422734,-0.169532270012644
"110",109,"E01000113",0.708,"E01000113",5.72591039746307,-0.201350992117066
"111",110,"E01000114",0.423,"E01000114",5.74550409985598,-0.207704885271859
"112",111,"E01000115",-0.545,"E01000115",6.27472242743699,0.23338266164186
"113",112,"E01000116",-0.43,"E01000116",6.30515039982817,0.274280716447031
"114",113,"E01000117",-0.168,"E01000117",5.94190042986531,-0.0651156744509268
"115",114,"E01000118",-0.206,"E01000118",6.16425514336369,0.153779359641101
"116",115,"E01000119",0.627,"E01000119",6.06659961469246,0.131963645325082
"117",116,"E01000120",-0.568,"E01000120",6.04753880341848,0.00410502114055424
"118",117,"E01000121",0.336,"E01000121",5.91183928080967,-0.0492905492748296
"119",118,"E01000122",-0.622,"E01000122",6.07603725241226,0.0276870836095078
"120",119,"E01000123",-0.684,"E01000123",5.97790111156932,-0.0760937973174916
