,lsoa,all_2011,0-14_2011,15-29_2011,30-69_2011,70+_2011,all_2020,0-14_2020,15-29_2020,30-69_2020,70+_2020
0,E01000907,1431,280,260,773,118,1698,394,238,929,137
1,E01000908,1564,272,253,876,163,1990,327,343,1055,265
2,E01000909,1602,225,300,874,203,1898,291,320,926,361
3,E01000912,1589,237,376,822,154,1930,308,381,1019,222
4,E01000913,1695,274,234,980,207,1963,316,281,964,402
5,E01000893,1563,250,245,888,180,1862,309,271,981,301
6,E01000894,1385,251,170,809,155,1751,427,181,914,229
7,E01000895,1619,239,264,895,221,2077,367,296,1118,296
8,E01000896,1683,289,234,957,203,2116,411,282,1143,280
9,E01000899,1655,309,190,955,201,2177,426,271,1110,370
10,E01000910,1471,236,277,812,146,1790,299,339,892,260
11,E01000911,1557,298,265,838,156,1808,339,301,955,213
12,E01000921,1958,253,592,1045,68,2449,316,567,1446,120
13,E01000923,1491,217,334,815,125,1710,253,290,991,176
14,E01000928,1673,292,335,906,140,2113,394,377,1148,194
15,E01000878,1628,186,588,664,190,2696,501,857,1046,292
16,E01000879,1462,232,340,739,151,1773,390,246,948,189
17,E01000880,1588,373,196,872,147,2085,541,262,1080,202
18,E01000884,1472,320,234,795,123,1942,456,273,986,227
19,E01000885,1480,271,194,766,249,1848,401,238,893,316
20,E01000871,1661,299,339,894,129,2168,463,424,1085,196
21,E01000872,1900,227,556,1041,76,2333,341,540,1307,145
22,E01000873,1645,237,404,883,121,2004,352,441,1000,211
23,E01000874,1564,228,324,873,139,2004,370,387,1013,234
24,E01000877,1578,218,386,876,98,2000,338,434,1090,138
25,E01000886,1438,249,260,817,112,1800,357,277,961,205
26,E01000887,1481,210,329,833,109,1793,267,332,1026,168
27,E01000888,1596,304,311,871,110,1884,364,318,1013,189
28,E01000892,1835,340,339,993,163,2409,452,388,1346,223
29,E01000903,1444,188,319,784,153,1797,282,305,974,236
30,E01000889,1667,336,423,779,129,2216,467,485,1097,167
31,E01000890,1635,301,335,781,218,1790,410,318,860,202
32,E01000891,1570,312,433,693,132,1770,320,424,853,173
33,E01000901,1970,474,582,825,89,2837,616,817,1247,157
34,E01000922,1554,217,523,721,93,2073,384,580,990,119
35,E01000927,1745,240,470,920,115,2128,341,449,1122,216
36,E01000881,1510,270,379,761,100,2242,577,465,1091,109
37,E01000882,1507,240,249,901,117,2078,387,283,1214,194
38,E01000883,1326,181,325,710,110,1999,332,439,1057,171
39,E01000897,1591,301,192,919,179,2049,479,220,1082,268
40,E01000898,1721,248,360,968,145,2378,368,455,1350,205
41,E01000866,2033,302,538,1029,164,2921,406,960,1295,260
42,E01000870,1697,251,448,893,105,1938,316,453,1045,124
43,E01000924,1635,193,419,924,99,2073,297,454,1162,160
44,E01000925,1558,363,379,685,131,1717,387,389,808,133
45,E01000926,1796,240,509,971,76,2099,249,520,1228,102
46,E01000969,2028,234,524,1157,113,2507,284,561,1469,193
47,E01000970,1444,86,448,854,56,1933,197,464,1179,93
48,E01000971,1478,238,299,843,98,1808,319,335,993,161
49,E01000972,2003,307,542,1041,113,2533,345,615,1349,224
50,E01000973,1887,217,625,968,77,3374,442,1146,1629,157
51,E01000842,1443,189,231,889,134,1868,304,241,1068,255
52,E01000844,1773,288,303,1053,129,2169,455,282,1271,161
53,E01000848,1583,207,232,1004,140,2200,323,315,1344,218
54,E01000849,1569,195,345,887,142,1967,279,327,1148,213
55,E01000900,1802,300,463,902,137,2125,391,490,1079,165
56,E01000902,1447,329,355,658,105,1716,372,358,785,201
57,E01000904,2107,360,578,1014,155,2807,401,836,1333,237
58,E01000905,2031,483,481,855,212,2285,514,511,1024,236
59,E01000906,1525,140,369,852,164,1759,240,389,924,206
60,E01000875,1662,187,551,835,89,1981,314,523,1020,124
61,E01000876,1748,298,456,882,112,2337,433,607,1146,151
62,E01000931,1909,305,500,973,131,2494,484,461,1361,188
63,E01000932,1838,168,547,1020,103,2118,226,545,1226,121
64,E01000974,1710,202,544,863,101,2144,312,554,1149,129
65,E01000843,1675,311,339,899,126,1990,439,268,1095,188
66,E01000845,1463,196,330,812,125,1938,324,287,1110,217
67,E01000846,1500,333,296,716,155,1729,365,316,840,208
68,E01000847,1683,403,344,796,140,2034,408,397,993,236
69,E01000864,1544,197,471,793,83,1935,272,440,1082,141
70,E01000865,1509,126,763,544,76,1974,155,924,771,124
71,E01000867,1614,293,520,686,115,2120,306,722,960,132
72,E01000868,1446,370,296,718,62,1957,542,358,935,122
73,E01000869,2101,286,668,1035,112,2459,320,731,1228,180
74,E01000962,1585,205,403,906,71,2007,294,445,1131,137
75,E01000964,1575,249,317,893,116,1954,366,350,1061,177
76,E01000965,1523,203,411,799,110,2093,415,462,1085,131
77,E01000966,1510,207,325,884,94,1876,330,318,1074,154
78,E01000968,1507,162,412,841,92,1857,300,382,1020,155
79,E01000960,1770,286,419,932,133,2332,460,492,1190,190
80,E01000961,1587,337,356,753,141,2147,452,402,1122,171
81,E01000963,1906,288,399,965,254,3038,595,582,1532,329
82,E01000967,1413,238,229,784,162,1890,387,294,957,252
83,E01000857,1452,245,226,842,139,1704,330,233,921,220
84,E01000858,1863,326,583,867,87,2185,375,517,1129,164
85,E01000859,1582,230,225,1010,117,1900,327,237,1142,194
86,E01000860,1305,160,156,801,188,1511,212,141,843,315
87,E01000862,1706,226,308,1014,158,1993,352,321,1114,206
88,E01000856,1648,325,494,753,76,1970,377,515,964,114
89,E01000861,1577,178,575,749,75,1707,173,519,895,120
90,E01000957,1732,272,524,852,84,1743,222,440,947,134
91,E01000958,2256,379,832,971,74,3952,519,1757,1593,83
92,E01000959,1666,271,558,656,181,1906,313,641,820,132
93,E01000929,1668,379,355,818,116,2363,560,487,1178,138
94,E01000930,1895,297,450,919,229,2488,392,497,1251,348
95,E01000933,1675,175,456,930,114,2251,295,557,1183,216
96,E01000934,1616,296,343,796,181,1886,328,354,981,223
97,E01000935,1414,358,260,728,68,1569,380,240,828,121
98,E01000863,1483,140,520,747,76,2003,173,679,1054,97
99,E01000946,1528,210,404,760,154,2339,349,749,1050,191
100,E01000947,1956,178,694,1002,82,2358,247,683,1287,141
101,E01000948,1724,236,394,927,167,2053,287,459,1093,214
102,E01000952,1731,292,598,709,132,1937,347,577,879,134
